com.samsung.shealth.food_frequent,6196009,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.95,2021-07-13 07:38:12.425,2021-07-13 07:38:12.425,0.95,0.95,0.95,TKIQsULl+e,com.sec.android.app.shealth,0.95,2e53ec33-6155-46a9-b9b1-a6c96c18c624,bd25aedd-2ab5-48be-9505-0b27e3dd2a8c,0.95,
0.91,2021-07-13 07:38:12.425,2021-07-13 07:38:12.425,0.91,0.91,0.91,TKIQsULl+e,com.sec.android.app.shealth,0.91,8aa7553f-fc71-4655-adfb-c5ecfd5653e1,8c65615d-f269-4666-b8f8-54fbc8c8b115,0.91,
0.71,2021-07-13 07:38:12.427,2021-07-13 07:38:12.427,0.71,0.71,0.71,TKIQsULl+e,com.sec.android.app.shealth,0.71,e993c56e-3f2c-4e29-8304-1b86d3ad67f1,dc974b05-1b0e-4835-a3d6-1f7f456c0bd3,0.71,
0.67,2021-07-13 07:38:12.428,2021-07-13 07:38:12.428,0.67,0.67,0.67,TKIQsULl+e,com.sec.android.app.shealth,0.67,ec0581ab-02db-41ce-a031-6f49359341e5,783f2771-98aa-4b78-98bb-61eb37d63974,0.67,
0.87,2021-07-13 07:38:12.426,2021-07-13 07:38:12.426,0.87,0.87,0.87,TKIQsULl+e,com.sec.android.app.shealth,0.87,c0d77f7a-f8c6-4bac-9a1a-68f7ce6c3938,6bf19586-ed34-44ec-85fb-01be7ad745cc,0.87,
0.83,2021-07-13 07:38:12.426,2021-07-13 07:38:12.426,0.83,0.83,0.83,TKIQsULl+e,com.sec.android.app.shealth,0.83,9bbd293a-d56f-41e2-8f26-662375fede05,9a16386e-60b1-425f-8458-e0ca104f89ab,0.83,
0.79,2021-07-13 07:38:12.426,2021-07-13 07:38:12.426,0.79,0.79,0.79,TKIQsULl+e,com.sec.android.app.shealth,0.79,b83ff288-0d61-47a6-8239-dbc7a063f13a,53c6172e-05ea-48f9-bfb4-063cd5170b75,0.79,
0.63,2021-07-13 07:38:12.428,2021-07-13 07:38:12.428,0.63,0.63,0.63,TKIQsULl+e,com.sec.android.app.shealth,0.63,3c96716c-50fb-4b7b-9f03-c75868220c09,3d96b3df-2582-437e-958a-8ffa598c44a0,0.63,
0.0,2021-07-13 07:55:14.733,2021-07-13 07:55:14.733,0.0,0.0,0.0,TKIQsULl+e,com.sec.android.app.shealth,0.0,b7bf520f-2523-45b8-abbc-8d6036028e64,328943a2-1f19-49e1-b0cb-def2516c56d5,1.0,
0.99,2021-07-13 07:38:12.425,2021-07-13 07:38:12.425,0.99,0.99,0.99,TKIQsULl+e,com.sec.android.app.shealth,0.99,174ec137-daf0-4589-ae42-7b4b6edfd0d3,87a97522-bc72-4b7c-b239-f5f5e70ffc72,0.99,
0.0,2021-07-13 07:55:56.045,2021-07-13 07:55:56.045,0.0,0.0,1.0,TKIQsULl+e,com.sec.android.app.shealth,0.0,975aec5d-80cf-4ee8-99c2-e339d1a186a6,ecfba612-c886-4ffd-b199-921dbddd9c90,0.0,
0.75,2021-07-13 07:38:12.427,2021-07-13 07:38:12.427,0.75,0.75,0.75,TKIQsULl+e,com.sec.android.app.shealth,0.75,45a00b83-af6a-4081-936b-4c93f05c4595,a0ed4322-2831-41f1-9995-4a15fc6475b0,0.75,
