com.samsung.shealth.tracker.pedometer_event,6196009,1
start_time,update_time,create_time,type,time_offset,deviceuuid,pkg_name,healthy_step,end_time,datauuid
2021-11-05 09:13:50.000,2021-11-05 09:27:05.000,2021-11-05 09:27:05.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,1086,2021-11-05 09:27:05.000,ed2765a4-eaba-19ad-6227-eb9f90ee42b7,
2021-11-02 10:31:04.000,2021-11-02 10:57:14.000,2021-11-02 10:57:14.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,2296,2021-11-02 10:57:14.000,12afb658-dd27-948b-68c6-e5c759183af4,
2021-11-05 11:38:35.000,2021-11-05 12:03:56.000,2021-11-05 12:03:56.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,2060,2021-11-05 12:03:56.000,017ad5e9-1aff-4e89-2ddb-6319d50f0526,
2021-11-05 08:55:11.000,2021-11-05 09:07:03.000,2021-11-05 09:07:03.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,1072,2021-11-05 09:07:03.000,2a821536-d3a3-6801-6a50-6e1f8684fd8f,
2021-11-07 09:32:28.000,2021-11-07 09:49:26.000,2021-11-07 09:49:26.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,1543,2021-11-07 09:49:26.000,bb4cac96-ddd7-5635-aa10-c73b954d61ad,
2021-11-12 22:22:33.000,2021-11-12 23:05:10.000,2021-11-12 23:05:10.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,4408,2021-11-12 23:05:10.000,c2a6b82f-5710-d1d6-b979-15650731661b,
2021-11-07 04:17:56.000,2021-11-07 04:49:49.000,2021-11-07 04:49:49.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,2700,2021-11-07 04:49:49.000,4fe5a506-5dd8-074c-d0ac-6b389c7c87a2,
2021-11-14 07:58:23.000,2021-11-14 08:27:51.000,2021-11-14 08:27:51.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,2705,2021-11-14 08:27:51.000,0a2a4f1a-abcf-48cd-3d28-d01bdaf6ba45,
2021-11-18 11:48:54.000,2021-11-18 12:07:00.000,2021-11-18 12:07:00.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,1363,2021-11-18 12:07:00.000,d6ee3fe3-b833-3a2d-5cad-be53b086a021,
2021-11-20 13:04:25.000,2021-11-20 13:22:11.000,2021-11-20 13:22:11.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,967,2021-11-20 13:22:11.000,86c113cd-c633-40db-5161-07bceade4613,
2021-11-07 04:58:09.000,2021-11-07 05:31:53.000,2021-11-07 05:31:53.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,3218,2021-11-07 05:31:53.000,69f6bc9c-c190-ac18-f7d3-bfee3b3c99fc,
2021-11-10 20:08:34.000,2021-11-10 20:25:35.000,2021-11-10 20:25:35.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,1517,2021-11-10 20:25:35.000,d54f9d10-13f6-19fc-fd05-f44030c0de0d,
2021-11-14 07:16:59.000,2021-11-14 07:48:10.000,2021-11-14 07:48:10.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,2451,2021-11-14 07:48:10.000,cfe82151-aa7f-cb1a-3a04-b8a579abee74,
2021-11-18 11:16:04.000,2021-11-18 11:32:16.000,2021-11-18 11:32:16.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,1104,2021-11-18 11:32:16.000,fae28788-5ef1-3540-30f0-080c296643c8,
2021-11-13 11:36:06.000,2021-11-13 12:01:28.000,2021-11-13 12:01:28.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,2495,2021-11-13 12:01:28.000,671e14da-b549-9568-61e3-d2f10ddb54b8,
2021-11-27 11:45:43.000,2021-11-27 12:07:10.000,2021-11-27 12:07:10.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,2157,2021-11-27 12:07:10.000,910cba05-8439-abe2-d8f6-3e9f0763ee06,
2021-11-10 12:26:26.000,2021-11-10 12:39:12.000,2021-11-10 12:39:12.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,935,2021-11-10 12:39:12.000,725504b4-ab84-344a-bac6-470fa4cc17be,
2021-11-20 00:18:00.000,2021-11-20 00:38:04.000,2021-11-20 00:38:04.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,1346,2021-11-20 00:38:04.000,21341b4c-75ee-b70e-ddf2-e89c58c2b8c1,
2021-11-18 08:58:43.000,2021-11-18 09:20:11.000,2021-11-18 09:20:11.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,1769,2021-11-18 09:20:11.000,f8e84308-db7c-f09d-e8de-cde23dc2fc2d,
2021-11-27 07:31:28.000,2021-11-27 07:57:37.000,2021-11-27 07:57:37.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,2718,2021-11-27 07:57:37.000,f8da680b-6e00-f1bb-9729-bcc3fbb4a731,
2021-11-20 01:58:11.000,2021-11-20 02:10:10.000,2021-11-20 02:10:10.000,1,UTC+0900,Cw0AA/XVc1,com.sec.android.app.shealth,1079,2021-11-20 02:10:10.000,8290a440-55e9-041d-c52e-4553a2efc632,
