Date,Step Count,Speed (m/s),Distance,Greater than 10K steps
2021-07-13 ,14004,0.7,10781.86,Yes
2021-07-14 ,13887,0.52,10727.03,Yes
2021-07-15 ,5741,0.45,4421.67,No
2021-07-16 ,17188,0.6,12714.72,Yes
2021-07-17 ,19218,0.63,14314.45,Yes
2021-07-18 ,14184,0.5,10881.84,Yes
2021-07-19 ,10672,0.37,8373.49,Yes
2021-07-20 ,8132,0.69,6259.51,No
2021-07-21 ,9669,0.4,7501.74,No
2021-07-22 ,9797,0.41,7569.82,No
2021-07-23 ,13848,0.56,10507.62,Yes
2021-07-24 ,10466,0.45,8053.39,Yes
2021-07-25 ,5440,0.32,4350.95,No
2021-07-26 ,5379,0.34,4248.14,No
2021-07-27 ,6872,0.42,5335.47,No
2021-07-28 ,12101,0.53,9361.75,Yes
2021-07-29 ,5830,0.68,4490.35,No
2021-07-30 ,10824,0.62,8343.04,Yes
2021-07-31 ,7670,0.81,5843.39,No
2021-08-01 ,6894,0.66,5281.52,No
2021-08-02 ,10718,0.8,8127.12,Yes
2021-08-03 ,11058,0.82,8402.31,Yes
2021-08-04 ,10311,0.42,8013.94,Yes
2021-08-05 ,10789,0.79,8200.34,Yes
2021-08-06 ,11507,0.43,8861.25,Yes
2021-08-07 ,16453,0.8,12500.74,Yes
2021-08-08 ,15127,0.94,11519.12,Yes
2021-08-09 ,10887,0.4,8436.21,Yes
2021-08-10 ,9668,0.37,7474.39,No
2021-08-11 ,10232,0.41,8053.55,Yes
2021-08-12 ,9160,0.77,7088.45,No
2021-08-13 ,12600,0.46,9811.34,Yes
2021-08-14 ,13820,0.5,10517.11,Yes
2021-08-15 ,10624,0.84,8030.87,Yes
2021-08-16 ,7503,0.71,5686.0,No
2021-08-17 ,9189,0.36,7123.68,No
2021-08-18 ,10256,0.4,7959.89,Yes
2021-08-19 ,9424,0.79,7233.24,No
2021-08-20 ,15412,0.49,11933.62,Yes
2021-08-21 ,9883,0.71,7442.12,No
2021-08-22 ,6357,0.43,4866.91,No
2021-08-23 ,10030,0.45,7731.69,Yes
2021-08-24 ,4907,0.4,3834.64,No
2021-08-25 ,8032,0.35,6212.47,No
2021-08-26 ,11007,0.47,8511.57,Yes
2021-08-27 ,15470,0.55,11718.86,Yes
2021-08-28 ,12927,0.52,9829.33,Yes
2021-08-29 ,9487,0.4,7339.21,No
2021-08-30 ,8735,0.36,6743.1,No
2021-08-31 ,9811,0.43,7623.68,No
2021-09-01 ,9381,0.4,7296.33,No
2021-09-02 ,9459,0.38,7278.93,No
2021-09-03 ,18302,0.63,13469.35,Yes
2021-09-04 ,22315,0.66,16585.63,Yes
2021-09-05 ,13997,0.56,10634.41,Yes
