Date,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score
2021-07-13 ,80.0,92.63,67.32
2021-07-14 ,82.0,92.16,73.0
2021-07-15 ,73.43,91.94,61.19
2021-07-16 ,76.0,91.29,65.0
2021-07-17 ,69.0,89.58,59.0
2021-07-18 ,74.0,87.92,72.38
2021-07-19 ,66.0,94.1,73.0
2021-07-20 ,70.39,89.77,71.26
2021-07-21 ,86.36,90.36,59.93
2021-07-22 ,82.37,92.65,60.96
2021-07-23 ,83.0,93.41,79.0
2021-07-24 ,75.93,93.8,64.93
2021-07-25 ,79.3,91.0,62.99
2021-07-26 ,83.0,90.88,56.0
2021-07-27 ,75.0,93.12,54.0
2021-07-28 ,82.0,88.67,64.0
2021-07-29 ,76.0,93.39,66.0
2021-07-30 ,75.85,90.12,54.25
2021-07-31 ,81.53,90.72,76.58
2021-08-01 ,88.0,89.57,72.0
2021-08-02 ,82.0,91.59,72.0
2021-08-03 ,70.0,93.83,56.0
2021-08-04 ,80.0,93.12,49.0
2021-08-05 ,92.0,90.61,64.0
2021-08-06 ,74.0,94.3,61.0
2021-08-07 ,88.35,92.6,80.58
2021-08-08 ,79.0,92.91,71.0
2021-08-09 ,78.0,91.94,69.0
2021-08-10 ,85.0,94.74,85.0
2021-08-11 ,82.0,92.31,78.0
2021-08-12 ,68.0,91.7,70.0
2021-08-13 ,86.59,91.11,69.83
2021-08-14 ,77.72,93.26,60.69
2021-08-15 ,76.02,91.51,48.53
2021-08-16 ,77.28,88.52,56.72
2021-08-17 ,75.66,91.21,56.5
2021-08-18 ,82.0,91.03,62.0
2021-08-19 ,69.81,91.65,61.81
2021-08-20 ,62.32,89.39,51.58
2021-08-21 ,85.13,91.53,78.56
2021-08-22 ,68.0,90.95,67.0
2021-08-23 ,67.22,90.52,62.43
2021-08-24 ,72.02,89.88,55.42
2021-08-25 ,78.0,92.57,58.52
2021-08-26 ,84.0,91.91,63.0
2021-08-27 ,82.0,91.7,64.0
2021-08-28 ,73.56,89.27,61.53
2021-08-29 ,88.0,91.84,68.0
2021-08-30 ,76.7,89.64,65.54
2021-08-31 ,79.0,88.38,69.0
2021-09-01 ,79.86,89.73,65.58
2021-09-02 ,86.0,93.71,64.0
2021-09-03 ,80.0,90.81,68.0
2021-09-04 ,67.62,92.12,58.52
2021-09-05 ,78.0,88.15,57.0
2021-09-06 ,76.0,89.5,49.0
2021-09-07 ,83.68,93.22,55.68
2021-09-08 ,86.0,92.79,53.0
2021-09-09 ,93.0,90.81,66.0
2021-09-10 ,70.0,88.66,58.0
2021-09-11 ,81.41,92.64,71.39
2021-09-12 ,82.96,89.7,65.64
2021-09-13 ,66.0,90.24,61.0
2021-09-14 ,71.0,88.98,65.0
2021-09-15 ,62.88,91.83,62.93
2021-09-16 ,64.0,92.15,58.0
2021-09-17 ,69.0,92.63,70.0
2021-09-18 ,62.37,91.13,61.19
2021-09-20 ,70.0,90.08,73.0
2021-09-21 ,72.28,87.84,60.77
2021-09-22 ,68.84,89.62,66.49
2021-09-23 ,83.24,90.31,54.52
2021-09-24 ,77.1,90.18,59.41
2021-09-25 ,87.0,91.92,69.0
2021-09-26 ,67.41,91.29,46.62
2021-09-27 ,89.93,91.8,64.86
2021-09-28 ,78.0,92.18,48.0
2021-09-29 ,71.0,89.76,76.0
