com.samsung.shealth.stress,6196009,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2021-07-18 09:36:48.000,,,10000,2021-07-18 09:36:48.000,2021-07-18 09:36:48.000,4.0,0.0,4.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-07-18 09:36:48.000,52d3496e-83c6-c329-5f89-65268251396a,
2021-07-18 20:03:31.000,,,10000,2021-07-18 20:03:31.000,2021-07-18 20:03:31.000,4.0,0.0,0.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-07-18 20:03:31.000,380763ff-e409-8069-68cb-9a11508b93d2,
2021-07-19 03:03:32.000,,,10000,2021-07-19 03:03:32.000,2021-07-19 03:03:32.000,32.0,0.0,32.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-07-19 03:03:32.000,2074c392-2d9b-b564-aa88-6c1cefac0c45,
2021-07-23 04:03:23.000,,,10000,2021-07-23 04:03:23.000,2021-07-23 04:03:23.000,32.0,0.0,0.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-07-23 04:03:23.000,465e1282-0c4c-937a-7d1e-fd43a03f1828,
2021-07-27 03:53:40.000,,,10000,2021-07-27 03:53:40.000,2021-07-27 03:53:40.000,0.0,0.0,0.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-07-27 03:53:40.000,12ef333c-99d1-b163-d247-a099b99dfed4,
2021-07-24 01:48:52.000,,,10000,2021-07-24 01:48:52.000,2021-07-24 01:48:52.000,32.0,0.0,0.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-07-24 01:48:52.000,7ce80d18-6d7c-2f05-62d8-729f8c0f01b4,
2021-07-31 02:06:50.000,,,10000,2021-07-31 02:06:50.000,2021-07-31 02:06:50.000,100.0,0.0,2.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-07-31 02:06:50.000,53b4eda4-d39f-496f-998c-a3d639513354,
2021-08-01 03:16:32.000,,,10000,2021-08-01 03:16:32.000,2021-08-01 03:16:32.000,100.0,0.0,99.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-08-01 03:16:32.000,74bb40a7-20dc-588e-c6ed-50850c5ec717,
2021-08-01 07:56:03.000,,,10000,2021-08-01 07:56:03.000,2021-08-01 07:56:03.000,100.0,0.0,0.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-08-01 07:56:03.000,84011748-247a-9c8f-2144-4760fc88813e,
2021-08-09 02:16:22.000,,,10000,2021-08-09 02:16:22.000,2021-08-09 02:16:22.000,0.0,0.0,0.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-08-09 02:16:22.000,5294dd82-94c4-b258-96b7-13158fcb06b6,
2021-08-24 10:57:07.000,,,10000,2021-08-24 10:57:07.000,2021-08-24 10:57:07.000,0.0,0.0,0.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-08-24 10:57:07.000,076e45f3-8d93-15e0-3911-c1af2066fd00,
2021-08-25 02:41:11.000,,,10000,2021-08-25 02:41:11.000,2021-08-25 02:41:11.000,0.0,0.0,0.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-08-25 02:41:11.000,748afa67-9c5e-ec45-59d6-3c1720155346,
2021-09-12 11:02:13.000,,,10000,2021-09-12 11:02:13.000,2021-09-12 11:02:13.000,0.0,0.0,0.0,1,UTC+0900,Cw0AA/XVc1,,com.sec.android.app.shealth,2021-09-12 11:02:13.000,267c6c8a-7afb-458f-e0ac-0998d5a26534,
