com.samsung.health.food_info,6196009,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
256.0,1.0,0.0,0.0,0.0,"353 kcal, 100 g당",,samsungosp-012011,100,4.0,3.09,0.64,2021-07-03 06:13:35.312,2021-07-03 06:13:35.312,0.01,7.8,0.06,2.0,잡곡밥,0.0,0.0,16.0,352.8,인분,,ipBsY8J8JM,g,0.03,0.0,com.sec.android.app.shealth,76.6,0.28344673,02a47611-f6f0-4221-afe5-6cca735e4288,1,
293.0,0.0,0.0,0.0,0.0,"315 kcal, 90 g당",,samsungosp-011005,90,71.0,2.97,1.89,2021-07-03 06:13:35.314,2021-07-03 06:13:35.314,0.0,6.84,0.0,1.0,현미밥,0.0,0.0,5.0,315.0,인분,,ipBsY8J8JM,g,0.0,0.0,com.sec.android.app.shealth,69.4,0.2857143,1cc6cb1f-f131-4d9a-a458-f286cbe3ba61,1,
60.0,0.0,0.0,0.0,0.0,"3 kcal, 100 g당",,samsungosp-203018,100,1.0,0.0,0.0,2021-07-03 06:13:35.358,2021-07-03 06:13:35.358,0.0,0.1,0.0,0.0,"커피,원두,블랙",0.0,0.0,2.0,3.0,인분,,ipBsY8J8JM,g,0.0,0.0,com.sec.android.app.shealth,0.4,33.333332,087a0c52-36f7-416a-835f-89e0fa9f615b,1,
83.0,1.0,0.0,0.0,0.0,"317 kcal, 90 g당",,samsungosp-011003,90,5.0,0.86,0.09,2021-07-03 06:13:35.306,2021-07-03 06:13:35.306,0.0,5.13,0.0,1.0,쌀밥,0.0,0.0,5.0,316.8,인분,,ipBsY8J8JM,g,0.0,0.0,com.sec.android.app.shealth,70.7,0.2840909,011798bd-4fcd-41c7-8bec-92591104067e,1,
180.0,29.0,8.0,0.0,0.0,"11 kcal, 60 g당",,samsungosp-141008,60,688.0,1.8,0.3,2021-07-03 06:13:35.337,2021-07-03 06:13:35.337,0.0,1.2,0.0,0.0,배추김치,0.0,0.0,28.0,10.8,인분,,ipBsY8J8JM,g,0.0,0.0,com.sec.android.app.shealth,2.3,5.5555553,db94b1a0-4fc0-40e7-94be-5efbc4d50cd6,1,
296.0,56.0,2.0,0.0,22.0,"120 kcal, 200 g당",,samsungosp-191005,200,110.0,0.0,6.4,2021-07-03 06:13:35.360,2021-07-03 06:13:35.360,1.82,6.4,0.22,0.0,우유,0.0,0.0,210.0,120.0,인분,,ipBsY8J8JM,g,4.34,0.0,com.sec.android.app.shealth,9.4,1.6666666,fa83f507-4493-44f7-a98e-0e075701b002,1,
619.0,27.0,8.0,0.0,0.0,"2292 kcal, 1362g당",,fatsecret-5197090,400,1364.0,6.3,17.46,2021-07-04 22:19:33.064,2021-07-04 22:19:33.064,5.961,16.3,7.89,47.0,잡채밥,5.12,,39.0,673.0,인분 (400 g),,ipBsY8J8JM,g,2.509,0.0,com.sec.android.app.shealth,114.95,0.5943536,2c7d4ed2-cb76-42ab-a172-506f4f96e1d5,1,
380.0,7.0,10.0,0.0,0.0,"80 kcal, 100 g당",,samsungosp-211016,100,2.0,1.8,0.2,2021-07-03 06:13:35.345,2021-07-03 06:13:35.345,0.0,1.2,0.0,1.0,바나나,0.0,0.0,4.0,80.0,인분,,ipBsY8J8JM,g,0.0,0.0,com.sec.android.app.shealth,21.1,1.25,585a8e0e-dee1-4063-8e6f-7f150b88500f,1,
385.0,159.0,1.0,0.0,240.0,"515 kcal, 169 g당",,samsungosp-031004,169,1252.0,3.66,20.599,2021-07-03 06:13:35.339,2021-07-03 06:13:35.339,2.19,15.992,0.8,2.0,라면,0.0,0.0,42.0,515.0,인분,,ipBsY8J8JM,g,1.57,0.0,com.sec.android.app.shealth,73.9,0.32815534,bfcebe75-6433-4f31-bbc9-33e37334aa1b,1,
336.0,10.0,23.0,0.0,18.0,"386 kcal, 601g당",,fatsecret-5049364,200,477.0,1.4,8.09,2021-07-12 12:24:07.160,2021-07-03 07:00:23.243,3.167,8.17,2.156,7.0,돼지고기김치찌개,1.78,,5.0,128.0,인분 (200 g),,ipBsY8J8JM,g,2.115,,com.sec.android.app.shealth,6.38,1.5555556,f2f13bb2-8d27-4e0a-a15b-e52e19d902ce,1,
