com.samsung.health.floors_climbed,6201005,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-11-02 03:11:20.000,,2021-11-02 03:25:44.293,2021-11-02 03:25:43.337,6.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-02 03:13:51.000,665d2090-20a4-40b3-93bb-3d512c44de8f,
2021-11-03 01:39:44.000,,2021-11-03 01:46:28.169,2021-11-03 01:46:27.232,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-03 01:40:04.000,fa9a10ea-794e-4614-8d7b-fbf9cdc189b5,
2021-11-03 03:20:36.000,,2021-11-03 03:23:04.664,2021-11-03 03:23:04.518,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-03 03:20:52.000,e1745c16-4920-4f72-bf90-cab9f64434dc,
2021-11-03 23:33:58.000,,2021-11-03 23:39:48.021,2021-11-03 23:39:47.496,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-03 23:34:30.000,0d2b99b6-835f-4b21-a8ef-2be5f0955185,
2021-11-04 03:31:04.000,,2021-11-04 03:37:46.432,2021-11-04 03:37:46.362,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-04 03:31:47.000,1f898b27-2772-4d4d-a66e-a5b83646ba87,
2021-11-05 00:32:35.000,,2021-11-05 01:33:58.916,2021-11-05 01:33:58.587,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-05 00:32:55.000,a69c642e-f71f-4103-b2dc-7610f2cccc33,
2021-11-05 03:17:49.000,,2021-11-05 03:24:45.231,2021-11-05 03:24:44.867,4.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-05 03:19:16.000,a7234738-cb2e-4387-9fe3-1c572d6dc7a8,
2021-11-08 03:23:43.000,,2021-11-08 04:24:02.838,2021-11-08 04:24:02.533,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-08 03:24:08.000,11e03da8-b8f3-4bf2-8b25-3e5eb1870cf3,
2021-11-09 07:32:37.000,,2021-11-09 07:45:27.556,2021-11-09 07:45:26.600,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-09 07:33:13.000,122dd56b-d0cf-4cf6-aa3f-5819c3a03e13,
2021-11-10 07:47:14.000,,2021-11-10 07:57:08.174,2021-11-10 07:57:08.174,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-10 07:47:39.000,020aee50-ea5e-4105-8520-2a587be1b8b0,
2021-11-11 07:34:30.000,,2021-11-11 07:46:06.986,2021-11-11 07:46:06.475,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-11 07:35:09.000,d3147fe1-bd78-45ca-b61f-7d4d6e000bd2,
2021-11-12 05:23:20.000,,2021-11-12 05:34:30.837,2021-11-12 05:34:30.837,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-12 05:23:47.000,420928cc-ba33-4c3e-aa62-681ad68ccf2e,
2021-11-15 01:11:56.000,,2021-11-15 02:14:44.238,2021-11-15 02:14:44.218,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-15 01:12:16.000,94daefd4-9ecf-411c-8e88-b1a40ac6d1de,
2021-11-15 03:20:23.000,,2021-11-15 03:30:04.964,2021-11-15 03:30:04.579,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-15 03:20:54.000,e66f96bd-ee9f-4aa2-84d9-90468c27b638,
2021-11-15 22:18:16.000,,2021-11-15 22:20:41.580,2021-11-15 22:20:40.083,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-15 22:19:39.000,53cac491-5e60-422d-805e-72a99b7245a0,
