com.samsung.health.device_profile,6201005,6
manufacturer,providing_step_goal,step_source_group,device_type,backsync_step_goal,capability,device_group,update_time,create_time,name,model,connectivity_type,deviceuuid,pkg_name,fixed_name,datauuid
Samsung,,,,,,360001,2020-05-15 06:53:02.641,2020-05-15 06:53:02.641,My Device,SM-F907N,,cg/D3WXl8C,com.sec.android.app.shealth,상복의 Galaxy Fold 5G,01a8ffec-7f30-b565-a893-924872869fda,
Combined,,,,,,0,2020-05-15 06:53:02.754,2020-05-15 06:53:02.754,Combined,Combined,,VfS0qUERdZ,com.sec.android.app.shealth,Galaxy Fold 5G,7af9722c-cd99-07b7-853a-43ce58e819c5,
all_target,,,,,,0,2020-05-15 06:53:14.442,2020-05-15 06:53:14.442,all_target,all_target,,Mk66SbFqK1,com.sec.android.app.shealth,Galaxy Fold 5G,471ca32b-a665-1e9e-7c27-7ac69485dc05,
Samsung Electronics,1,25,10051,1,7ae101d4-3b80-9201-e0a7-f40a684ccafa.capability.json,360003,2021-08-11 20:39:03.278,2021-07-03 01:08:00.072,Galaxy Fit2,,,aZo0mje12E,com.sec.android.app.shealth,상복의 Galaxy Fold 5G,7ae101d4-3b80-9201-e0a7-f40a684ccafa,
,,,,,,360002,2021-07-18 06:56:28.409,2021-07-18 06:56:28.409,CareSens 1677,,,iM3Qsso1sh,com.sec.android.app.shealth,상복의 Galaxy Fold 5G,1844fbd2-dd06-06ba-4bbb-0664f9fe0efd,
Samsung Electronics,1,102,10054,1,45342bdb-67f2-471b-bfcb-cdca4e04d753.capability.json,360003,2021-12-07 11:01:06.643,2021-10-08 07:40:35.587,Galaxy Watch4,SM-R870,,MN1BiSH8rg,com.sec.android.app.shealth,상복의 Galaxy Fold 5G,45342bdb-67f2-471b-bfcb-cdca4e04d753,
