com.samsung.shealth.tracker.pedometer_step_count,6201005,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
13736,4,0,21,2021-11-14 21:00:00.000,,,2021-11-14 21:00:34.362,2021-11-14 21:00:11.078,21,1.1269361,15.48,0.6399999,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,2021-11-14 21:01:00.000,6b876336-a36d-4c87-a0b7-92a2dce8243f,
4648,4,5,10,2021-11-14 21:04:00.000,,,2021-11-14 21:05:09.853,2021-11-14 21:05:09.853,15,2.8333333,13.17,0.72,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-14 21:05:00.000,0ebf6394-bc5c-4990-b0fc-cfe6c48ab10b,
9062,4,0,17,2021-11-14 22:06:00.000,,,2021-11-14 22:15:04.998,2021-11-14 22:15:04.998,17,1.4444443,13.09,0.51,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,2021-11-14 22:07:00.000,4cc4b982-6588-454a-a7c6-f947bba8470d,
10005,4,0,15,2021-11-14 21:23:00.000,,,2021-11-14 21:36:23.976,2021-11-14 21:36:23.976,15,0.9444444,9.45,0.47,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-14 21:24:00.000,8a97abe2-3b1e-4e6d-858d-1ef5b44fb452,
9340,4,0,21,2021-11-14 21:47:00.000,,,2021-11-14 21:58:29.276,2021-11-14 21:58:29.276,21,1.5555557,14.53,0.63,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-14 21:48:00.000,971c0c30-7b4b-4263-bb75-4b6c3fb9223a,
8160,4,0,13,2021-11-14 21:59:00.000,,,2021-11-14 22:20:52.420,2021-11-14 22:20:52.420,13,1.0,8.16,0.38,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-14 22:00:00.000,69318c03-9594-48f2-9bfa-c4a35797d682,
11784,4,0,22,2021-11-14 22:06:00.000,,,2021-11-14 22:20:52.884,2021-11-14 22:20:52.884,22,1.25,14.73,0.62,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-14 22:07:00.000,d50521c4-2a7e-4ecc-8c3c-f806b3dcdd49,
12540,4,0,17,2021-11-14 22:18:00.000,,,2021-11-14 22:26:01.240,2021-11-14 22:26:01.240,17,1.0,12.54,0.52,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,2021-11-14 22:19:00.000,5de73573-b562-4858-ad9f-ac759eb6af2f,
15542,4,0,23,2021-11-14 22:20:00.000,,,2021-11-14 22:38:12.140,2021-11-14 22:20:55.419,23,0.92841786,14.43,0.63,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-14 22:21:00.000,4afa568f-def0-4067-94e2-5606f19b6a08,
23185,4,0,45,2021-11-14 22:43:00.000,,,2021-11-14 22:52:47.560,2021-11-14 22:52:47.560,45,1.3055556,30.27,1.28,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-14 22:44:00.000,610d6494-bafc-4d8e-bd26-d6a036105585,
15852,4,0,21,2021-11-14 22:50:00.000,,,2021-11-14 22:53:03.330,2021-11-14 22:53:03.330,21,0.8055556,12.77,0.6,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-14 22:51:00.000,dba13d1a-a065-49fa-ad21-7bdc9b472c7e,
60000,4,0,127,2021-11-14 22:42:00.000,,,2021-11-14 22:55:01.832,2021-11-14 22:55:01.832,128,1.6756667,100.54,3.84,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,2021-11-14 22:43:00.000,cba14683-4e1a-406b-b6e4-5cdeee34a1ed,
56095,4,0,112,2021-11-14 22:48:00.000,,,2021-11-14 22:55:02.138,2021-11-14 22:55:02.138,112,1.5555556,87.26,3.36,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,2021-11-14 22:49:00.000,13458844-c280-4b24-8302-144653d414a5,
53312,4,0,65,2021-11-14 23:05:00.000,,,2021-11-14 23:07:20.086,2021-11-14 23:07:20.086,97,1.2222222,65.16,4.1,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,2021-11-14 23:06:00.000,a9b535a8-0c32-4849-a51a-f81b359b7806,
