com.samsung.shealth.exercise.weather,6201005,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2020-08-01 03:05:01.412,36.35824,,남서. 221,흐린 날,0,1,WeatherNews_korea,2020-08-01 03:05:01.415,2020-08-01 03:05:01.415,1,127.238365,30.0,70,UTC+0900,cg/D3WXl8C,e03b9e5a-9f0c-4287-ae4b-0feb8819783b,com.sec.android.app.shealth,km/h,0,1.0,3,bd69b7a4-cc53-4b53-8e16-882250a556ab,
,0,2020-08-17 04:59:06.902,36.30702,,북동. 27,흐린 날,0,1,WeatherNews_korea,2020-08-17 04:59:06.904,2020-08-17 04:59:06.904,1,127.56251,31.0,59,UTC+0900,cg/D3WXl8C,f8386998-ea07-4e72-96cf-1b23ead818ca,com.sec.android.app.shealth,km/h,0,1.0,3,59467994-7bdf-44c9-9ab5-bba0f0ff9efd,
,0,2021-03-28 09:10:38.768,36.34828,,남서. 242,흐린 날,0,1,WeatherNews_korea,2021-03-28 09:10:38.769,2021-03-28 09:10:38.769,1,127.369316,11.0,89,UTC+0900,cg/D3WXl8C,3cbca890-21b8-48a3-a39e-a11d595b7fbd,com.sec.android.app.shealth,km/h,0,3.0,3,7b9698e9-88d2-47f8-97fd-6ce444e2eb95,
,0,2021-03-29 07:31:20.677,36.35147,,북동. 23,대체로 흐림,0,1,WeatherNews_korea,2021-03-29 07:31:20.681,2021-03-29 07:31:20.681,1,127.3325,17.0,27,UTC+0900,cg/D3WXl8C,4a0d333b-dabe-45c1-9887-94ef5ea809e3,com.sec.android.app.shealth,km/h,0,1.0,3,21326f4a-c976-45dd-86ef-35064ad680f3,
,0,2021-04-04 04:15:17.676,36.358383,,북동. 48,흐린 날,0,1,WeatherNews_korea,2021-04-04 04:15:17.678,2021-04-04 04:15:17.678,1,127.33285,12.0,93,UTC+0900,cg/D3WXl8C,faeba2cf-3767-44cf-a69c-85b522d015af,com.sec.android.app.shealth,km/h,0,3.0,3,8701f324-6bb2-4c98-818a-b0cd7c937664,
,0,2021-04-04 04:49:26.640,36.347343,,동. 70,흐린 날,0,1,WeatherNews_korea,2021-04-04 04:49:26.640,2021-04-04 04:49:26.640,1,127.33524,12.0,91,UTC+0900,cg/D3WXl8C,f1e4d67f-76ff-4462-9408-02bf3b6560fc,com.sec.android.app.shealth,km/h,0,3.0,3,7279d288-1e83-4963-a785-fb3fac2c5aee,
,0,2021-04-07 05:11:28.768,36.34747,,북동. 58,맑음,0,1,WeatherNews_korea,2021-04-07 05:11:28.770,2021-04-07 05:11:28.770,1,127.33595,21.0,22,UTC+0900,cg/D3WXl8C,558f6829-9302-4f17-aa0a-73eb9752b02d,com.sec.android.app.shealth,km/h,0,3.0,1,947f10a2-0f60-4e5d-aa9d-c6c933ec3b90,
,0,2021-04-09 23:39:02.120,36.342686,,남. 193,맑음,0,1,WeatherNews_korea,2021-04-09 23:39:02.123,2021-04-09 23:39:02.123,1,127.37121,10.0,60,UTC+0900,cg/D3WXl8C,675e8880-6eea-41fa-9273-ecf68f5b5df1,com.sec.android.app.shealth,km/h,0,2.0,1,65e3db36-03ad-4742-929f-14b3d2ea2ee8,
,0,2021-04-23 07:48:36.313,36.35217,,남동. 150,흐린 날,0,1,WeatherNews_korea,2021-04-23 07:48:36.314,2021-04-23 07:48:36.314,1,127.34702,20.0,35,UTC+0900,cg/D3WXl8C,ea10aabb-fd79-4b31-9963-fa9138c0d95f,com.sec.android.app.shealth,km/h,0,4.0,3,eac79636-e8b0-453e-8a8c-7ae28ecb59b0,
,0,2021-04-24 00:08:00.035,36.342476,,남. 170,흐린 날,0,1,WeatherNews_korea,2021-04-24 00:08:00.036,2021-04-24 00:08:00.036,1,127.3713,16.0,45,UTC+0900,cg/D3WXl8C,58bb368d-b9b7-410e-85d3-2dd15b6b931c,com.sec.android.app.shealth,km/h,0,3.0,3,81f7371f-a063-415e-8dc7-57c7fc3214b0,
,0,2021-05-06 07:44:33.481,36.3437,,서. 289,흐린 날,0,1,WeatherNews_korea,2021-05-06 07:44:33.484,2021-05-06 07:44:33.484,1,127.347336,23.0,30,UTC+0900,cg/D3WXl8C,2b6cc88d-2546-4b45-a136-0e04c23db9fa,com.sec.android.app.shealth,km/h,0,1.0,3,c6196271-cccc-4e7a-9ab0-dab85654a53d,
,0,2021-05-09 11:30:26.409,36.351974,,북동. 24,맑음,0,1,WeatherNews_korea,2021-05-09 11:30:26.409,2021-05-09 11:30:26.409,1,127.34696,18.0,35,UTC+0900,cg/D3WXl8C,f687e0e0-8b05-4ac6-b2ee-e8ceb2f6701a,com.sec.android.app.shealth,km/h,0,1.0,18,5012cf30-1c11-4a94-8466-612f4868e3bf,
,0,2021-05-06 22:35:02.251,36.34582,,남. 159,대체로 흐림,0,1,WeatherNews_korea,2021-05-06 22:35:02.253,2021-05-06 22:35:02.253,1,127.33462,15.0,61,UTC+0900,cg/D3WXl8C,db800a03-7742-4937-b4d1-b9d569e0968f,com.sec.android.app.shealth,km/h,0,2.0,3,d3888005-3ed4-489e-a796-15aa35f8809b,
,0,2021-05-10 07:37:46.787,36.351883,,남. 193,흐린 날,0,1,WeatherNews_korea,2021-05-10 07:37:46.789,2021-05-10 07:37:46.789,1,127.34045,14.0,91,UTC+0900,cg/D3WXl8C,7378b54a-58f1-47bc-ad60-3682dfd8c72a,com.sec.android.app.shealth,km/h,0,1.0,3,9db22b86-c998-4ee4-a55c-99dfc2857cd4,
,0,2021-03-24 03:27:55.786,36.358192,,남서. 242,맑음,0,1,WeatherNews_korea,2021-03-24 03:27:55.795,2021-03-24 03:27:55.795,1,127.33304,13.0,37,UTC+0900,cg/D3WXl8C,d397eab2-5ff5-46de-80a9-ffcfaf3606ba,com.sec.android.app.shealth,km/h,0,3.0,1,24e9a7d7-9d26-4746-a8ab-8235c12ffbaf,
,0,2021-05-12 08:38:23.623,36.342438,,남동. 156,맑음,0,1,WeatherNews_korea,2021-05-12 08:38:23.625,2021-05-12 08:38:23.625,1,127.37129,26.0,45,UTC+0900,cg/D3WXl8C,d15dc0d1-3fbe-4bc7-9cef-5cfabf818544,com.sec.android.app.shealth,km/h,0,3.0,1,a0cdb462-0d78-4dc7-9392-95bee418b3d1,
,0,2021-03-26 10:04:14.448,36.344097,,북동. 45,대체로 흐림,0,1,WeatherNews_korea,2021-03-26 10:04:14.449,2021-03-26 10:04:14.449,1,127.36836,20.0,23,UTC+0900,cg/D3WXl8C,1441b1c6-4671-4886-8bb1-181e18a49a6c,com.sec.android.app.shealth,km/h,0,1.0,3,f29f6392-a8e5-49c7-8b17-67ad47dd1c73,
,0,2021-05-15 10:32:44.230,36.34302,,서. 257,흐린 날,0,1,WeatherNews_korea,2021-05-15 10:32:44.231,2021-05-15 10:32:44.231,1,127.37145,24.0,90,UTC+0900,cg/D3WXl8C,facda703-d87b-427f-bdf8-0d7963957b3a,com.sec.android.app.shealth,km/h,0,2.0,3,f91495c2-8e1a-40fc-88e1-f2ed61d5e9c5,
