com.samsung.shealth.best_records,6201005,1
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,extra_type,deviceuuid,pkg_name,controller_id,datauuid
,-1,2021-10-30 10:37:25.010,2021-10-30 10:37:25.010,,1635552000000,6,31.0,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.floor,c5872248-2748-4300-a635-b64dbc6f565d,
d788b5d2-c92f-47c2-99a4-a3076a25a51f,-1,2021-12-15 08:37:11.139,2020-09-20 06:41:58.650,,1600592305970,4,55.5,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_cycling,6110eae7-6191-4351-9f6c-8a34c5ca9ec6,
e2a82dc6-2f09-4737-9d10-40a38782ea2e,-1,2021-12-15 08:37:11.170,2021-10-24 06:42:59.259,,1635066722178,5,617.5493,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_cycling,bf5068b5-a249-4f49-8fc9-2998cf63bc92,
dd33955f-a4b5-4f38-82ea-1460e5f4c2c7,-1,2021-12-15 08:37:11.158,2020-05-24 09:26:57.213,,1590327538571,1,8882861.0,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_cycling,0530182a-46ce-4eef-ada0-7b47ec3f661a,
,-1,2021-10-09 00:53:09.599,2021-10-09 00:53:09.599,,1633737600000,6,1.0,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.floor,f0035934-4dca-447e-8cbc-b6f12a1d9fca,
dd33955f-a4b5-4f38-82ea-1460e5f4c2c7,-1,2021-12-15 08:37:11.158,2020-05-24 09:26:57.248,,1590327538571,2,843.0,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_cycling,066ece1b-4d6c-4b32-809f-88565a1169ec,
7b7243b6-fd4a-42cf-8431-53a7923c2d2a,-1,2021-12-15 08:37:11.077,2020-05-30 08:47:43.074,,1590829437751,3,40868.02,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_cycling,7fc4d0fc-208e-4002-a410-636953176e7d,
3d5384e1-974f-4803-bbcc-c312e2359663,-1,2021-12-15 08:37:11.006,2021-10-20 15:49:04.178,,1634713118690,2,2552.221,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_walking,8852adde-43e2-4385-80c3-c705a022bc54,
7b7243b6-fd4a-42cf-8431-53a7923c2d2a,-1,2021-12-15 08:37:11.077,2020-05-30 08:47:43.089,,1590829437751,5,478.68423,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_cycling,7e2eebc1-5de2-487b-9ac6-343b1c268999,
cd5adb49-b150-47f2-b3b7-615b589bdf44,-1,2021-12-15 08:37:11.124,2020-06-21 07:13:22.110,,1592726829671,5,604.52344,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_cycling,3e0fd8fb-b946-47b3-bff7-b7a7bc75d2ee,
,-100003,2020-07-01 15:16:01.310,2020-07-01 15:16:01.310,,1593561600000,0,24483.0,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.pedometer,8cf539d8-9a04-46fa-b8fc-f7e5a2b400d1,
06837f48-40a7-462f-82a1-25aec6f1715f,-1,2021-12-15 08:37:10.988,2020-08-17 02:25:20.213,,1597650325158,4,13.98,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_cycling,0d5370f5-bafa-48a5-b384-ebc0eb41a5b0,
f8386998-ea07-4e72-96cf-1b23ead818ca,-1,2021-12-15 08:37:11.175,2020-08-17 13:14:42.012,,1597672745850,4,14.65,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_cycling,d67e1285-1e49-4c5d-bf40-49b0af9acb0d,
d8d58070-4a01-4cdb-bd95-2f5083c676c5,-1,2021-12-15 08:37:11.149,2021-08-01 07:27:31.093,,1627804155239,3,57322.17,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_cycling,8681385b-2c98-4fe9-b8c7-3b45341b44ee,
61489591-8204-8fa7-62d8-b0f2a3318c8f,-1,2021-12-15 08:37:11.013,2021-08-22 06:11:24.298,,1629544160000,1,3.1584E7,0,cg/D3WXl8C,com.sec.android.app.shealth,tracker.sport_others,bac77852-e1ad-4efb-8259-870b0e23838b,
,-1,2021-10-13 07:10:19.275,2021-10-13 07:10:19.275,,1634083200000,6,14.0,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.floor,51323bb0-41f5-420b-8366-d59f54955032,
,-1,2021-10-15 05:18:10.667,2021-10-15 05:18:10.667,,1634256000000,6,17.0,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.floor,a82dfb33-5aec-4cbb-ad8c-3090531205d9,
,-100003,2021-11-12 21:27:08.008,2021-11-12 21:27:08.008,,1636675200000,0,24797.0,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.pedometer,01baa0ad-7b57-438d-a5ec-a9a0e6e12c66,
,-100003,2021-11-19 02:29:16.072,2021-11-19 02:29:16.072,,1636848000000,0,27795.0,-1,cg/D3WXl8C,com.sec.android.app.shealth,tracker.pedometer,3259d91e-022f-4a50-b4fc-4b2f17954397,
