com.samsung.shealth.tracker.pedometer_event,6200039,1
start_time,update_time,create_time,type,time_offset,deviceuuid,pkg_name,healthy_step,end_time,datauuid
2020-08-02 02:31:01.210,2020-08-02 02:41:41.868,2020-08-02 02:41:41.865,1,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,1196,2020-08-02 02:41:44.892,ec981f6e-811c-4d61-8c54-5a8757eddbd0,
2020-07-30 03:48:09.506,2020-07-30 04:10:09.186,2020-07-30 03:58:50.283,1,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,2046,2020-07-30 04:07:29.493,3bfe9441-c54b-4cd7-9177-4c5589a7bc57,
2020-07-30 07:26:58.260,2020-07-30 07:46:39.992,2020-07-30 07:38:07.683,1,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,2288,2020-07-30 07:46:38.832,6be96cb8-1dbc-456f-89b5-c160661f9f62,
2021-02-22 04:17:34.181,2021-02-22 04:40:39.760,2021-02-22 04:29:04.213,1,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,2425,2021-02-22 04:40:38.037,0b4f2403-2d8f-413c-8333-612fbbf708a0,
2020-11-02 03:24:44.357,2020-11-02 03:58:37.968,2020-11-02 03:34:58.082,1,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,3647,2020-11-02 03:56:04.046,8817f70e-30d6-435f-863a-24a639a4432a,
2020-10-02 04:51:14.098,2020-10-02 05:15:50.211,2020-10-02 05:02:34.337,1,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,1505,2020-10-02 05:05:49.051,47706bd4-f113-4c6d-9686-ffd3a4b27ade,
2020-08-06 04:05:26.289,2020-08-06 04:35:15.568,2020-08-06 04:16:56.019,1,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,2460,2020-08-06 04:29:24.028,9126e714-2f8e-4027-b73a-b6488d43c3c8,
2020-09-23 07:11:57.134,2020-09-23 07:35:24.887,2020-09-23 07:22:01.241,1,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,1876,2020-09-23 07:28:49.103,0c0ac09f-0cac-4491-b013-9281f94323f9,
2020-10-29 07:51:24.073,2020-10-29 08:03:19.495,2020-10-29 08:02:54.572,1,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,1324,2020-10-29 08:03:18.900,fea3221e-13fb-4fba-b1c6-90c1ed510008,
2020-10-18 00:31:30.543,2020-10-18 01:15:03.165,2020-10-18 00:42:43.077,1,UTC+0900,cg/D3WXl8C,com.sec.android.app.shealth,3109,2020-10-18 00:59:21.955,1ae6b491-a0d4-487a-a2d2-592f26a60554,
