com.samsung.shealth.tracker.pedometer_day_summary,6200039,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
5921,811cb9c2-63a8-489d-b308-a0f6dbe2e123.binning_data.json,3101779,6000,0,2020-05-15 15:19:03.302,com.sec.android.app.shealth,2020-05-15 06:53:14.782,,1.7643334,4540.88,196.62999,5921,cg/D3WXl8C,com.sec.android.app.shealth,0,811cb9c2-63a8-489d-b308-a0f6dbe2e123.achievement.json,811cb9c2-63a8-489d-b308-a0f6dbe2e123,1589500800000,
15719,5307cccc-4916-432c-869a-9171da44f687.binning_data.json,8709789,6000,76,2020-05-18 14:15:27.684,com.sec.android.app.shealth,2020-05-17 20:35:27.547,5307cccc-4916-432c-869a-9171da44f687.source_info.json,1.3620341,11863.029,627.18,15643,VfS0qUERdZ,com.sec.android.app.shealth,0,5307cccc-4916-432c-869a-9171da44f687.achievement.json,5307cccc-4916-432c-869a-9171da44f687,1589760000000,
16045,cd81bc77-73dc-44d0-92c7-173ea93018c6.binning_data.json,8984086,6000,0,2020-05-21 14:18:48.842,com.sec.android.app.shealth,2020-05-20 20:54:15.456,cd81bc77-73dc-44d0-92c7-173ea93018c6.source_info.json,1.3443115,12077.41,622.35,16045,VfS0qUERdZ,com.sec.android.app.shealth,0,cd81bc77-73dc-44d0-92c7-173ea93018c6.achievement.json,cd81bc77-73dc-44d0-92c7-173ea93018c6,1590019200000,
12932,5d112d4a-a0bf-40f8-9427-893dcb8c3129.binning_data.json,6649057,6000,216,2020-05-24 14:17:24.376,com.sec.android.app.shealth,2020-05-23 21:00:53.558,5d112d4a-a0bf-40f8-9427-893dcb8c3129.source_info.json,1.5068513,10019.14,485.6,12716,VfS0qUERdZ,com.sec.android.app.shealth,0,5d112d4a-a0bf-40f8-9427-893dcb8c3129.achievement.json,5d112d4a-a0bf-40f8-9427-893dcb8c3129,1590278400000,
11302,3561a028-1944-4d03-8dc1-26f857c77ffe.binning_data.json,6403965,6000,0,2020-05-27 13:55:29.378,com.sec.android.app.shealth,2020-05-26 19:37:02.738,3561a028-1944-4d03-8dc1-26f857c77ffe.source_info.json,1.3159596,8427.36,421.73,11302,VfS0qUERdZ,com.sec.android.app.shealth,0,3561a028-1944-4d03-8dc1-26f857c77ffe.achievement.json,3561a028-1944-4d03-8dc1-26f857c77ffe,1590537600000,
9735,5d55e37a-deb6-4912-946d-8834aa2fead5.binning_data.json,5320339,6000,141,2020-05-30 13:55:17.123,com.sec.android.app.shealth,2020-05-29 21:10:51.960,5d55e37a-deb6-4912-946d-8834aa2fead5.source_info.json,1.3684634,7280.69,396.30997,9594,VfS0qUERdZ,com.sec.android.app.shealth,0,5d55e37a-deb6-4912-946d-8834aa2fead5.achievement.json,5d55e37a-deb6-4912-946d-8834aa2fead5,1590796800000,
5921,9f84cf5a-71c0-4cc6-b750-1ae861895e59.binning_data.json,3101806,6000,0,2020-05-15 11:35:03.011,com.sec.android.app.shealth,2020-05-15 06:53:15.065,9f84cf5a-71c0-4cc6-b750-1ae861895e59.source_info.json,1.4639469,4540.88,196.62999,5921,VfS0qUERdZ,com.sec.android.app.shealth,0,9f84cf5a-71c0-4cc6-b750-1ae861895e59.achievement.json,9f84cf5a-71c0-4cc6-b750-1ae861895e59,1589500800000,
13137,39040838-0485-4a48-99d6-8fbc60537b0f.binning_data.json,7868934,6000,38,2020-06-02 14:15:03.192,com.sec.android.app.shealth,2020-06-01 20:21:20.888,39040838-0485-4a48-99d6-8fbc60537b0f.source_info.json,1.2831522,10097.04,545.82,13099,VfS0qUERdZ,com.sec.android.app.shealth,0,39040838-0485-4a48-99d6-8fbc60537b0f.achievement.json,39040838-0485-4a48-99d6-8fbc60537b0f,1591056000000,
15719,74c3d7dd-f6d1-4886-bc7c-1871bd9dcb0c.binning_data.json,8709687,6000,76,2020-05-18 15:00:01.464,com.sec.android.app.shealth,2020-05-18 15:00:01.464,,5.055555,11863.029,627.18,15643,cg/D3WXl8C,com.sec.android.app.shealth,1372,74c3d7dd-f6d1-4886-bc7c-1871bd9dcb0c.achievement.json,74c3d7dd-f6d1-4886-bc7c-1871bd9dcb0c,1589760000000,
16045,a6311d11-9ff1-4b2e-95b2-2ffd87c0521c.binning_data.json,8983981,6000,0,2020-05-21 15:49:53.079,com.sec.android.app.shealth,2020-05-21 15:49:53.079,,2.2777777,12077.41,622.35,16045,cg/D3WXl8C,com.sec.android.app.shealth,1362,a6311d11-9ff1-4b2e-95b2-2ffd87c0521c.achievement.json,a6311d11-9ff1-4b2e-95b2-2ffd87c0521c,1590019200000,
