Date,Min. average HR (daily),Max. average HR (daily),Avg. HR (daily),Number of samples (daily),Avg. day HR,Max. average HR (day),Min. average HR (day),Number of samples (day),Avg. night HR,Max. average HR (night),Min. average HR (night),Number of samples (night)
2021-09-01 ,43.0,141.0,62.24,37,56.39,141.0,43.0,23,71.86,110.0,43.0,14
2021-09-02 ,45.0,118.0,66.28,29,59.53,102.0,45.0,19,79.1,118.0,54.0,10
2021-09-03 ,40.0,112.0,57.33,49,50.33,64.0,41.0,33,71.75,112.0,40.0,16
2021-09-04 ,41.0,105.0,57.84,31,57.11,105.0,41.0,19,59.0,100.0,44.0,12
2021-09-05 ,42.0,120.0,63.27,30,58.43,105.0,42.0,21,74.56,120.0,52.0,9
2021-09-06 ,42.0,106.0,60.34,35,52.32,106.0,42.0,22,73.92,104.0,44.0,13
2021-09-07 ,40.0,117.0,55.41,32,51.47,117.0,40.0,19,61.15,100.0,45.0,13
2021-09-08 ,42.0,111.0,64.83,30,58.25,111.0,42.0,20,78.0,110.0,49.0,10
2021-09-09 ,41.0,112.0,56.07,29,49.6,68.0,41.0,20,70.44,112.0,52.0,9
2021-09-10 ,40.0,111.0,54.83,36,47.41,63.0,40.0,22,66.5,111.0,40.0,14
2021-09-11 ,40.0,102.0,63.03,35,54.56,96.0,40.0,18,72.0,102.0,40.0,17
2021-09-12 ,40.0,118.0,60.63,27,55.29,118.0,40.0,21,79.33,107.0,54.0,6
2021-09-13 ,40.0,104.0,60.0,32,47.85,65.0,40.0,20,80.25,104.0,45.0,12
2021-09-14 ,48.0,74.0,53.8,15,51.0,53.0,48.0,12,65.0,74.0,55.0,3
2021-09-15 ,41.0,118.0,60.39,31,54.5,93.0,41.0,20,71.09,118.0,48.0,11
2021-09-16 ,40.0,109.0,61.5,34,54.19,100.0,40.0,21,73.31,109.0,51.0,13
2021-09-17 ,43.0,119.0,60.83,36,53.5,100.0,43.0,22,72.36,119.0,53.0,14
2021-09-18 ,41.0,106.0,58.08,38,53.62,106.0,41.0,21,63.59,105.0,50.0,17
2021-09-19 ,46.0,101.0,59.06,31,55.44,101.0,46.0,18,64.08,86.0,47.0,13
2021-09-20 ,44.0,100.0,59.37,30,52.67,61.0,44.0,18,69.42,100.0,44.0,12
2021-09-21 ,41.0,107.0,60.65,37,59.63,103.0,41.0,19,61.72,107.0,44.0,18
2021-09-22 ,40.0,104.0,62.72,36,55.57,100.0,40.0,21,72.73,104.0,42.0,15
2021-09-23 ,40.0,120.0,63.03,31,53.43,94.0,40.0,21,83.2,120.0,50.0,10
2021-09-24 ,42.0,122.0,69.14,29,58.62,107.0,42.0,16,82.08,122.0,47.0,13
2021-09-25 ,42.0,108.0,61.86,28,64.58,108.0,42.0,19,56.11,93.0,42.0,9
2021-09-26 ,40.0,104.0,53.91,34,52.43,96.0,40.0,21,56.31,104.0,44.0,13
2021-09-27 ,41.0,150.0,65.48,31,53.0,113.0,41.0,19,85.25,150.0,48.0,12
2021-09-28 ,43.0,118.0,58.41,54,54.18,118.0,43.0,33,65.05,104.0,46.0,21
2021-09-29 ,40.0,107.0,60.26,31,53.26,95.0,40.0,19,71.33,107.0,47.0,12
2021-09-30 ,40.0,119.0,57.73,33,49.14,96.0,40.0,22,74.91,119.0,49.0,11
2021-10-01 ,40.0,108.0,66.47,36,54.4,108.0,40.0,20,81.56,106.0,48.0,16
2021-10-02 ,40.0,93.0,52.23,31,49.65,92.0,40.0,20,56.91,93.0,43.0,11
2021-10-03 ,41.0,121.0,60.06,32,60.43,110.0,43.0,21,59.36,121.0,41.0,11
2021-10-04 ,42.0,99.0,55.82,28,50.79,88.0,42.0,19,66.44,99.0,44.0,9
2021-10-05 ,40.0,125.0,60.84,32,53.5,109.0,40.0,22,77.0,125.0,46.0,10
2021-10-06 ,40.0,104.0,59.28,29,51.06,104.0,40.0,17,70.92,95.0,48.0,12
2021-10-07 ,40.0,161.0,64.81,32,55.33,107.0,40.0,21,82.91,161.0,45.0,11
2021-10-08 ,40.0,102.0,59.61,23,47.91,59.0,43.0,11,70.33,102.0,40.0,12
2021-10-09 ,44.0,84.0,54.62,24,49.25,60.0,44.0,12,60.0,84.0,44.0,12
2021-10-10 ,44.0,72.0,55.09,23,52.73,64.0,44.0,11,57.25,72.0,45.0,12
2021-10-11 ,39.0,77.0,54.39,23,48.27,57.0,39.0,11,60.0,77.0,48.0,12
2021-10-12 ,40.0,108.0,51.85,20,46.18,53.0,40.0,11,58.78,108.0,48.0,9
2021-10-13 ,40.0,96.0,55.36,22,47.36,73.0,40.0,11,63.36,96.0,50.0,11
2021-10-14 ,40.0,85.0,54.92,13,47.0,59.0,40.0,8,67.6,85.0,59.0,5
2021-10-15 ,42.0,68.0,54.08,24,50.75,62.0,44.0,12,57.42,68.0,42.0,12
