com.samsung.health.nutrition,6200039,3
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,start_time,custom,sodium,dietary_fiber,total_fat,update_time,create_time,meal_type,monosaturated_fat,protein,polysaturated_fat,iron,sugar,title,added_sugar,calcium,calorie,time_offset,deviceuuid,saturated_fat,trans_fat,pkg_name,carbohydrate,datauuid
385.0,4.0,7.0,0.0,0.0,2021-07-02 23:00:00.000,,647.0,5.3,9.5,2021-07-03 03:03:42.352,2021-07-03 03:03:42.352,100001,3.5,10.0,3.9,24.0,1.3,아침,0.0,4.0,430.0,UTC+0900,cg/D3WXl8C,1.3,0.0,com.sec.android.app.shealth,78.6,fb941824-e504-466a-ab12-88296a08a4e0,
0.0,0.0,0.0,0.0,0.0,2021-08-12 06:17:25.223,,0.0,0.0,0.0,2021-08-12 06:18:08.611,2021-08-12 06:18:08.611,100002,0.0,0.0,0.0,0.0,0.0,점심,0.0,0.0,800.0,UTC+0900,cg/D3WXl8C,0.0,0.0,com.sec.android.app.shealth,0.0,6585ae58-5a71-4ffc-aed8-0569442bcc03,
0.0,0.0,0.0,0.0,0.0,2021-10-25 03:00:00.000,,0.0,0.0,0.0,2021-10-25 07:11:42.046,2021-10-25 07:11:42.046,100002,0.0,0.0,0.0,0.0,0.0,점심,0.0,0.0,950.0,UTC+0900,cg/D3WXl8C,0.0,0.0,com.sec.android.app.shealth,0.0,d9c7567b-8e1d-4b9b-8c9e-35a90fd8adf7,
0.0,0.0,0.0,0.0,0.0,2021-10-29 03:00:00.000,,0.0,0.0,0.0,2021-10-29 07:07:12.725,2021-10-29 07:07:12.725,100002,0.0,0.0,0.0,0.0,0.0,점심,0.0,0.0,680.0,UTC+0900,cg/D3WXl8C,0.0,0.0,com.sec.android.app.shealth,0.0,617b6a80-fcd3-4c68-b266-486704c446db,
0.0,0.0,0.0,0.0,0.0,2021-11-03 03:00:00.000,,0.0,0.0,0.0,2021-11-03 07:13:30.196,2021-11-03 07:13:30.196,100002,0.0,0.0,0.0,0.0,0.0,점심,0.0,0.0,700.0,UTC+0900,cg/D3WXl8C,0.0,0.0,com.sec.android.app.shealth,0.0,1d4aedf4-5ea9-4b74-bc83-1935ad370cc9,
256.3,1.0,0.0,0.0,0.0,2021-07-03 04:35:39.859,,4.3,3.0,0.6,2021-07-03 08:37:32.517,2021-07-03 04:37:16.578,100002,0.0,7.8,0.0,2.0,0.0,점심,0.0,15.5,353.0,UTC+0900,cg/D3WXl8C,0.0,0.0,com.sec.android.app.shealth,76.6,fea79b09-5402-4159-a1e8-7c2744f81ed1,
0.0,0.0,0.0,0.0,0.0,2021-08-12 06:18:15.169,,0.0,0.0,0.0,2021-08-12 06:19:16.552,2021-08-12 06:19:16.552,100005,0.0,0.0,0.0,0.0,0.0,오후 간식,0.0,0.0,250.0,UTC+0900,cg/D3WXl8C,0.0,0.0,com.sec.android.app.shealth,0.0,a30e002e-6a38-482c-8d22-2f548ac7970e,
0.0,0.0,0.0,0.0,0.0,2021-10-25 12:25:57.037,,0.0,0.0,0.0,2021-10-25 12:27:44.443,2021-10-25 12:27:44.443,100003,0.0,0.0,0.0,0.0,0.0,저녁,0.0,0.0,1000.0,UTC+0900,cg/D3WXl8C,0.0,0.0,com.sec.android.app.shealth,0.0,b5c0418a-44b4-4240-991b-6859fd099f32,
0.0,0.0,0.0,0.0,0.0,2021-10-30 11:26:42.536,,0.0,0.0,0.0,2021-10-30 11:28:41.386,2021-10-30 11:28:41.386,100003,0.0,0.0,0.0,0.0,0.0,저녁,0.0,0.0,750.0,UTC+0900,cg/D3WXl8C,0.0,0.0,com.sec.android.app.shealth,0.0,c8dd2365-56b3-48bc-81b2-069fa7616051,
0.0,0.0,0.0,0.0,0.0,2021-11-03 11:08:04.706,,0.0,0.0,0.0,2021-11-03 11:08:59.017,2021-11-03 11:08:59.017,100003,0.0,0.0,0.0,0.0,0.0,저녁,0.0,0.0,650.0,UTC+0900,cg/D3WXl8C,0.0,0.0,com.sec.android.app.shealth,0.0,57dca753-e8e0-4641-9232-f55c458635e8,
1124.4,0.4,1.0,0.0,242.0,2021-07-03 12:37:16.874,,243.2,0.4,18.9,2021-07-03 13:33:04.473,2021-07-03 13:33:04.473,100003,25.7,24.4,5.9,5.6,0.0,저녁,0.0,3.7,423.0,UTC+0900,cg/D3WXl8C,20.3,0.0,com.sec.android.app.shealth,35.3,a76107b2-005c-439d-860b-9216dc4754d6,
