Date,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score
2021-07-03 ,80.97,84.97,69.55
2021-07-04 ,77.0,89.18,63.0
2021-07-05 ,71.0,89.58,61.0
2021-07-06 ,79.0,88.63,47.0
2021-07-07 ,85.0,92.09,83.0
2021-07-08 ,77.0,88.37,68.0
2021-07-10 ,78.09,85.66,50.72
2021-07-11 ,70.0,87.38,40.0
2021-07-12 ,87.0,83.03,64.0
2021-07-13 ,89.0,88.54,62.0
2021-07-14 ,70.37,85.64,57.23
2021-07-15 ,70.0,90.45,51.0
2021-07-16 ,73.83,85.6,38.66
2021-07-17 ,76.62,86.37,58.46
2021-07-18 ,80.0,87.17,52.0
2021-07-19 ,79.0,92.51,51.0
2021-07-20 ,84.0,93.65,72.0
2021-07-21 ,67.39,85.61,51.68
2021-07-22 ,92.88,89.38,60.66
2021-07-23 ,83.0,91.95,67.0
2021-07-24 ,70.0,84.86,48.0
2021-07-25 ,70.0,84.01,42.0
2021-07-26 ,64.0,88.81,67.0
2021-07-27 ,64.0,87.41,50.0
2021-07-28 ,86.0,87.44,63.0
2021-07-29 ,63.0,87.19,67.0
2021-07-30 ,66.0,86.33,52.0
2021-07-31 ,75.0,93.2,66.0
2021-08-01 ,72.0,86.13,59.0
2021-08-02 ,88.0,89.76,64.0
2021-08-03 ,94.0,91.92,59.0
2021-08-04 ,71.31,84.42,42.26
2021-08-05 ,73.19,91.6,65.27
2021-08-06 ,87.0,80.76,60.0
2021-08-07 ,75.19,89.27,66.75
2021-08-08 ,70.87,87.81,70.21
2021-08-09 ,77.23,83.72,60.06
2021-08-10 ,65.0,84.28,53.0
2021-08-11 ,85.0,88.24,76.0
2021-08-12 ,82.45,91.39,70.21
2021-08-13 ,88.0,86.7,50.0
2021-08-14 ,81.13,82.86,70.2
2021-08-16 ,86.67,85.23,53.16
2021-08-17 ,70.0,81.87,49.0
2021-08-18 ,73.13,76.37,47.56
2021-08-19 ,81.0,89.61,67.0
2021-08-20 ,71.48,89.16,56.11
2021-08-21 ,78.89,87.6,61.9
2021-08-22 ,80.55,87.4,57.79
2021-08-23 ,71.0,91.62,71.0
