com.samsung.shealth.tracker.pedometer_step_count,6200039,2,,,,,,,,,,,,,,,
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
21607,4,0,39,55:00.0,,,09:48.4,09:48.4,39,1.3888888,30.01,1.56,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,56:00.0,2aafe267-e416-401f-b643-b9d1b6c96a75
59968,4,0,108,58:00.0,,,09:48.6,09:48.6,108,1.3888888,83.29,4.32,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,59:00.0,3367e624-e069-4212-8070-f14b46b2a8a5
60000,4,0,109,56:00.0,,,09:48.5,09:48.5,109,1.3871667,83.23,4.36,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,57:00.0,e5b2cf9f-7973-4c0c-b1b0-60c4ef337509
54707,4,0,110,01:00.0,,,09:48.7,09:48.7,110,1.5833334,86.62,4.38,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,02:00.0,85e3db38-c904-41ea-81bf-7ae73865c6fe
58167,4,0,109,04:00.0,,,09:48.8,09:48.8,109,1.4444444,84.02,4.36,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,05:00.0,6a86b178-68eb-47d9-bc91-bf7818bba09c
56943,4,0,105,02:00.0,,,09:48.8,09:48.8,105,1.4166666,80.67,4.19,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,03:00.0,2bc069f8-3cd3-45c8-b00e-339f89769d53
49652,4,2,106,51:00.0,,,55:44.0,55:44.0,108,1.8055556,89.65,4.37,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,52:00.0,cd90e87a-f3da-4f59-9f66-042978099bae
60000,4,0,103,10:00.0,,,15:09.3,10:00.5,103,1.2915,77.49,4.12,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,11:00.0,8a06adeb-3c23-4d5d-ae1f-5c0c59c51aba
58352,4,0,116,07:00.0,,,09:49.1,09:49.1,116,1.5555556,90.77,4.63,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,08:00.0,12afcd0b-5e8d-4e8f-9ed2-b3e58a320c23
60000,4,0,108,08:00.0,,,09:49.1,09:49.1,108,1.3770001,82.62,4.32,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,09:00.0,24b30427-6485-47a9-baa5-85ecbf96d92d
