com.samsung.health.sleep_stage,6200039,6,,,,,,,,
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
03:09.0,00000000-0000-0000-0000-00002ac81757,,03:09.0,04:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,04:09.0,55751d2f-294a-35c4-a29d-530c1a300f0e
17:30.0,00000000-0000-0000-0000-000018f55f29,,17:30.0,19:30.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,19:30.0,f32a0b37-bf53-2f11-54c2-defb567925e1
34:25.0,00000000-0000-0000-0000-0000251251c1,,34:25.0,48:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,48:25.0,f6b8352d-1661-8458-bd79-c84758fc14c9
31:09.0,00000000-0000-0000-0000-00002ac81757,,31:09.0,37:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,37:09.0,ecf74c5a-e4de-3771-85c2-ce9893b93b3a
57:30.0,00000000-0000-0000-0000-000018f55f29,,57:30.0,10:30.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,10:30.0,021a4441-6257-58d3-ed65-8c3f94f68801
30:25.0,00000000-0000-0000-0000-00006f0a68f3,,30:25.0,39:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,39:25.0,2fac0a48-8885-8009-0010-29f2752300cd
02:09.0,00000000-0000-0000-0000-00002ac81757,,02:09.0,03:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,03:09.0,092c20ec-e92d-fd24-518c-d504376a9e88
27:30.0,00000000-0000-0000-0000-000018f55f29,,27:30.0,28:30.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,28:30.0,209d96ea-ecee-0c05-5296-09eae3240c89
27:45.0,00000000-0000-0000-0000-000020f41578,,27:45.0,32:19.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,32:19.0,d2497711-a7ce-fabd-4404-91a7903b2bd0
07:45.0,00000000-0000-0000-0000-00004571fbcf,,07:45.0,08:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,08:45.0,ccb84670-d3b0-1e19-3e06-b374909f2388
54:03.0,00000000-0000-0000-0000-000003e753ed,,54:03.0,59:03.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,59:03.0,5e273e06-d343-da35-a69f-56b90ee652d7
03:03.0,00000000-0000-0000-0000-000003e753ed,,03:03.0,20:03.0,40004,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,20:03.0,b81d35e1-8b1d-888b-c9b8-254eac9057b4
17:51.0,00000000-0000-0000-0000-0000505f553a,,17:51.0,26:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,26:51.0,889c3a7a-eaae-da6d-d0be-ca0297cfaf5e
19:51.0,00000000-0000-0000-0000-0000505f553a,,19:51.0,20:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,20:51.0,03f10285-b404-da76-8a52-eb899ce02d85
31:09.0,00000000-0000-0000-0000-00002ac81757,,31:09.0,32:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,32:09.0,3936584b-3479-740e-c28f-88dae9b147a4
27:30.0,00000000-0000-0000-0000-000018f55f29,,27:30.0,30:30.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,30:30.0,eaa57bed-f730-608a-fd85-b387818c3a69
16:51.0,00000000-0000-0000-0000-0000505f553a,,16:51.0,17:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,17:51.0,4c8ecb03-6a5b-9de2-2d74-f5db2f48530d
02:51.0,00000000-0000-0000-0000-0000505f553a,,02:51.0,19:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,19:51.0,aba098a1-6e2b-3697-2bd3-3546ef27b94d
51:45.0,00000000-0000-0000-0000-00004571fbcf,,51:45.0,01:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,01:45.0,e55776ad-4cbc-1002-8dc3-4a00d6f34f26
13:45.0,00000000-0000-0000-0000-00004571fbcf,,13:45.0,15:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,15:45.0,ddfc8f87-9a7a-e6aa-e5d6-805ab172ff06
55:25.0,00000000-0000-0000-0000-0000251251c1,,55:25.0,05:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,05:25.0,8e0d96b9-bf2e-e84a-88f4-5e54cdf0dae8
36:03.0,00000000-0000-0000-0000-000003e753ed,,36:03.0,43:03.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,43:03.0,0dbf879c-49fa-838f-e185-666f9cfa8a61
40:09.0,00000000-0000-0000-0000-00002ac81757,,40:09.0,41:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,41:09.0,721619bb-2774-e360-5a46-68a30d2c97ff
48:30.0,00000000-0000-0000-0000-000018f55f29,,48:30.0,49:30.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,49:30.0,408f36d1-3ac5-7db8-8bd1-d24600b6faa7
25:09.0,00000000-0000-0000-0000-00002ac81757,,25:09.0,32:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,32:09.0,8e2b35a4-a8d5-5fd6-2154-cd2087706478
05:51.0,00000000-0000-0000-0000-0000505f553a,,05:51.0,06:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,06:51.0,c3a8f0c7-f6fe-0504-40dd-94a4b3d29794
44:51.0,00000000-0000-0000-0000-0000505f553a,,44:51.0,54:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,54:51.0,0b145293-e4d5-f35b-72ab-915368572971
37:09.0,00000000-0000-0000-0000-00002ac81757,,37:09.0,38:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,38:09.0,70d47a9f-a691-dc15-1e1c-0975d0617e75
22:45.0,00000000-0000-0000-0000-00004571fbcf,,22:45.0,28:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,28:45.0,90d0076e-c69d-6539-36f9-7d61e01e761c
11:45.0,00000000-0000-0000-0000-000020f41578,,11:45.0,26:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,26:45.0,27570110-c291-5c61-fdef-f4b6992318aa
44:03.0,00000000-0000-0000-0000-000003e753ed,,44:03.0,51:03.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,51:03.0,21766098-d591-54f0-a9dc-9e02145783c0
00:30.0,00000000-0000-0000-0000-000018f55f29,,00:30.0,21:30.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,21:30.0,f63e8e89-5e6a-2ec3-eb07-f7720fe6a815
24:51.0,00000000-0000-0000-0000-0000505f553a,,24:51.0,25:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,25:51.0,b57e719c-4e48-0298-83d2-ea19ec2fbe64
28:09.0,00000000-0000-0000-0000-00002ac81757,,28:09.0,31:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,31:09.0,bc101c69-2871-2584-d4d5-7466be56d0ab
49:09.0,00000000-0000-0000-0000-00002ac81757,,49:09.0,59:09.0,40004,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,59:09.0,b866207d-d457-3c56-e83c-6b252059fcf7
35:09.0,00000000-0000-0000-0000-00002ac81757,,35:09.0,49:09.0,40004,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,49:09.0,77d6ab50-9ca4-9907-f79f-bbdf8d4de78b
31:51.0,00000000-0000-0000-0000-0000505f553a,,31:51.0,41:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,41:51.0,0bcc5b59-fba0-a33c-7e25-821e4a04379c
03:45.0,00000000-0000-0000-0000-00004571fbcf,,03:45.0,04:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,04:45.0,84fcc4ca-a80e-3fcd-a183-e9bfdb97e3db
55:25.0,00000000-0000-0000-0000-0000251251c1,,55:25.0,56:25.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,56:25.0,3aa1c0d1-4111-e360-1a77-e11f923fb1d4
09:45.0,00000000-0000-0000-0000-00004571fbcf,,09:45.0,10:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,10:45.0,cec976f2-1878-aac0-678b-cb240e4d3c29
43:03.0,00000000-0000-0000-0000-000003e753ed,,43:03.0,44:03.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,44:03.0,feceadb7-a271-26b9-438d-eaa52619575b
47:51.0,00000000-0000-0000-0000-0000505f553a,,47:51.0,49:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,49:51.0,e99423c5-4054-4ced-384c-ae30eccb9076
19:09.0,00000000-0000-0000-0000-00002ac81757,,19:09.0,37:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,37:09.0,4ca75a1f-f669-9e40-ddec-57b93e38df4a
57:09.0,00000000-0000-0000-0000-00002ac81757,,57:09.0,58:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,58:09.0,7c803dac-b535-7f17-bd97-8eb227ab860b
48:09.0,00000000-0000-0000-0000-00002ac81757,,48:09.0,49:10.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,49:10.0,d7bdec38-b4d7-bd43-e5d6-c85c13cd94e9
49:30.0,00000000-0000-0000-0000-000018f55f29,,49:30.0,55:30.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,55:30.0,1bcc3495-f36b-95bd-4a87-5f7c4e7dfe1e
08:09.0,00000000-0000-0000-0000-00002ac81757,,08:09.0,28:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,28:09.0,2f022c24-5170-e172-ba06-834bcc68aa0c
39:45.0,00000000-0000-0000-0000-00004571fbcf,,39:45.0,47:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,47:45.0,fa54b2e7-84fc-5b5c-c3d4-293b307decd6
20:25.0,00000000-0000-0000-0000-0000251251c1,,20:25.0,34:25.0,40004,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,34:25.0,aef2b869-c63d-1d9d-218d-339cfdefb5c5
19:25.0,00000000-0000-0000-0000-0000251251c1,,19:25.0,21:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,21:25.0,0bcf6e68-2b4f-e8e5-2c6f-e9f321c8df52
17:09.0,00000000-0000-0000-0000-00002ac81757,,17:09.0,18:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,18:09.0,ac282cd0-3bb9-801f-f849-e7eb1c0a3980
01:51.0,00000000-0000-0000-0000-0000505f553a,,01:51.0,02:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,02:51.0,dea836fc-d71c-fe64-6dc8-639363a5e098
55:51.0,00000000-0000-0000-0000-0000505f553a,,55:51.0,57:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,57:51.0,4b934913-d4b4-0ea3-8956-89aceab1c491
17:45.0,00000000-0000-0000-0000-00004571fbcf,,17:45.0,18:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,18:45.0,8e2c4f44-a9e5-974d-0b06-d5192279c38b
51:03.0,00000000-0000-0000-0000-000003e753ed,,51:03.0,53:03.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,53:03.0,64582384-2718-61c5-aee0-c8b742c18d30
