com.samsung.health.sleep_stage,6200039,6,,,,,,,,
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
52:51.0,00000000-0000-0000-0000-0000505f553a,,52:51.0,16:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,16:51.0,73fc54b3-fb71-7011-878b-591bdd61ace9
18:45.0,00000000-0000-0000-0000-00004571fbcf,,18:45.0,22:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,22:45.0,1119ac6a-20b1-aa4a-28ee-1d8c7f9ec1d8
08:45.0,00000000-0000-0000-0000-00004571fbcf,,08:45.0,08:46.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,08:46.0,b52d291f-38da-5f1a-334d-b4cb6baef408
32:25.0,00000000-0000-0000-0000-0000251251c1,,32:25.0,32:26.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,32:26.0,747fe017-1a43-f336-8689-f99412316faf
53:45.0,00000000-0000-0000-0000-00004571fbcf,,53:45.0,58:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,58:45.0,2ee9cf74-d1a5-0b27-b2ac-11f0c0d019fb
02:45.0,00000000-0000-0000-0000-00004571fbcf,,02:45.0,03:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,03:45.0,7c459896-cbc6-c3ae-9876-e724456ef9a7
31:25.0,00000000-0000-0000-0000-0000251251c1,,31:25.0,34:25.0,40003,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,34:25.0,27f94813-be5a-ae5e-433a-a0fba6fff823
13:45.0,00000000-0000-0000-0000-00004571fbcf,,13:45.0,21:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,21:45.0,24729eee-2195-ab72-344a-88f08c1a28e8
53:03.0,00000000-0000-0000-0000-000003e753ed,,53:03.0,02:03.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,02:03.0,8ccbb776-7cd1-6493-decb-f9e27e2e8339
37:09.0,00000000-0000-0000-0000-00002ac81757,,37:09.0,42:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,42:09.0,84590074-30cb-a241-e7a8-e34f316ca76f
26:45.0,00000000-0000-0000-0000-000020f41578,,26:45.0,27:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,27:45.0,96d5c082-9dff-74f9-cbb4-8f5053ff614c
25:51.0,00000000-0000-0000-0000-0000505f553a,,25:51.0,26:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,26:51.0,abfad927-b37e-e5b6-7b48-bb98c09b1cd9
10:45.0,00000000-0000-0000-0000-00004571fbcf,,10:45.0,14:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,14:45.0,02d6a3d0-a942-85ec-6fdd-c6ae6eb7fd65
17:51.0,00000000-0000-0000-0000-0000505f553a,,17:51.0,30:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,30:51.0,635551e9-13a4-b115-cbf2-6fe3c57c5879
32:45.0,00000000-0000-0000-0000-00004571fbcf,,32:45.0,42:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,42:45.0,c330cfcc-e296-c052-d7b8-fce1dd7912dc
12:45.0,00000000-0000-0000-0000-00004571fbcf,,12:45.0,59:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,59:45.0,1006f310-bf21-2c5d-9a3c-2327881e5aa1
15:09.0,00000000-0000-0000-0000-00002ac81757,,15:09.0,17:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,17:09.0,72821f4e-fbac-9d42-dec1-432371cba71a
51:51.0,00000000-0000-0000-0000-0000505f553a,,51:51.0,52:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,52:51.0,24f63346-fcf6-e497-2e0e-2ffaacd2eb53
19:30.0,00000000-0000-0000-0000-000018f55f29,,19:30.0,27:30.0,40003,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,27:30.0,60e874fe-fcfb-af91-65f7-6b0edc4bb0ab
55:30.0,00000000-0000-0000-0000-000018f55f29,,55:30.0,57:30.0,40003,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,57:30.0,fc09a1dc-6a53-3598-6455-8981985745e4
58:09.0,00000000-0000-0000-0000-00002ac81757,,58:09.0,17:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,17:09.0,56117bae-b887-c52f-0ff1-16a19382a036
56:25.0,00000000-0000-0000-0000-0000251251c1,,56:25.0,19:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,19:25.0,52c883f5-d4ca-d705-e871-b34414c0414d
26:51.0,00000000-0000-0000-0000-0000505f553a,,26:51.0,43:51.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,43:51.0,27d6303a-7783-dcb0-6843-0b1c280e79c4
22:45.0,00000000-0000-0000-0000-00004571fbcf,,22:45.0,46:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,46:45.0,ad6cf7eb-92ef-61c7-1d1a-e89d7855c380
16:45.0,00000000-0000-0000-0000-00004571fbcf,,16:45.0,17:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,17:45.0,ac39db3d-2ebb-5215-e634-2e1bac41d4b0
18:09.0,00000000-0000-0000-0000-00002ac81757,,18:09.0,31:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,31:09.0,db0bb57c-ef15-2310-14ba-2893be5b7e53
10:45.0,00000000-0000-0000-0000-000020f41578,,10:45.0,36:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,36:45.0,0aee7250-892a-7a64-a977-1eb190eaa8b6
48:25.0,00000000-0000-0000-0000-0000251251c1,,48:25.0,53:25.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,53:25.0,dc42a093-fa72-1357-4ed5-b88d7941274d
47:25.0,00000000-0000-0000-0000-00006f0a68f3,,47:25.0,03:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,03:25.0,d55ef29f-a4f4-0eb0-026e-2917b6204a21
53:25.0,00000000-0000-0000-0000-0000251251c1,,53:25.0,55:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,55:25.0,611b3e80-732f-5a33-c1d7-c27cd0a804da
57:51.0,00000000-0000-0000-0000-0000505f553a,,57:51.0,57:52.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,57:52.0,66ac6a7a-dcbb-875b-39aa-d92e3b63406b
10:30.0,00000000-0000-0000-0000-000018f55f29,,10:30.0,13:30.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,13:30.0,812a0cd8-c72c-1ea4-9c27-0a1ebac71ae3
54:51.0,00000000-0000-0000-0000-0000505f553a,,54:51.0,55:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,55:51.0,7bbf0d47-8e59-7468-b8b7-867524327203
30:30.0,00000000-0000-0000-0000-000018f55f29,,30:30.0,59:30.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,59:30.0,33bee2dd-96b2-0f79-c176-ca32b7e24ce3
01:45.0,00000000-0000-0000-0000-00004571fbcf,,01:45.0,02:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,02:45.0,c87dbabb-904b-b833-122b-10a4898d8413
30:45.0,00000000-0000-0000-0000-00004571fbcf,,30:45.0,32:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,32:45.0,50144f4d-7175-2a17-1bf3-f671c55bcd2b
06:03.0,00000000-0000-0000-0000-000003e753ed,,06:03.0,35:03.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,35:03.0,d81e9e42-eb68-3335-e3bc-6e7b005a64fc
