com.samsung.shealth.activity.day_summary,6200039,2,,,,,,,,,,,,,,,,
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,90,0,24:18.0,24:18.0,-1,0,0,0,0,753a28bd-7c9d-4543-8060-09e182635ba7.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,753a28bd-7c9d-4543-8060-09e182635ba7,1.62648E+12
0,0,90,0,24:18.9,24:18.9,-1,0,0,0,0,3df50c41-971a-4f87-afe7-7ddaa0dbf59b.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,3df50c41-971a-4f87-afe7-7ddaa0dbf59b,1.62708E+12
0,0,90,0,24:17.6,24:17.6,-1,0,0,0,0,eddd7aac-4c5e-4cbb-8030-f97d53f3d68c.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,eddd7aac-4c5e-4cbb-8030-f97d53f3d68c,1.62622E+12
3254,2227273,90,0,43:47.3,00:01.2,-1,208000,41,2492.8538,117.07817,2ecfbd2c-4cf1-4df4-96be-be718d611b34.extra_data.json,fLETIHaUF/,240400,com.sec.android.app.shealth,1986873,31200000,2ecfbd2c-4cf1-4df4-96be-be718d611b34,1.62933E+12
2437,1466980,90,0,43:47.6,00:00.5,-1,480000,26,1877.1152,85.69623,09c14f3f-e1b0-4261-9d6d-80574462b4e7.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,1466980,39239999,09c14f3f-e1b0-4261-9d6d-80574462b4e7,1.6295E+12
0,0,90,0,24:18.5,24:18.5,-1,0,0,0,0,6b543797-748f-4af5-9e35-4c01b47ab44c.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,6b543797-748f-4af5-9e35-4c01b47ab44c,1.62674E+12
1182,774683,90,0,43:45.7,00:01.0,-1,240000,13,917.65845,41.881447,2086e530-fab2-4c84-b1b6-90df3d180ba8.extra_data.json,fLETIHaUF/,4800,com.sec.android.app.shealth,769883,33060000,2086e530-fab2-4c84-b1b6-90df3d180ba8,1.62821E+12
0,0,90,0,24:18.3,24:18.3,-1,0,0,0,0,f94d083d-3b16-4aeb-9411-efd6d3107fac.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,f94d083d-3b16-4aeb-9411-efd6d3107fac,1.62665E+12
0,0,90,0,24:17.5,24:17.5,-1,0,0,0,0,32aab71b-f878-4cec-be2b-75b2ee04cd5f.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,32aab71b-f878-4cec-be2b-75b2ee04cd5f,1.62613E+12
0,0,90,0,24:19.1,24:19.1,-1,0,0,0,0,62928e23-2352-4eba-83ba-0d103318ded5.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,62928e23-2352-4eba-83ba-0d103318ded5,1.62726E+12
0,0,90,0,24:17.8,24:17.8,-1,0,0,0,0,86df4f57-2771-49ab-b97c-dafed8481f20.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,86df4f57-2771-49ab-b97c-dafed8481f20,1.62639E+12
812,518169,90,0,43:46.2,00:00.7,-1,120000,8,619.8081,28.526428,09411a3a-e910-4680-b043-f5b7c93966f0.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,518169,29999999,09411a3a-e910-4680-b043-f5b7c93966f0,1.62855E+12
102,68034,90,0,43:46.7,51:40.6,-1,9338,1,79.20117,3.5652466,d2b309f1-b4e4-4af1-b9b2-b8d4d619e606.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,68034,34260000,d2b309f1-b4e4-4af1-b9b2-b8d4d619e606,1.6289E+12
0,0,90,0,24:16.4,24:16.4,-1,0,0,0,0,227d90e6-9872-47aa-a298-5e00ac969463.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,227d90e6-9872-47aa-a298-5e00ac969463,1.62562E+12
4451,2768147,90,0,43:45.8,00:01.5,-1,420000,51,3420.4482,156.05623,8c8b2e7e-75bf-49e7-beae-316003397f22.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,2768147,30900000,8c8b2e7e-75bf-49e7-beae-316003397f22,1.62829E+12
3185,1998712,90,0,43:47.5,00:01.1,-1,240000,36,2437.8923,112.50548,7821b350-5e02-4831-824f-870f14130be7.extra_data.json,fLETIHaUF/,800,com.sec.android.app.shealth,1997912,19679999,7821b350-5e02-4831-824f-870f14130be7,1.62942E+12
0,0,90,0,24:17.7,24:17.7,-1,0,0,0,0,deba4392-7247-4b9a-83ce-a75f0f8fefff.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,deba4392-7247-4b9a-83ce-a75f0f8fefff,1.62631E+12
0,0,90,0,24:17.2,24:17.2,-1,0,0,0,0,1fa5e57d-2916-44b8-8362-49b9f6b6979b.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,1fa5e57d-2916-44b8-8362-49b9f6b6979b,1.62596E+12
0,0,90,0,24:18.6,24:18.6,-1,0,0,0,0,ba5b2d2b-1139-481f-9dbf-a08c9862a5d2.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,ba5b2d2b-1139-481f-9dbf-a08c9862a5d2,1.62683E+12
0,0,90,0,24:18.2,24:18.2,-1,0,0,0,0,c12f3faf-f5b8-45b8-805f-3f6b0cb5f827.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,c12f3faf-f5b8-45b8-805f-3f6b0cb5f827,1.62657E+12
0,0,90,0,24:18.8,24:18.8,-1,0,0,0,0,479523ef-4904-4b16-9ac7-2e5b4bc89357.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,479523ef-4904-4b16-9ac7-2e5b4bc89357,1.627E+12
0,0,90,0,24:16.3,24:16.3,-1,0,0,0,0,d62740d9-f3a4-4506-a346-77f92f9f549b.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,d62740d9-f3a4-4506-a346-77f92f9f549b,1.62553E+12
0,0,90,0,24:17.3,24:17.3,-1,0,0,0,0,3c0a8051-fbfc-4158-b5f9-ac5aff1724f2.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,3c0a8051-fbfc-4158-b5f9-ac5aff1724f2,1.62605E+12
1896,1190191,90,0,35:36.4,00:01.3,-1,240000,21,1482.69,67.64,e4cd1bc3-2662-4976-9c15-d337d8312cbf.extra_data.json,fLETIHaUF/,2240,com.sec.android.app.shealth,1187951,45060000,e4cd1bc3-2662-4976-9c15-d337d8312cbf,1.62976E+12
2789,1770673,90,0,43:46.9,00:00.8,-1,180000,32,2155.9307,99.071045,3befad63-9bbf-4dca-99b5-722e399ca989.extra_data.json,fLETIHaUF/,4000,com.sec.android.app.shealth,1766673,30720000,3befad63-9bbf-4dca-99b5-722e399ca989,1.62907E+12
0,0,90,0,24:16.6,24:16.6,-1,0,0,0,0,6cdc5f01-fd26-4827-9c8e-9af44c98d830.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,6cdc5f01-fd26-4827-9c8e-9af44c98d830,1.6257E+12
0,0,90,0,24:15.9,24:15.9,-1,0,0,0,0,7d35f3be-e196-4ab1-b13c-0934e2a9f914.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,7d35f3be-e196-4ab1-b13c-0934e2a9f914,1.62544E+12
0,0,90,0,24:19.0,24:19.0,-1,0,0,0,0,ed8bd26d-54aa-4c6e-b12a-0156f8df3e22.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,ed8bd26d-54aa-4c6e-b12a-0156f8df3e22,1.62717E+12
3706,2431943,90,0,55:44.9,00:02.6,-1,120000,44,3016.0896,136.15,c4b9f2a2-7684-4464-ac72-5c8dc4ca725e.extra_data.json,fLETIHaUF/,24800,com.sec.android.app.shealth,2407143,34740000,c4b9f2a2-7684-4464-ac72-5c8dc4ca725e,1.63028E+12
480,305322,90,0,39:16.8,00:02.0,-1,60000,5,395.44003,17.749998,3e393252-84dc-4d32-a33d-cf8b610d693f.extra_data.json,fLETIHaUF/,3188,com.sec.android.app.shealth,302134,47880000,3e393252-84dc-4d32-a33d-cf8b610d693f,1.62994E+12
0,0,90,0,24:16.9,24:16.9,-1,0,0,0,0,276e201b-83b0-40ca-ac7b-3dc2f032ac5a.extra_data.json,NooOiVctGC,0,com.sec.android.app.shealth,0,-1,276e201b-83b0-40ca-ac7b-3dc2f032ac5a,1.62588E+12
1498,925883,90,0,36:17.4,00:00.5,-1,120000,16,1249.55,57.92,1c3cbef3-ea26-46d8-978b-899a0ea9620a.extra_data.json,fLETIHaUF/,61266,com.sec.android.app.shealth,864617,28440000,1c3cbef3-ea26-46d8-978b-899a0ea9620a,1.6308E+12
