com.samsung.shealth.rewards,6200039,4,,,,,,,,,,,,,,,
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,00:00.0,,100003,,00:03.3,00:03.3,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10413}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,1131917e-b538-4de4-8b28-92a478ab4e98,1
,00:00.0,,10009,,00:03.9,48:24.6,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6575}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,cd5897cc-8b2e-42e6-ad9a-1729d3ba5d05,1
,00:00.0,,10009,,01:23.9,46:59.8,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7180}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,8f7a8dc7-9b9e-4d27-89f5-39845a0e9222,1
,00:00.0,,10009,,01:00.2,55:22.6,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8545}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,a622b1b7-62e1-4d11-8d9e-6eb2b7645286,1
,00:00.0,,100003,,00:06.7,26:21.2,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6183}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,5e40ecd6-53e3-42bb-b4b4-0237a584bd90,1
,00:00.0,,100003,,00:54.1,00:54.1,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":12521}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,b7581a14-f84b-456d-83c2-1b6ef8da286c,1
,00:00.0,,100003,,00:30.9,00:30.9,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":14305}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,75e897c0-402e-4d52-8631-b7c4c21b8f45,1
,00:00.0,,100003,,00:05.3,00:05.3,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":12521}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,68d7718d-bee0-482e-9167-82850c70a7b0,1
1205,,1002,,e4f7bb14-c2d2-eafa-8acd-ad43f12e99a2,43:33.2,49:32.5,,,1205,UTC+0900,3.7703485,NooOiVctGC,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,49:28.0,18c36703-4b74-47b8-b86c-e8005d0d54c6,1
,00:00.0,,100003,,01:08.6,01:08.6,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":11498}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,2fdb0ac9-30bc-4160-91ec-0e182f37e50e,1
,00:00.0,,10009,,02:43.7,35:01.3,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7696}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,f30e1cd3-53b1-42fd-ae82-1583dd11ac67,1
,00:00.0,,100003,,02:52.2,56:24.4,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7575}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,ecc10a0e-2a5a-4343-9074-e9d7faec8aa9,1
,00:00.0,,10009,,00:51.7,27:57.3,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8405}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,cdf71533-dee6-442d-a90d-90cc89b79453,1
,00:00.0,,100003,,01:48.3,01:48.3,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":14305}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,28b4387a-9998-4b37-be40-dedd749bef7b,1
,00:00.0,,100003,,02:48.5,02:48.5,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":11309}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,510e7444-59d8-4028-8d6a-6394b8605ed9,1
,00:00.0,,10009,,00:57.1,15:52.3,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7764}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,26a62888-b7d9-4541-a53f-a22df9b707c9,1
,00:00.0,,10009,,00:02.4,16:25.6,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":12521}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,1dd3e010-ebe4-4eb4-bed7-e90c69cb77ec,1
,00:00.0,,100003,,03:59.2,08:59.6,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7234}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,d5cbc3bb-68d9-4ac4-b23f-d21ac44e1055,1
1200,,1002,,e4f7bb14-c2d2-eafa-8acd-ad43f12e99a2,43:33.1,49:32.5,,,1200,UTC+0900,92.82649,NooOiVctGC,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,49:28.0,6003549e-389f-42e2-8cfb-670f5596d21c,1
,00:00.0,,10009,,00:11.7,50:34.9,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":15179}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,12060b73-f65b-42bb-a702-b084ba7fa6b8,1
,00:00.0,,10009,,00:02.2,00:02.2,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":12521}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,97b56e8b-fe60-4c65-8477-4b02850c9e93,1
,00:00.0,,100003,,03:24.6,55:40.6,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8004}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,09da531f-a27d-4ca4-8ee4-53ca6118c2bb,1
,00:00.0,,100003,,04:38.8,57:17.9,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":13911}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,beaddaa3-eea6-4fd3-a7f4-60602c778d4c,1
,00:00.0,,100003,,00:52.4,27:57.7,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8405}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,529755d6-364a-4c06-a435-718fbad85977,1
,00:00.0,,10009,,00:06.0,26:20.7,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6183}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,eae6da54-689b-4260-a496-1bca512ba4c4,1
,00:00.0,,100003,,02:52.2,02:52.2,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13911}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,6ccf7bbd-f2e5-4bcc-90e5-92064433e3ce,1
,00:00.0,,100003,,00:02.7,00:02.7,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":12521}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,ff49b5ff-67a2-4f0c-a40d-bd4349192388,1
,00:00.0,,100003,,56:23.8,16:26.3,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":12521}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,38258c2c-b625-4d3c-bb88-191c679b783e,1
,,,,,43:45.6,43:45.6,,,LAST_SLEEP_CHECKING_TIME,,,fLETIHaUF/,com.sec.android.app.shealth,Sleep.Goal.Temp,00:00.0,f5acd115-0073-4323-9e08-44d2a6799c94,-10000
,00:00.0,,100003,,00:03.0,00:03.0,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":12521}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,4e144ef4-b153-474c-bd2a-43d81b79fce2,1
,00:00.0,,100003,,02:34.3,48:32.5,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":14305}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,e4d29002-c43f-4d6b-83a9-af624c929788,1
,00:00.0,,10009,,00:05.6,16:22.8,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":13966}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,94a6d02f-f645-4040-b055-4616720ce520,1
,00:00.0,,10009,,00:03.2,56:26.0,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6127}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,5ad99650-5b9b-45e0-983d-c02a21416e7e,1
,00:00.0,,100003,,00:27.1,00:27.1,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":12521}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,e11e36df-03d7-4920-a44a-997219617c58,1
,00:00.0,,100003,,00:13.9,48:25.1,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6575}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,550545f7-6c4b-43ef-8930-40d84647fc27,1
,00:00.0,,100003,,00:06.4,16:29.8,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":13966}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,6ebaeb82-f05a-46d0-9819-d55f39b69a55,1
,00:00.0,,10009,,01:16.2,12:48.3,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":19466}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,65ac8de4-9c26-4481-91c6-9f8a5fc9e99e,1
,00:00.0,,100003,,01:01.0,55:23.3,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8545}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,4b8b5da9-bc61-4cd9-af84-90b3eb38583d,1
,00:00.0,,100003,,02:56.0,02:56.0,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":12521}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,f99b961a-7995-463d-9b71-068759426d44,1
,00:00.0,,100003,,01:06.9,01:06.9,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":11498}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,6428b36e-bafd-4078-ac29-69c448fc40b6,1
,00:00.0,,10009,,01:09.4,36:47.9,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":11498}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,8ede23f2-4664-4055-95cb-32367172b4a3,1
,00:00.0,,100003,,00:03.3,00:03.3,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":12521}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,49c87eb5-eff6-47f3-bedc-cb70cc2ab014,1
,00:00.0,,100003,,01:46.6,01:46.6,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":14305}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,3136ef74-9fec-46ea-a720-a131a0e92985,1
,00:00.0,,100003,,01:14.5,01:14.5,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13966}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,ec8bd0bf-78c8-4693-bd0f-2c0a69173574,1
,00:00.0,,10009,,00:05.9,15:41.1,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6119}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,b51239e0-4de8-4498-8080-98ea722a4237,1
,00:00.0,,100003,,02:03.0,02:03.0,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":11498}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,9fd5b170-34ea-411c-ae40-ce5b2ceca29c,1
,00:00.0,,100003,,00:06.7,16:08.1,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6119}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,e7d6d887-3689-45f0-b7dc-cd30537e206b,1
,00:00.0,,100003,,01:25.0,47:00.9,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7180}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,37034f2e-2961-4f82-ac9d-e34d6918baeb,1
,00:00.0,,100003,,02:46.3,02:46.3,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":11498}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,233d12e7-0f84-4751-8c73-795d68879c4a,1
,00:00.0,,100003,,03:21.2,36:38.7,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":10904}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,80f8b045-3dc2-4207-99ba-14dab8f9d827,1
,00:00.0,,100003,,02:54.6,37:03.3,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7696}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,0c36fd89-4489-46b6-b2bd-f1baf5c77737,1
,00:00.0,,100003,,00:04.3,00:04.3,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":14305}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,5e35fef3-5e54-4642-93f1-0a1a9aa95f92,1
,00:00.0,,10009,,03:20.4,36:38.5,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":10904}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,41eb2227-7702-47be-b63e-d1b210b1a726,1
,00:00.0,,100003,,00:15.0,00:15.0,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":11498}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,6da7840c-594f-4248-8df9-8142e2608c83,1
,00:00.0,,10009,,02:30.6,58:41.6,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6274}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,30b5a2e8-df1d-4960-bc67-1bf687e9d679,1
,00:00.0,,10009,,00:25.2,57:17.0,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":13911}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,588642cc-685f-4c67-9a2b-58e73e73c2da,1
,00:00.0,,100003,,02:46.3,15:52.9,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7764}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,d18e02aa-29c1-464d-82ff-ef169a55f4be,1
,00:00.0,,100003,,00:42.3,55:32.8,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":10413}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,b7a6b7c2-61c9-4495-bdb4-83b9c18f1bfa,1
,00:00.0,,100003,,00:12.5,50:35.8,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":15179}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,c04743ba-2c42-40e7-9c82-55a62c0c2792,1
,00:00.0,,100003,,02:46.3,36:48.9,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":11498}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,b769bb82-bfe0-4f1d-8887-0c4c48e0a2a3,1
,00:00.0,,100003,,02:50.3,02:50.3,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13911}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,c3962895-a9d3-4464-b024-0fa9c413401a,1
,00:00.0,,100003,,01:29.2,01:29.2,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13911}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,e68bb5d6-2d93-410c-b2a1-8a875656049c,1
,00:00.0,,100003,,02:34.3,02:34.3,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":14305}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,4620951e-d69e-423d-b888-a096eae30057,1
,00:00.0,,100003,,00:05.0,00:05.0,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":11498}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,261711c3-a618-48da-9d64-4b0c42e33f08,1
,00:00.0,,100003,,00:19.3,30:08.8,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6571}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,c5238e98-3307-464d-a6d2-d8b52ceae100,1
,00:00.0,,100003,,00:04.4,00:04.4,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13911}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,b3312a8d-8484-4227-8a9c-e63e7b78f0b1,1
,00:00.0,,10009,,02:51.3,55:47.2,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7575}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,cdd2e6b2-91dc-46c1-a7e8-b63b3fd8c701,1
,00:00.0,,10009,,00:41.4,55:21.6,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":10413}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,942d42f0-0385-4fe3-8352-22c09945875d,1
,00:00.0,,100003,,01:16.7,01:16.7,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":14305}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,7c7b871d-09ec-4da2-9c90-dcbff090d1cb,1
,00:00.0,,100003,,04:38.8,24:35.6,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":11309}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,cc257601-e12f-4a74-a4e0-5c80cc02ea5a,1
,00:00.0,,100003,,04:38.8,04:38.8,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13911}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,0aeff290-0789-420a-8b2a-d71dd55482ed,1
,00:00.0,,10009,,00:15.4,30:08.0,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6571}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,3b9a3eb2-de6a-45e6-97f7-f1ce81487ce3,1
,00:00.0,,100003,,00:03.0,00:03.0,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":15179}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,65e2b9c9-280f-4796-ae18-ad6456f29aba,1
,00:00.0,,10009,,00:25.3,24:34.5,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":11309}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,e5977f1d-dfc0-4c23-8114-ec8577a7777b,1
,00:00.0,,100003,,00:24.4,00:24.4,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13911}",fLETIHaUF/,com.sec.android.app.shealth,tracker.pedometer,00:00.0,a689629d-e891-4e08-8283-50b7731166e6,1
