com.samsung.shealth.tracker.pedometer_day_summary,6200039,5,,,,,,,,,,,,,,,,
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
4451,60062993-5362-443b-88bc-07e65e36b89b.binning_data.json,4306089,6000,0,43:49.3,com.sec.android.app.shealth,43:37.2,60062993-5362-443b-88bc-07e65e36b89b.source_info.json,0.79432815,3420.4475,156.0562,4451,VfS0qUERdZ,com.sec.android.app.shealth,0,60062993-5362-443b-88bc-07e65e36b89b.achievement.json,60062993-5362-443b-88bc-07e65e36b89b,1.62829E+12
2336,fb355681-fdb9-4b35-852b-866c5f3b3d71.binning_data.json,1998308,6000,0,43:37.2,com.sec.android.app.shealth,43:37.2,fb355681-fdb9-4b35-852b-866c5f3b3d71.source_info.json,0.89725286,1792.9877,81.80438,2336,VfS0qUERdZ,com.sec.android.app.shealth,0,fb355681-fdb9-4b35-852b-866c5f3b3d71.achievement.json,fb355681-fdb9-4b35-852b-866c5f3b3d71,1.62812E+12
655,e39fb076-4971-42cb-b4e9-d0d5760705c0.binning_data.json,1173807,6000,12,43:49.3,com.sec.android.app.shealth,43:37.2,e39fb076-4971-42cb-b4e9-d0d5760705c0.source_info.json,0.43217638,507.292,23.247986,643,VfS0qUERdZ,com.sec.android.app.shealth,0,e39fb076-4971-42cb-b4e9-d0d5760705c0.achievement.json,e39fb076-4971-42cb-b4e9-d0d5760705c0,1.62838E+12
1182,ae3acc3c-e948-43bb-8425-487a9afb4628.binning_data.json,1519011,6000,12,43:49.4,com.sec.android.app.shealth,43:37.2,ae3acc3c-e948-43bb-8425-487a9afb4628.source_info.json,0.6041156,917.65845,41.77001,1170,VfS0qUERdZ,com.sec.android.app.shealth,0,ae3acc3c-e948-43bb-8425-487a9afb4628.achievement.json,ae3acc3c-e948-43bb-8425-487a9afb4628,1.62821E+12
1195,b685e56c-0250-4ae3-9c10-5535c62a3f71.binning_data.json,1799999,6000,0,43:38.4,com.sec.android.app.shealth,43:38.4,,0.51816463,932.6963,38.43257,1195,GzaRnrgqFB,com.sec.android.app.shealth,0,b685e56c-0250-4ae3-9c10-5535c62a3f71.achievement.json,b685e56c-0250-4ae3-9c10-5535c62a3f71,1.62769E+12
7183,53a3ab36-93c9-4469-9d77-fccbdc956f44.binning_data.json,6871424,6000,1,43:49.1,com.sec.android.app.shealth,43:37.5,53a3ab36-93c9-4469-9d77-fccbdc956f44.source_info.json,0.8034325,5520.726,252.54535,7182,VfS0qUERdZ,com.sec.android.app.shealth,0,53a3ab36-93c9-4469-9d77-fccbdc956f44.achievement.json,53a3ab36-93c9-4469-9d77-fccbdc956f44,1.62864E+12
5381,e5d9fb68-c4e6-4559-877a-4d6cbdd2ea20.binning_data.json,3722963,6000,0,43:49.2,com.sec.android.app.shealth,43:37.3,e5d9fb68-c4e6-4559-877a-4d6cbdd2ea20.source_info.json,1.1070659,4121.566,188.98067,5381,VfS0qUERdZ,com.sec.android.app.shealth,0,e5d9fb68-c4e6-4559-877a-4d6cbdd2ea20.achievement.json,e5d9fb68-c4e6-4559-877a-4d6cbdd2ea20,1.62847E+12
3722,f2d0b208-2971-4e5a-b7dc-b2107e3c62cb.binning_data.json,5100000,6000,0,43:52.9,com.sec.android.app.shealth,43:38.6,,0.56286633,2870.6182,130.38852,3722,GzaRnrgqFB,com.sec.android.app.shealth,0,f2d0b208-2971-4e5a-b7dc-b2107e3c62cb.achievement.json,f2d0b208-2971-4e5a-b7dc-b2107e3c62cb,1.62829E+12
812,c00d0336-071b-4849-ac35-5a7d99943884.binning_data.json,714318,6000,0,43:49.1,com.sec.android.app.shealth,43:37.6,c00d0336-071b-4849-ac35-5a7d99943884.source_info.json,0.8676911,619.8081,28.526428,812,VfS0qUERdZ,com.sec.android.app.shealth,0,c00d0336-071b-4849-ac35-5a7d99943884.achievement.json,c00d0336-071b-4849-ac35-5a7d99943884,1.62855E+12
146,67d9f7e9-9d42-430f-b0dd-f6ced0dba5ff.binning_data.json,839999,6000,3,43:38.4,com.sec.android.app.shealth,43:38.4,,0.136839,114.94476,4.8039055,143,GzaRnrgqFB,com.sec.android.app.shealth,0,67d9f7e9-9d42-430f-b0dd-f6ced0dba5ff.achievement.json,67d9f7e9-9d42-430f-b0dd-f6ced0dba5ff,1.62778E+12
1096,ced26216-e9ce-4cab-97f2-3fd2e7e9bff0.binning_data.json,1859999,6000,17,43:38.4,com.sec.android.app.shealth,43:38.4,,0.46266815,860.56274,35.584255,1079,GzaRnrgqFB,com.sec.android.app.shealth,0,ced26216-e9ce-4cab-97f2-3fd2e7e9bff0.achievement.json,ced26216-e9ce-4cab-97f2-3fd2e7e9bff0,1.62786E+12
4380,8ca2f91f-3fff-4dc5-968c-af72d7dad3ce.binning_data.json,4679999,6000,0,43:38.5,com.sec.android.app.shealth,43:38.5,,0.7209567,3374.0774,141.6804,4380,GzaRnrgqFB,com.sec.android.app.shealth,0,8ca2f91f-3fff-4dc5-968c-af72d7dad3ce.achievement.json,8ca2f91f-3fff-4dc5-968c-af72d7dad3ce,1.62804E+12
4126,726616ba-ff7d-40f9-9510-88e09eb03c79.binning_data.json,4260000,6000,0,43:52.9,com.sec.android.app.shealth,43:38.6,,0.74661356,3180.5737,144.43268,4126,GzaRnrgqFB,com.sec.android.app.shealth,0,726616ba-ff7d-40f9-9510-88e09eb03c79.achievement.json,726616ba-ff7d-40f9-9510-88e09eb03c79,1.62847E+12
2183,435102c2-c9a1-4a86-9b13-77212931ae16.binning_data.json,2520000,6000,0,43:38.6,com.sec.android.app.shealth,43:38.6,,0.6652414,1676.4084,76.45023,2183,GzaRnrgqFB,com.sec.android.app.shealth,0,435102c2-c9a1-4a86-9b13-77212931ae16.achievement.json,435102c2-c9a1-4a86-9b13-77212931ae16,1.62812E+12
899,c3a21881-3d17-4cb0-a4bc-fb44ff8790d4.binning_data.json,899999,6000,0,43:38.5,com.sec.android.app.shealth,43:38.5,,0.77415323,696.7379,28.992523,899,GzaRnrgqFB,com.sec.android.app.shealth,0,c3a21881-3d17-4cb0-a4bc-fb44ff8790d4.achievement.json,c3a21881-3d17-4cb0-a4bc-fb44ff8790d4,1.62795E+12
2205,8ed7815d-bf24-4771-b793-3008a4a22c73.binning_data.json,4860000,6000,77,00:31.7,com.sec.android.app.shealth,00:31.7,,0.35501269,1725.3617,79.51302,2128,GzaRnrgqFB,com.sec.android.app.shealth,0,8ed7815d-bf24-4771-b793-3008a4a22c73.achievement.json,8ed7815d-bf24-4771-b793-3008a4a22c73,1.62933E+12
1074,acc7daf4-0b54-4c59-b191-7e2e035c633a.binning_data.json,1680000,6000,12,43:52.9,com.sec.android.app.shealth,43:38.6,,0.4951654,831.8779,38.02993,1062,GzaRnrgqFB,com.sec.android.app.shealth,0,acc7daf4-0b54-4c59-b191-7e2e035c633a.achievement.json,acc7daf4-0b54-4c59-b191-7e2e035c633a,1.62821E+12
2091,c88ec5d2-ed76-43d3-b008-e45f71fcab02.binning_data.json,4620000,6000,0,00:49.5,com.sec.android.app.shealth,00:49.5,,0.35018536,1617.8564,73.111755,2091,GzaRnrgqFB,com.sec.android.app.shealth,0,c88ec5d2-ed76-43d3-b008-e45f71fcab02.achievement.json,c88ec5d2-ed76-43d3-b008-e45f71fcab02,1.62907E+12
520,dbeb657a-e168-4036-b797-323b1ded65c2.binning_data.json,720000,6000,0,43:52.9,com.sec.android.app.shealth,43:38.7,,0.55302596,398.1787,18.252258,520,GzaRnrgqFB,com.sec.android.app.shealth,0,dbeb657a-e168-4036-b797-323b1ded65c2.achievement.json,dbeb657a-e168-4036-b797-323b1ded65c2,1.62855E+12
517,6780a029-47b1-486b-a3d5-9e3c168125d3.binning_data.json,1199999,6000,12,43:52.9,com.sec.android.app.shealth,43:38.6,,0.33824217,405.89062,18.323746,505,GzaRnrgqFB,com.sec.android.app.shealth,0,6780a029-47b1-486b-a3d5-9e3c168125d3.achievement.json,6780a029-47b1-486b-a3d5-9e3c168125d3,1.62838E+12
2498,6bb2f3d4-a0bf-45c1-8ebb-390481d5b0ac.binning_data.json,1379975,6000,0,00:02.1,com.sec.android.app.shealth,00:02.1,,1.3909525,1919.4805,87.79181,2498,NooOiVctGC,com.sec.android.app.shealth,0,6bb2f3d4-a0bf-45c1-8ebb-390481d5b0ac.achievement.json,6bb2f3d4-a0bf-45c1-8ebb-390481d5b0ac,1.62916E+12
102,b79c51c4-f2e4-47a1-b97c-00c5ee258b94.binning_data.json,606068,6000,0,58:03.0,com.sec.android.app.shealth,31:13.8,b79c51c4-f2e4-47a1-b97c-00c5ee258b94.source_info.json,0.13068028,79.20117,3.5652466,102,VfS0qUERdZ,com.sec.android.app.shealth,0,b79c51c4-f2e4-47a1-b97c-00c5ee258b94.achievement.json,b79c51c4-f2e4-47a1-b97c-00c5ee258b94,1.6289E+12
