com.samsung.health.food_info,6196009,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
83.0,1.0,0.0,0.0,0.0,"317 kcal, 90 g당",,samsungosp-011003,90,5.0,0.86,0.09,2021-07-03 05:00:48.136,2021-07-03 05:00:48.136,0.0,5.13,0.0,1.0,쌀밥,0.0,0.0,5.0,316.8,인분,,tKM9gWo31F,g,0.0,0.0,com.sec.android.app.shealth,70.7,0.2840909,14aa3f2d-00d1-4296-a3b7-7b9078adc718,1,
256.0,1.0,0.0,0.0,0.0,"353 kcal, 100 g당",,samsungosp-012011,100,4.0,3.09,0.64,2021-07-03 06:54:47.477,2021-07-03 05:00:48.137,0.01,7.8,0.06,2.0,잡곡밥,0.0,0.0,16.0,352.8,인분,,tKM9gWo31F,g,0.03,0.0,com.sec.android.app.shealth,76.6,0.28344673,397f6b92-abf6-4ef0-b9f6-7206c543a7be,1,
380.0,7.0,10.0,0.0,0.0,"80 kcal, 100 g당",,samsungosp-211016,100,2.0,1.8,0.2,2021-07-03 05:00:48.162,2021-07-03 05:00:48.162,0.0,1.2,0.0,1.0,바나나,0.0,0.0,4.0,80.0,인분,,tKM9gWo31F,g,0.0,0.0,com.sec.android.app.shealth,21.1,1.25,d21dcca2-3359-415c-bcdf-c1b8efa55b45,1,
293.0,0.0,0.0,0.0,0.0,"315 kcal, 90 g당",,samsungosp-011005,90,71.0,2.97,1.89,2021-07-03 05:00:48.138,2021-07-03 05:00:48.138,0.0,6.84,0.0,1.0,현미밥,0.0,0.0,5.0,315.0,인분,,tKM9gWo31F,g,0.0,0.0,com.sec.android.app.shealth,69.4,0.2857143,2daed189-6592-4aa7-8093-8997e2281ed4,1,
60.0,0.0,0.0,0.0,0.0,"3 kcal, 100 g당",,samsungosp-203018,100,1.0,0.0,0.0,2021-07-03 05:00:48.164,2021-07-03 05:00:48.164,0.0,0.1,0.0,0.0,"커피,원두,블랙",0.0,0.0,2.0,3.0,인분,,tKM9gWo31F,g,0.0,0.0,com.sec.android.app.shealth,0.4,33.333332,0d2f1914-7730-4245-a886-693b1035f9ff,1,
180.0,29.0,8.0,0.0,0.0,"11 kcal, 60 g당",,samsungosp-141008,60,688.0,1.8,0.3,2021-07-03 06:54:47.503,2021-07-03 05:00:48.152,0.0,1.2,0.0,0.0,배추김치,0.0,0.0,28.0,10.8,인분,,tKM9gWo31F,g,0.0,0.0,com.sec.android.app.shealth,2.3,5.5555553,1d3ab162-1940-45f3-ace4-b5a13939b518,1,
296.0,56.0,2.0,0.0,22.0,"120 kcal, 200 g당",,samsungosp-191005,200,110.0,0.0,6.4,2021-07-03 05:00:48.165,2021-07-03 05:00:48.165,1.82,6.4,0.22,0.0,우유,0.0,0.0,210.0,120.0,인분,,tKM9gWo31F,g,4.34,0.0,com.sec.android.app.shealth,9.4,1.6666666,a09f1ab3-799b-4113-9dce-2c911187edcc,1,
72.0,18.0,0.0,0.0,7.0,"43 kcal, 115 g당",,samsungosp-203017,115,5.0,0.0,1.935,2021-07-03 05:00:48.163,2021-07-03 05:00:48.163,0.0,0.37,0.0,0.0,"커피,설탕,프림",0.0,0.0,12.0,42.8,인분,,tKM9gWo31F,g,0.0,0.0,com.sec.android.app.shealth,5.8,2.6869159,978dcdd9-3321-4ebb-b00e-a2c30734be9d,1,
420.0,386.0,14.0,0.0,79.0,"445 kcal, 191 g당",,samsungosp-016001,190,662.0,3.31,12.765,2021-07-03 05:00:48.161,2021-07-03 05:00:48.161,2.93,10.656,4.41,3.0,김밥,0.0,0.0,42.0,444.8,인분,,tKM9gWo31F,g,1.61,0.0,com.sec.android.app.shealth,71.2,0.4271583,c6ab0d9d-aad3-4c52-8347-1b3139d93fda,1,
215.0,46.0,12.0,15.0,32.0,"318 kcal, 193g당",,fatsecret-10939153,50,1260.0,0.5,4.23,2021-07-03 06:54:47.528,2021-07-03 06:54:47.528,1.705,8.85,1.091,9.0,멸치조림,0.58,,6.0,82.0,소접시,,tKM9gWo31F,g,0.958,,com.sec.android.app.shealth,2.18,0.6097561,dc0ff537-8b08-4867-bdf4-0906e02ba6f2,1,
385.0,159.0,1.0,0.0,240.0,"515 kcal, 169 g당",,samsungosp-031004,169,1252.0,3.66,20.599,2021-07-03 05:00:48.153,2021-07-03 05:00:48.153,2.19,15.992,0.8,2.0,라면,0.0,0.0,42.0,515.0,인분,,tKM9gWo31F,g,1.57,0.0,com.sec.android.app.shealth,73.9,0.32815534,0920625f-52c3-4a5b-8c6e-8a4f667e3b4a,1,
213.0,2.0,9.0,0.0,149.0,"1109 kcal, 1561g당",,fatsecret-6254727,95,166.0,0.5,0.96,2021-07-03 06:54:47.527,2021-07-03 06:54:47.527,0.083,10.35,0.372,4.0,오징어무국,0.65,,2.0,67.0,대접,,tKM9gWo31F,g,0.244,,com.sec.android.app.shealth,3.8,1.4179105,3021b00f-7840-49e2-a12f-8c59f51b643f,1,
