com.samsung.shealth.tracker.pedometer_event,6196009,1
start_time,update_time,create_time,type,time_offset,deviceuuid,pkg_name,healthy_step,end_time,datauuid
2021-10-30 23:05:33.000,2021-10-31 00:38:41.000,2021-10-31 00:38:41.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,8572,2021-10-31 00:38:41.000,dcf942ac-fd8d-4b5a-d8f3-6526d2b0a1f7,
2021-10-31 03:07:49.000,2021-10-31 03:31:54.000,2021-10-31 03:31:54.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2148,2021-10-31 03:31:54.000,b350f358-fea6-53c7-f003-8c365bcd3583,
2021-11-20 09:34:58.000,2021-11-20 09:47:33.000,2021-11-20 09:47:33.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,1084,2021-11-20 09:47:33.000,50b19099-7101-1657-b4a8-5f38b1c84169,
2021-10-31 00:51:26.000,2021-10-31 01:21:38.000,2021-10-31 01:21:38.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2965,2021-10-31 01:21:38.000,c1b9171f-694c-1b8c-8d46-d053759e9352,
2021-11-03 09:56:55.000,2021-11-03 10:13:35.000,2021-11-03 10:13:35.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,1248,2021-11-03 10:13:35.000,2a1f0553-52f2-7560-af95-256cd404cbd0,
2021-11-21 00:36:41.000,2021-11-21 00:50:34.000,2021-11-21 00:50:34.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,1202,2021-11-21 00:50:34.000,afcf0bdf-e19a-ba12-8609-0fef08c70ee0,
2021-10-31 01:23:28.000,2021-10-31 01:43:54.000,2021-10-31 01:43:54.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2044,2021-10-31 01:43:54.000,0b58cf22-d06d-5d36-15ee-5e6cd6101dca,
2021-11-05 11:05:19.000,2021-11-05 11:17:10.000,2021-11-05 11:17:10.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,917,2021-11-05 11:17:10.000,7522ee5e-285c-2be5-18c3-ea8c2fbe367e,
2021-11-21 00:56:52.000,2021-11-21 01:17:54.000,2021-11-21 01:17:54.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,1685,2021-11-21 01:17:54.000,654571e3-0cb2-c0a7-9747-6e232d1db1b8,
2021-10-31 01:48:15.000,2021-10-31 02:02:09.000,2021-10-31 02:02:09.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,1247,2021-10-31 02:02:09.000,d8ab9219-ebd5-e6f3-02d8-7d6b7a0ea4b3,
2021-11-05 12:43:15.000,2021-11-05 12:56:16.000,2021-11-05 12:56:16.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,979,2021-11-05 12:56:16.000,8171764c-3f2a-71f0-20f8-222829d60bcd,
2021-11-21 03:23:33.000,2021-11-21 03:35:09.000,2021-11-21 03:35:09.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,887,2021-11-21 03:35:09.000,387f3278-f64e-d16d-70cc-9ef2267c8df7,
2021-10-31 02:06:27.000,2021-10-31 02:23:22.000,2021-10-31 02:23:22.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,1478,2021-10-31 02:23:22.000,d31d7f4c-de69-fbce-6cf2-b9baa5bb6178,
2021-11-06 01:51:52.000,2021-11-06 02:15:55.000,2021-11-06 02:15:55.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,1802,2021-11-06 02:15:55.000,42c98593-3042-3703-8fa6-d0f9fad78024,
2021-11-29 21:34:40.000,2021-11-29 21:46:39.000,2021-11-29 21:46:39.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,1083,2021-11-29 21:46:39.000,dc9904f1-6a93-627b-cdc4-f5ba5b8b6839,
2021-10-31 02:27:25.000,2021-10-31 02:41:25.000,2021-10-31 02:41:25.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,1269,2021-10-31 02:41:25.000,c6db3002-8c23-e58b-2f12-f5da6da8df1e,
2021-11-16 10:55:03.000,2021-11-16 11:06:58.000,2021-11-16 11:06:58.000,1,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,893,2021-11-16 11:06:58.000,0656a88c-4608-7160-8c78-81db28f99d25,
