Date,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score
2021-07-03 ,76.52,92.13,66.84
2021-07-04 ,76.5,90.05,56.32
2021-07-05 ,84.0,93.85,79.0
2021-07-06 ,72.0,91.36,68.0
2021-07-07 ,67.0,95.48,71.0
2021-07-08 ,70.0,86.97,50.0
2021-07-09 ,84.22,85.55,63.65
2021-07-10 ,72.16,87.18,42.88
2021-07-11 ,75.61,88.11,54.58
2021-07-12 ,58.0,90.83,39.0
2021-07-13 ,78.0,92.14,68.0
2021-07-14 ,82.62,88.99,65.71
2021-07-17 ,50.73,87.4,56.14
2021-07-19 ,61.0,87.92,61.0
2021-07-20 ,84.0,84.73,50.0
2021-07-24 ,78.79,88.61,54.96
2021-07-25 ,78.39,89.8,62.89
2021-07-27 ,63.0,92.31,54.0
2021-07-29 ,79.56,91.7,61.93
2021-07-30 ,76.0,90.29,83.0
2021-07-31 ,67.96,91.58,60.32
2021-08-01 ,73.33,92.54,52.0
2021-08-02 ,65.0,87.23,48.0
2021-08-04 ,85.54,92.2,78.09
2021-08-05 ,68.64,89.33,72.59
2021-08-07 ,76.25,90.07,62.55
2021-08-08 ,59.25,85.97,57.56
2021-08-10 ,83.22,94.79,71.33
2021-08-12 ,55.0,91.27,59.0
2021-08-14 ,67.41,84.74,51.58
2021-08-15 ,73.17,89.41,53.06
2021-08-16 ,87.0,92.15,61.0
2021-08-17 ,73.36,88.32,45.45
2021-08-18 ,70.68,90.21,57.13
2021-08-21 ,74.61,92.39,62.76
2021-08-22 ,64.96,86.97,47.46
2021-08-23 ,97.0,94.68,69.0
2021-08-24 ,78.32,91.96,64.27
2021-08-26 ,75.48,90.1,65.34
2021-08-27 ,73.0,90.07,64.71
2021-08-28 ,69.76,89.92,58.02
2021-08-29 ,70.0,81.51,31.0
2021-08-30 ,75.0,86.56,62.0
2021-08-31 ,70.13,91.35,58.87
2021-09-01 ,79.13,95.03,79.99
2021-09-02 ,83.0,88.12,60.0
2021-09-04 ,75.0,86.13,67.0
2021-09-05 ,79.71,92.72,67.2
2021-09-07 ,70.91,91.25,55.81
2021-09-08 ,83.0,92.89,74.0
2021-09-09 ,63.6,87.01,58.8
2021-09-11 ,74.19,90.25,66.01
2021-09-12 ,68.49,85.72,49.15
2021-09-13 ,72.0,93.14,64.76
2021-09-14 ,87.0,88.61,67.0
2021-09-16 ,64.3,93.72,64.58
2021-09-18 ,54.07,90.26,45.86
2021-09-19 ,83.07,89.67,67.44
2021-09-20 ,78.33,89.22,61.34
2021-09-21 ,77.4,90.9,65.61
2021-09-22 ,68.41,89.27,43.78
2021-09-24 ,75.0,88.35,64.45
2021-09-25 ,79.49,91.24,68.04
2021-09-26 ,60.84,89.52,56.16
2021-09-28 ,79.0,94.12,59.0
2021-09-29 ,81.0,91.55,79.0
2021-09-30 ,65.0,88.57,59.0
2021-10-01 ,68.0,88.73,70.0
2021-10-02 ,90.0,91.48,83.0
2021-10-04 ,74.19,86.41,54.77
2021-10-05 ,65.0,93.23,64.0
2021-10-06 ,65.0,93.43,73.0
2021-10-07 ,68.0,94.68,60.0
2021-10-08 ,88.0,90.07,78.0
2021-10-09 ,75.0,96.84,67.0
2021-10-10 ,83.71,90.31,70.43
2021-10-11 ,68.23,89.41,57.62
2021-10-12 ,71.0,93.86,78.0
2021-10-13 ,80.03,93.32,67.69
2021-10-14 ,84.0,90.24,64.0
2021-10-15 ,58.0,93.32,46.0
2021-10-16 ,75.0,90.44,59.0
2021-10-17 ,78.0,89.1,56.23
2021-10-18 ,79.29,91.81,66.96
2021-10-19 ,70.0,89.26,56.0
2021-10-20 ,75.97,90.46,71.44
2021-10-21 ,66.7,85.81,53.15
2021-10-22 ,82.0,91.21,58.0
2021-10-24 ,68.45,90.08,53.61
2021-10-25 ,56.0,91.37,61.0
2021-10-26 ,79.0,92.98,61.0
2021-10-27 ,80.0,90.87,68.0
2021-10-29 ,93.0,92.04,75.0
2021-10-30 ,83.02,89.76,70.06
2021-10-31 ,65.97,83.24,45.25
2021-11-01 ,71.54,90.03,68.5
2021-11-03 ,71.52,85.73,58.18
2021-11-04 ,74.0,90.52,70.0
2021-11-05 ,78.0,88.68,78.0
2021-11-06 ,71.32,93.54,60.78
2021-11-07 ,69.66,88.63,61.66
2021-11-08 ,82.0,94.39,69.0
2021-11-09 ,69.0,93.32,75.0
2021-11-10 ,78.69,93.84,69.56
2021-11-11 ,68.23,88.72,61.68
2021-11-12 ,64.0,91.81,60.8
2021-11-14 ,77.05,92.69,57.95
2021-11-15 ,63.0,91.53,50.0
2021-11-16 ,78.0,92.27,66.0
2021-11-17 ,70.0,89.61,51.0
2021-11-18 ,86.0,96.02,70.0
2021-11-19 ,65.61,88.45,58.89
2021-11-20 ,76.73,87.43,63.33
2021-11-21 ,86.18,92.17,62.97
2021-11-22 ,77.21,89.8,60.67
2021-11-26 ,76.43,88.65,61.53
2021-11-27 ,65.7,90.06,52.16
2021-11-28 ,71.56,86.62,58.49
2021-11-29 ,72.0,92.81,64.0
2021-12-02 ,83.0,95.09,85.0
2021-12-03 ,70.05,93.58,71.82
