com.samsung.shealth.food_frequent,6196009,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.95,2016-09-08 12:25:00.863,2016-09-08 12:25:00.863,0.95,0.95,0.95,poYXze4wAV,com.sec.android.app.shealth,0.95,e31b5c41-1979-48af-84a2-056a01b1f68e,ec8ac6a5-9fa7-4cd4-b2f1-0ba07b72e23e,0.95,
0.71,2016-09-08 12:25:00.864,2016-09-08 12:25:00.864,0.71,0.71,0.71,poYXze4wAV,com.sec.android.app.shealth,0.71,e296bd7d-8267-4c78-a471-15552b5a4b17,9a8a902b-d9af-4f12-b714-c7d782345168,0.71,
0.99,2016-09-08 12:25:00.862,2016-09-08 12:25:00.862,0.99,0.99,0.99,poYXze4wAV,com.sec.android.app.shealth,0.99,905a8279-365c-49b9-92c3-3d4b833b27dc,4b0c9849-2c8f-4ec7-b506-279346ccd87f,0.99,
0.0,2021-07-08 04:25:19.248,2021-07-08 04:25:19.248,0.0,0.0,1.0,Jxx4Glzrrb,com.sec.android.app.shealth,0.0,9bf5805f-36b6-4ba2-ac14-a1752723ceba,449934b1-5d67-4f73-9003-5410a035e16d,0.0,
0.0,2021-08-15 11:24:29.682,2021-08-15 11:24:29.682,0.0,0.0,1.0,Jxx4Glzrrb,com.sec.android.app.shealth,0.0,45bd4679-0cc7-46d3-867c-547f16f431be,64aca6be-5808-4ff4-a6fa-fa1c44042bcc,0.0,
0.91,2016-09-08 12:25:00.863,2016-09-08 12:25:00.863,0.91,0.91,0.91,poYXze4wAV,com.sec.android.app.shealth,0.91,97210625-bf42-4408-a288-889087ea7f42,77f5ecf5-c56b-408e-82d3-3d0643bcc99c,0.91,
0.87,2016-09-08 12:25:00.863,2016-09-08 12:25:00.863,0.87,0.87,0.87,poYXze4wAV,com.sec.android.app.shealth,0.87,8b2f8408-0dd2-499e-b0a1-63cbe3eeb212,30677c58-f54e-491c-8290-1392c97786e7,0.87,
0.63,2016-09-08 12:25:00.864,2016-09-08 12:25:00.864,0.63,0.63,0.63,poYXze4wAV,com.sec.android.app.shealth,0.63,54f87eb6-61fa-426f-acb2-be5758215901,8d5ef1cf-2d9f-49ce-8289-888c6afdf99b,0.63,
0.0,2021-07-08 04:26:30.742,2021-07-08 04:26:30.742,0.0,0.0,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,0.0,c3a61452-c7df-445c-a5c3-8e024124dff8,71ec97da-a328-4017-8542-07a4333cfc14,1.0,
0.0,2021-08-15 11:26:26.843,2021-08-15 11:26:26.843,0.0,0.0,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,0.0,5310a0f6-9eb2-409e-a102-d85476b38bfa,fd8aa6c5-dcc4-4370-aabd-2e6d9536d474,1.0,
0.67,2016-09-08 12:25:00.864,2016-09-08 12:25:00.864,0.67,0.67,0.67,poYXze4wAV,com.sec.android.app.shealth,0.67,2294e2bb-eba2-4316-8a23-a33530f535f5,51f6745c-f30c-4220-8700-b6049239cb45,0.67,
0.83,2016-09-08 12:25:00.863,2016-09-08 12:25:00.863,0.83,0.83,0.83,poYXze4wAV,com.sec.android.app.shealth,0.83,0e63ad0a-9832-4d17-9b10-2786ff9a01cc,9cdd138c-d09d-4fff-a31f-bbabe80a856a,0.83,
0.0,2021-08-15 11:24:29.669,2021-07-03 02:42:35.195,0.0,0.0,4.0,Jxx4Glzrrb,com.sec.android.app.shealth,0.0,45eebb47-0aa0-45e3-b58e-778d6f0bf280,42afa23d-8181-4513-894f-d9f42449a0d1,0.0,
0.75,2016-09-08 12:25:00.864,2016-09-08 12:25:00.864,0.75,0.75,0.75,poYXze4wAV,com.sec.android.app.shealth,0.75,8dbf9638-cbe4-4fdc-8de3-1ad52210e419,8e775184-9d63-4fe9-b4ae-99a234312c5e,0.75,
0.0,2021-07-08 04:29:28.619,2021-07-08 04:29:28.619,0.0,0.0,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,0.0,0a3be021-8fb7-48cb-9696-13d8de4b0635,686ab5cf-9166-44e3-9991-c226cb57b740,1.0,
0.0,2021-07-08 04:26:30.736,2021-07-08 04:26:30.736,0.0,0.0,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,0.0,c81c7fbc-796a-4d74-86ff-f6790811672d,ed127790-a457-4a9a-a408-ddf89e4cb5dc,1.0,
0.0,2021-08-29 02:30:06.486,2021-08-29 02:30:06.486,0.0,0.0,1.0,Jxx4Glzrrb,com.sec.android.app.shealth,0.0,cf391ca7-0a47-420e-b772-c08f0213c5a8,ee993ba5-a433-42f0-89ee-c17f74a5b317,0.0,
0.79,2016-09-08 12:25:00.863,2016-09-08 12:25:00.863,0.79,0.79,0.79,poYXze4wAV,com.sec.android.app.shealth,0.79,2e1a5f7f-5d52-4ebb-9a41-877d8c97390f,cb8e7676-1d2b-48a3-b9ca-9566f5ee99fe,0.79,
0.0,2021-07-03 02:42:35.206,2021-07-03 02:42:35.206,0.0,0.0,1.0,Jxx4Glzrrb,com.sec.android.app.shealth,0.0,a161c7ac-f353-4430-b455-db84936673b4,1b02167a-03c9-4411-9b8b-fbe194f23251,0.0,
