com.samsung.shealth.report,6200039,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Seoul,1458399600000,2016-11-24 09:29:08.928,2016-04-02 04:35:19.056,0,1,1,wakAfCXJCw,X,com.sec.android.app.shealth,48954dd1-f9b2-4948-b59f-de1575fda345,48954dd1-f9b2-4948-b59f-de1575fda345.compressed_content.json,
Asia/Seoul,1459004400000,2016-11-24 09:29:08.890,2016-04-03 04:21:16.967,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,3e97e81e-0b9d-4d9a-834d-d3a35381dc39,3e97e81e-0b9d-4d9a-834d-d3a35381dc39.compressed_content.json,
Asia/Seoul,1459609200000,2016-11-24 09:29:08.852,2016-04-10 04:27:46.259,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,3d2c5212-784b-48f5-9198-6e7ada6e5304,3d2c5212-784b-48f5-9198-6e7ada6e5304.compressed_content.json,
Asia/Seoul,1462633200000,2016-11-24 09:29:08.576,2016-05-15 04:10:17.566,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,a65de179-186e-491f-85f9-5f12c96e5261,a65de179-186e-491f-85f9-5f12c96e5261.compressed_content.json,
Asia/Seoul,1462028400000,2016-11-24 09:29:08.605,2016-05-08 04:46:32.393,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,966ba841-697a-4f5f-9256-75cbd1926c54,966ba841-697a-4f5f-9256-75cbd1926c54.compressed_content.json,
Asia/Seoul,1463238000000,2016-11-24 09:29:08.539,2016-05-22 04:15:21.818,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,ba451143-5c6e-4a4a-8b51-8472de951be4,ba451143-5c6e-4a4a-8b51-8472de951be4.compressed_content.json,
Asia/Seoul,1466262000000,2016-11-24 09:29:08.265,2016-06-26 04:36:02.381,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,23c8f786-b26b-4022-ba02-5c664c45b726,23c8f786-b26b-4022-ba02-5c664c45b726.compressed_content.json,
Asia/Seoul,1465657200000,2016-11-24 09:29:08.297,2016-06-19 04:15:00.105,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,16e5f7df-e400-4c27-bf0c-8fa0b3f46a28,16e5f7df-e400-4c27-bf0c-8fa0b3f46a28.compressed_content.json,
Asia/Seoul,1469890800000,2016-11-24 09:29:07.922,2016-08-07 05:08:18.339,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,eafb1265-3c09-43b6-a20c-036cbf569676,eafb1265-3c09-43b6-a20c-036cbf569676.compressed_content.json,
Asia/Seoul,1466866800000,2016-11-24 09:29:08.233,2016-07-03 05:00:57.504,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,21638cf0-439c-4688-b94b-ab6f6acbedfd,21638cf0-439c-4688-b94b-ab6f6acbedfd.compressed_content.json,
Asia/Seoul,1469286000000,2016-11-24 09:29:07.983,2016-07-31 04:26:53.807,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,689ec1c2-1501-4e26-a053-72eb6fc6a180,689ec1c2-1501-4e26-a053-72eb6fc6a180.compressed_content.json,
Asia/Seoul,1473519600000,2016-11-24 09:29:07.455,2016-09-18 04:55:34.448,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,a2c1bbbf-ebda-438c-8d2d-4d0719d5aaae,a2c1bbbf-ebda-438c-8d2d-4d0719d5aaae.compressed_content.json,
Asia/Seoul,1470495600000,2016-11-24 09:29:07.862,2016-08-14 05:22:20.370,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,adccda06-74f3-4e29-adf2-08167d03f09f,adccda06-74f3-4e29-adf2-08167d03f09f.compressed_content.json,
Asia/Seoul,1472914800000,2016-11-24 09:29:07.503,2016-09-11 04:55:20.062,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,824c9ac0-9a74-484e-aa7a-e9f365d4ddc7,824c9ac0-9a74-484e-aa7a-e9f365d4ddc7.compressed_content.json,
Asia/Seoul,1477148400000,2016-11-24 09:29:07.265,2016-10-30 04:54:20.123,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,6cbf51da-d4a7-4c72-8d85-156fe1b3f0c2,6cbf51da-d4a7-4c72-8d85-156fe1b3f0c2.compressed_content.json,
Asia/Seoul,1476543600000,2016-11-24 09:29:07.286,2016-10-23 04:54:06.230,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,e0cf78e9-853d-4eef-a2dc-ee3db523f570,e0cf78e9-853d-4eef-a2dc-ee3db523f570.compressed_content.json,
Asia/Seoul,1480777200000,2016-12-11 05:01:39.137,2016-12-11 04:55:36.396,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,0d012499-14dc-4737-a2fe-2ba3780d8d82,0d012499-14dc-4737-a2fe-2ba3780d8d82.compressed_content.json,
Asia/Seoul,1474124400000,2016-11-24 09:29:07.424,2016-09-25 04:55:58.207,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,6d9403e0-901f-41b9-8ab4-d6cba5d8901f,6d9403e0-901f-41b9-8ab4-d6cba5d8901f.compressed_content.json,
Asia/Seoul,1484406000000,2017-01-22 05:03:24.232,2017-01-22 04:57:21.207,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,810b3222-6817-46a9-a047-062c9118e8e5,810b3222-6817-46a9-a047-062c9118e8e5.compressed_content.json,
Asia/Seoul,1480172400000,2016-12-04 05:00:53.900,2016-12-04 04:55:19.116,0,0,1,wakAfCXJCw,X,com.sec.android.app.shealth,9aa0d02d-598b-458a-9b2a-0194a5a69c1d,9aa0d02d-598b-458a-9b2a-0194a5a69c1d.compressed_content.json,
