com.samsung.shealth.calories_burned.details,6200039,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,dea52ff0-af7c-452c-aa73-ca67e89f040b.extra_data.json,0.0,1455660,1594.3953,2017-11-16 22:04:27.957,2017-11-16 22:04:27.957,78.55001,wakAfCXJCw,com.sec.android.app.shealth,dea52ff0-af7c-452c-aa73-ca67e89f040b,1509494400000,
,,66999f8b-50c5-471c-94e2-c7046ca71e55.extra_data.json,0.0,3340851,1559.0106,2017-11-16 22:04:28.701,2017-11-16 22:04:28.701,189.69998,wakAfCXJCw,com.sec.android.app.shealth,66999f8b-50c5-471c-94e2-c7046ca71e55,1510444800000,
,,e773cfd5-f329-4e86-8afc-3eb6bf8271f9.extra_data.json,0.0,4174259,1543.3676,2017-12-02 15:00:00.836,2017-12-01 15:00:00.543,211.17995,wakAfCXJCw,com.sec.android.app.shealth,e773cfd5-f329-4e86-8afc-3eb6bf8271f9,1512172800000,
,,f125c55b-102d-491a-b690-6fc2c7886376.extra_data.json,0.0,669133,1609.1583,2017-12-01 15:00:00.746,2017-11-30 15:16:55.893,36.260002,wakAfCXJCw,com.sec.android.app.shealth,f125c55b-102d-491a-b690-6fc2c7886376,1512086400000,
,,ca17fb0f-29ff-4855-979e-c2fbd6952b28.extra_data.json,0.0,4144311,1543.9296,2017-11-16 22:04:28.421,2017-11-16 22:04:28.421,208.19005,wakAfCXJCw,com.sec.android.app.shealth,ca17fb0f-29ff-4855-979e-c2fbd6952b28,1510012800000,
,,0bf3191c-327b-47d7-be42-7ae6e9dc67f9.extra_data.json,0.0,1017812,1602.6138,2017-12-08 15:01:36.261,2017-12-07 15:00:02.718,55.410004,wakAfCXJCw,com.sec.android.app.shealth,0bf3191c-327b-47d7-be42-7ae6e9dc67f9,1512691200000,
,,23f3718e-dd69-4490-b3bc-ad82b3a885c9.extra_data.json,0.0,2330865,1577.9679,2017-12-07 15:00:03.437,2017-12-06 16:18:42.911,116.32,wakAfCXJCw,com.sec.android.app.shealth,23f3718e-dd69-4490-b3bc-ad82b3a885c9,1512604800000,
,,c32719de-bc86-48c4-b622-3c7d69db893d.extra_data.json,0.0,1093316,1601.1965,2017-11-21 15:00:01.079,2017-11-20 15:00:01.798,59.560005,wakAfCXJCw,com.sec.android.app.shealth,c32719de-bc86-48c4-b622-3c7d69db893d,1511222400000,
,,dc03268c-b78e-4cf1-8c5d-f2c9caaf73e4.extra_data.json,0.0,740370,1602.1931,2018-01-05 07:29:22.953,2017-12-13 15:00:17.719,37.199997,wakAfCXJCw,com.sec.android.app.shealth,dc03268c-b78e-4cf1-8c5d-f2c9caaf73e4,1513209600000,
,,e4ed97f8-0ec1-40ee-a452-365ae871b683.extra_data.json,0.0,1900650,1580.491,2018-01-05 07:29:22.904,2017-12-12 15:16:25.820,95.68998,wakAfCXJCw,com.sec.android.app.shealth,e4ed97f8-0ec1-40ee-a452-365ae871b683,1513123200000,
