com.samsung.shealth.social.leaderboard,6200039,1
update_time,create_time,my_value,body,type,deviceuuid,pkg_name,last_sync_time,datauuid
2021-01-15 03:01:28.612,2019-10-07 00:27:24.442,14,909a8495-674e-4e19-bf05-d28f13094921.body.json,102,xfhdjU2RR4,com.sec.android.app.shealth,1610679688581,909a8495-674e-4e19-bf05-d28f13094921,
2021-01-15 03:01:28.654,2019-10-07 00:27:24.491,21,7e9a7a5a-e746-42ac-88f4-c65bb72d6375.body.json,101,xfhdjU2RR4,com.sec.android.app.shealth,1610679688582,7e9a7a5a-e746-42ac-88f4-c65bb72d6375,
2021-01-15 03:01:28.724,2019-10-07 00:27:24.677,1,e4385a85-7ca4-4936-9d94-7fbc5977ddaf.body.json,200,xfhdjU2RR4,com.sec.android.app.shealth,1610679688691,e4385a85-7ca4-4936-9d94-7fbc5977ddaf,
