Date,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score
2021-07-13 ,69.0,90.19,65.0
2021-07-14 ,78.0,91.61,68.0
2021-07-15 ,63.73,81.34,64.14
2021-07-16 ,71.4,89.25,72.8
2021-07-17 ,59.0,86.46,58.0
2021-07-18 ,74.0,78.02,71.0
2021-07-19 ,70.0,63.33,34.0
2021-07-20 ,70.31,86.13,67.79
2021-07-21 ,74.15,85.2,68.47
2021-07-22 ,77.92,93.6,70.77
2021-07-23 ,70.0,72.22,33.93
2021-07-24 ,74.25,87.29,71.28
2021-07-25 ,70.0,65.99,36.0
2021-07-26 ,56.0,73.58,47.0
2021-07-27 ,75.0,76.22,53.0
2021-07-28 ,70.0,68.84,41.0
2021-07-29 ,70.0,79.57,36.0
2021-07-30 ,70.0,63.53,29.0
2021-07-31 ,72.0,77.27,51.0
2021-08-01 ,70.0,77.4,36.0
2021-08-02 ,55.0,64.44,46.0
2021-08-03 ,75.0,80.0,43.0
2021-08-05 ,61.66,81.07,48.11
2021-08-06 ,74.0,77.04,38.0
2021-08-09 ,72.0,87.88,53.0
2021-08-11 ,70.0,81.12,31.0
2021-08-12 ,70.0,74.81,41.0
2021-08-13 ,73.0,80.63,66.0
2021-08-14 ,63.0,74.39,31.0
2021-08-15 ,63.0,83.16,36.0
2021-08-16 ,73.42,86.8,66.18
2021-08-17 ,71.36,61.34,37.14
2021-08-18 ,54.0,73.8,55.0
2021-08-19 ,61.61,82.14,46.49
2021-08-20 ,56.0,73.49,46.0
2021-08-22 ,73.0,77.66,44.0
2021-08-24 ,73.73,73.85,47.4
2021-08-26 ,74.0,91.89,56.0
2021-08-29 ,59.0,82.07,35.0
2021-08-30 ,71.13,83.92,55.29
2021-08-31 ,72.25,71.66,56.52
2021-09-04 ,70.0,63.3,39.0
2021-09-06 ,70.0,66.67,34.0
2021-09-07 ,74.25,89.54,64.23
2021-09-08 ,70.0,60.42,31.0
2021-09-09 ,70.0,70.42,34.42
2021-09-11 ,70.0,76.67,43.0
2021-09-12 ,70.0,56.32,34.0
2021-09-19 ,58.0,69.23,30.0
2021-09-20 ,62.0,79.57,52.0
2021-09-21 ,74.0,69.06,60.0
2021-09-23 ,70.0,61.22,29.0
2021-09-24 ,70.0,76.84,50.0
2021-09-30 ,74.0,77.06,69.0
2021-10-01 ,70.0,70.45,46.0
2021-10-02 ,74.0,68.12,43.0
2021-10-03 ,65.68,61.26,32.46
2021-10-05 ,59.0,87.5,61.0
2021-10-06 ,70.0,65.79,39.0
2021-10-07 ,75.0,79.78,59.0
2021-10-15 ,70.0,61.69,29.0
2021-10-20 ,70.0,68.67,39.0
2021-10-24 ,74.0,80.52,50.0
2021-10-25 ,74.0,77.53,64.0
2021-10-27 ,64.0,81.07,36.0
2021-10-28 ,70.0,59.4,34.76
2021-10-30 ,70.0,64.77,29.0
2021-10-31 ,64.45,69.23,47.89
2021-11-02 ,70.0,75.39,31.0
2021-11-03 ,75.0,76.92,43.0
2021-11-04 ,75.0,74.51,67.0
2021-11-07 ,62.0,82.61,58.0
2021-11-09 ,75.0,84.0,43.0
2021-11-11 ,60.0,64.5,50.0
2021-11-14 ,70.0,70.16,30.08
2021-11-17 ,57.0,68.69,35.0
2021-11-20 ,44.0,82.95,47.0
2021-11-21 ,64.0,69.61,56.0
2021-11-23 ,77.59,90.67,68.06
2021-11-24 ,73.0,92.76,73.0
2021-11-26 ,70.0,75.98,36.0
2021-11-27 ,70.0,73.77,31.0
2021-12-02 ,70.0,63.64,29.0
2021-12-03 ,70.0,60.81,29.0
2021-12-07 ,72.5,82.11,70.47
2021-12-08 ,70.0,73.64,36.0
2021-12-09 ,70.0,60.61,29.0
2021-12-10 ,61.0,90.59,44.0
2021-12-11 ,36.0,65.45,51.0
