com.samsung.shealth.food_frequent,6200039,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.99,2021-07-25 07:23:47.408,2021-07-25 07:23:47.408,0.99,0.99,0.99,AmBxKyNhYC,com.sec.android.app.shealth,0.99,9f9db6dd-2c5a-4b50-8132-e373be22e57a,b6cede34-7e08-4a0e-b433-af8f5f02c7a2,0.99,
0.95,2021-07-25 07:23:47.409,2021-07-25 07:23:47.409,0.95,0.95,0.95,AmBxKyNhYC,com.sec.android.app.shealth,0.95,d0979e65-5b14-4ebf-9d12-7e824a077ee4,b3518bb9-2f9f-4d97-b218-ba0b176b9509,0.95,
0.75,2021-07-25 07:23:47.409,2021-07-25 07:23:47.409,0.75,0.75,0.75,AmBxKyNhYC,com.sec.android.app.shealth,0.75,5158449f-441a-47be-b3a4-19ec1041eacb,91296d68-3131-4497-978a-42effef82acf,0.75,
0.71,2021-07-25 07:23:47.409,2021-07-25 07:23:47.409,0.71,0.71,0.71,AmBxKyNhYC,com.sec.android.app.shealth,0.71,55dbebba-0fc8-4ef9-aa96-10b7c42ad000,27b775cc-8268-4aba-9203-52747f6ea5bd,0.71,
0.91,2021-07-25 07:23:47.409,2021-07-25 07:23:47.409,0.91,0.91,0.91,AmBxKyNhYC,com.sec.android.app.shealth,0.91,84361c7d-40e7-43fe-962d-2ec9c2481d68,a3dcda27-cb5b-4e6a-b2b6-8101ae0c56b7,0.91,
0.67,2021-07-25 07:23:47.409,2021-07-25 07:23:47.409,0.67,0.67,0.67,AmBxKyNhYC,com.sec.android.app.shealth,0.67,e90ee026-fc6c-4f17-82eb-5a19fabaf6a5,0a90f28e-5e6b-48dd-b026-6180f3e79472,0.67,
0.87,2021-07-25 07:23:47.409,2021-07-25 07:23:47.409,0.87,0.87,0.87,AmBxKyNhYC,com.sec.android.app.shealth,0.87,cd3f6605-7d7e-40a0-9dc8-f0f21d861358,1d7fa1e4-d018-418f-8c19-fda2076ad434,0.87,
0.83,2021-07-25 07:23:47.409,2021-07-25 07:23:47.409,0.83,0.83,0.83,AmBxKyNhYC,com.sec.android.app.shealth,0.83,0fc86645-8f8b-4122-837c-d41f64faca5e,b09a50e5-6c5a-4859-9119-c9c27983b039,0.83,
0.79,2021-07-25 07:23:47.409,2021-07-25 07:23:47.409,0.79,0.79,0.79,AmBxKyNhYC,com.sec.android.app.shealth,0.79,a0dbbd47-e0c3-476f-a4b8-86a338089b84,eae9bd6f-4437-4ca3-9833-e1e6ea5f5cb7,0.79,
0.63,2021-07-25 07:23:47.409,2021-07-25 07:23:47.409,0.63,0.63,0.63,AmBxKyNhYC,com.sec.android.app.shealth,0.63,fa8af508-d77f-4ac6-b86a-087746b30b1d,e6564070-9f09-4888-a034-391a00292d12,0.63,
