Date,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score
2021-08-24 ,70.0,90.0,47.0
2021-08-25 ,63.0,91.79,78.0
2021-08-26 ,62.0,92.42,70.0
2021-08-27 ,50.76,89.51,54.36
2021-08-28 ,50.0,89.43,65.0
2021-08-29 ,77.84,92.32,60.73
2021-08-30 ,71.02,90.15,68.27
2021-08-31 ,80.6,91.18,62.52
2021-09-01 ,70.0,94.48,54.0
2021-09-02 ,76.07,91.69,66.79
2021-09-04 ,68.41,83.43,49.48
2021-09-05 ,87.83,94.33,67.76
2021-09-06 ,77.84,88.06,73.09
2021-09-07 ,64.0,89.27,56.0
2021-09-08 ,73.74,85.35,62.27
2021-09-09 ,66.0,91.12,72.0
2021-09-10 ,65.42,86.25,50.82
2021-09-11 ,32.0,91.08,65.0
2021-09-12 ,52.0,88.86,66.0
2021-09-13 ,56.0,83.63,60.0
2021-09-14 ,70.0,91.62,51.0
2021-09-15 ,52.5,88.32,57.67
2021-09-16 ,79.0,83.71,58.0
2021-09-17 ,73.48,85.23,63.53
2021-09-18 ,66.7,86.97,50.84
2021-09-19 ,62.85,81.99,58.92
2021-09-20 ,85.0,92.39,74.0
2021-09-21 ,72.64,92.33,52.34
2021-09-22 ,73.83,86.52,49.87
2021-09-23 ,70.76,79.7,61.07
2021-09-24 ,70.0,88.17,49.0
2021-10-08 ,70.0,87.05,44.0
2021-10-09 ,78.45,92.1,59.9
2021-10-10 ,77.66,92.97,66.93
2021-10-11 ,74.0,88.44,47.0
2021-10-12 ,62.0,88.75,41.0
2021-10-13 ,66.4,88.98,51.17
2021-10-14 ,67.87,91.16,60.97
2021-10-15 ,64.12,87.55,66.27
2021-10-16 ,41.0,84.05,52.0
2021-10-17 ,69.63,80.47,51.51
2021-10-18 ,69.59,94.16,68.26
2021-10-19 ,71.75,91.05,78.18
2021-10-20 ,69.7,85.44,48.84
2021-10-21 ,72.75,85.78,49.59
2021-10-22 ,66.0,85.02,55.0
2021-10-23 ,53.13,85.84,52.8
2021-10-24 ,59.01,88.53,48.75
2021-10-25 ,70.0,94.01,46.0
2021-10-26 ,62.65,86.31,53.18
2021-10-27 ,73.2,89.75,59.58
2021-10-28 ,66.0,85.27,62.0
2021-10-29 ,80.0,92.45,70.0
2021-10-30 ,67.43,80.6,54.4
2021-10-31 ,70.0,50.0,29.0
2021-11-01 ,63.0,89.28,49.0
2021-11-02 ,75.0,87.75,71.0
2021-11-03 ,74.86,85.94,55.57
2021-11-04 ,74.07,76.04,44.09
2021-11-05 ,59.39,83.77,52.68
2021-11-06 ,77.68,93.84,67.64
2021-11-07 ,70.86,79.65,59.66
2021-11-08 ,73.4,91.25,58.55
2021-11-09 ,74.75,92.26,50.85
2021-11-10 ,76.12,86.03,57.38
2021-11-11 ,80.0,89.12,69.0
2021-11-12 ,81.03,94.33,53.48
2021-11-13 ,69.57,91.2,63.72
2021-11-14 ,65.43,88.35,43.72
2021-11-15 ,73.22,82.9,43.46
2021-11-16 ,82.21,89.93,52.44
2021-11-17 ,63.3,89.08,55.57
2021-11-18 ,79.65,88.01,53.79
2021-11-19 ,77.24,88.65,57.2
2021-11-20 ,65.0,90.69,50.0
2021-11-21 ,83.59,92.71,55.53
2021-11-22 ,70.0,88.33,50.0
2021-11-23 ,73.93,82.01,53.42
2021-11-24 ,78.58,89.51,55.1
2021-11-25 ,77.81,90.63,64.49
2021-11-26 ,81.0,93.03,62.0
2021-11-27 ,68.89,87.72,48.65
2021-11-28 ,89.0,91.58,79.0
2021-11-29 ,74.0,91.51,63.0
2021-11-30 ,69.6,89.56,62.0
2021-12-08 ,69.0,89.44,60.0
2021-12-09 ,71.51,87.28,67.42
2021-12-10 ,52.93,90.52,66.46
2021-12-11 ,76.21,93.41,61.61
2021-12-12 ,70.0,89.97,51.0
2021-12-13 ,81.24,86.24,74.7
2021-12-14 ,73.61,93.04,60.84
2021-12-15 ,74.24,91.23,78.08
2021-12-16 ,79.0,89.62,65.0
2021-12-17 ,84.65,90.89,77.77
