com.samsung.shealth.social.leaderboard,6201005,1
update_time,create_time,my_value,body,type,deviceuuid,pkg_name,last_sync_time,datauuid
2021-12-18 00:19:12.870,2021-08-24 11:29:09.524,32,aa7153aa-cc19-4227-bfcc-2132777444ff.body.json,101,Hx51+uDVw3,com.sec.android.app.shealth,1639786752360,aa7153aa-cc19-4227-bfcc-2132777444ff,
2021-12-18 00:19:13.153,2021-08-24 11:29:09.546,1,ea307ef8-45ae-4a98-936f-310dcae11166.body.json,200,Hx51+uDVw3,com.sec.android.app.shealth,1639786752682,ea307ef8-45ae-4a98-936f-310dcae11166,
2021-12-18 00:19:12.686,2021-08-24 11:29:09.450,40,7a6c96e2-4b9e-44e1-a026-bc20ea173bec.body.json,102,Hx51+uDVw3,com.sec.android.app.shealth,1639786752357,7a6c96e2-4b9e-44e1-a026-bc20ea173bec,
