Date,Step Count,Speed (m/s),Distance,Calories
2021-09-11 ,9489,0.44,7237.48,342.13
2021-09-12 ,9903,0.42,7597.05,352.17
2021-09-13 ,8396,0.74,6398.74,305.81
2021-09-14 ,9493,0.84,7195.88,350.19
2021-09-15 ,7482,0.4,5754.66,268.24
2021-09-16 ,8885,0.44,6804.9,318.04
2021-09-17 ,10246,0.84,7766.5,373.35
2021-09-18 ,9282,0.39,7132.19,333.23
2021-09-19 ,18677,1.01,14040.12,694.01
2021-09-20 ,18433,1.03,13568.28,714.06
2021-09-21 ,3970,1.17,2930.98,150.69
2021-09-22 ,19511,0.8,14691.53,718.55
2021-09-23 ,8661,1.02,6543.94,314.43
2021-09-24 ,4082,0.97,3043.86,153.39
2021-09-25 ,783,0.19,605.22,27.46
2021-09-26 ,13265,0.55,10055.86,483.99
2021-09-27 ,4955,0.3,3807.21,177.19
2021-09-28 ,3357,0.39,2560.67,120.08
2021-09-29 ,5479,0.32,4198.77,195.39
2021-09-30 ,5355,0.58,4076.36,197.63
2021-10-01 ,10213,0.37,7756.98,375.53
2021-10-02 ,9531,0.35,7246.78,348.0
2021-10-03 ,6052,0.85,4538.41,228.27
2021-10-04 ,10494,0.71,7985.56,386.42
2021-10-05 ,14655,0.84,10903.87,549.02
2021-10-06 ,13098,0.49,9988.74,470.67
2021-10-07 ,11635,0.94,8788.49,427.51
2021-10-08 ,4942,0.43,3807.95,176.14
2021-10-09 ,13105,0.69,9873.37,485.93
2021-10-10 ,11108,0.89,8377.46,404.43
2021-10-11 ,15963,0.96,11949.92,585.73
2021-10-12 ,16175,0.93,11984.07,614.53
2021-10-13 ,6270,1.18,4653.9,240.27
2021-10-14 ,13497,0.46,10241.94,492.56
2021-10-15 ,3104,0.26,2396.51,109.78
2021-10-16 ,12034,0.48,9291.84,425.39
2021-10-17 ,4501,0.79,3415.08,165.86
2021-10-18 ,3010,0.48,2313.07,107.03
2021-10-19 ,118,1.15,86.39,4.44
2021-10-20 ,13150,0.45,10062.0,474.3
2021-10-21 ,7880,0.3,6049.52,282.62
2021-10-22 ,7369,0.28,5635.59,267.51
2021-10-23 ,9513,0.39,7287.27,344.0
