,update_time,start_date,start_time,source_type,count,speed,distance,calorie
65,2021-07-26 15:00:01.874,2021-07-26 ,15:00:01.874,25,5664,0.4773698,4324.97,200.32762
66,2021-07-27 15:00:02.774,2021-07-26 ,22:45:06.265,-2,3763,0.58168346,2816.846,139.80307

68,2021-07-27 15:00:02.950,2021-07-27 ,15:00:02.950,25,2938,0.4100355,2238.794,104.16434
69,2021-07-28 14:59:01.670,2021-07-27 ,21:34:02.377,-2,4161,0.5709398,3135.8445,155.13339

70,2021-07-28 15:00:01.061,2021-07-28 ,15:00:01.061,0,3375,1.2312961,2505.46,130.51
71,2021-07-28 15:00:01.970,2021-07-28 ,15:00:01.970,25,3368,0.4508864,2570.0525,119.00169
72,2021-07-29 13:30:27.302,2021-07-28 ,23:22:03.335,-2,5135,0.60526973,3890.141,189.1647

73,2021-07-29 15:00:01.311,2021-07-29 ,15:00:01.311,0,3803,1.2400455,2834.81,142.56999
74,2021-07-29 15:00:02.686,2021-07-29 ,15:00:02.686,25,4001,0.41618928,3071.4768,143.39261
75,2021-07-30 14:56:02.756,2021-07-29 ,15:05:31.406,-2,4777,0.48080233,3648.6624,169.53825

76,2021-07-30 15:00:01.028,2021-07-30 ,15:00:01.028,0,1282,1.3093399,959.15,46.51
77,2021-07-30 15:00:02.211,2021-07-30 ,15:00:02.211,25,4102,0.39524892,3154.0864,144.58673
78,2021-07-31 14:30:02.922,2021-07-30 ,15:45:02.223,-2,3450,0.39883673,2618.7917,127.15501

79,2021-07-31 15:43:46.037,2021-07-31 ,15:43:46.037,0,1910,1.3357469,1420.0,71.939995
80,2021-07-31 15:43:48.662,2021-07-31 ,15:43:48.662,25,2464,0.26089093,1909.7217,87.64728
81,2021-08-01 13:48:02.260,2021-07-31 ,21:32:02.969,-2,10412,0.68750787,7872.6357,389.70285

82,2021-08-01 15:00:01.505,2021-08-01 ,15:00:01.505,0,6832,1.2460436,5084.85,267.8
83,2021-08-01 15:00:02.558,2021-08-01 ,15:00:02.558,25,8487,0.5184673,6470.4717,301.62732
84,2021-08-02 14:06:27.682,2021-08-01 ,18:20:04.150,-2,5016,0.48661748,3855.9197,189.48419

85,2021-08-03 14:52:02.990,2021-08-02 ,15:32:14.667,-2,6642,0.5685639,5071.6226,246.32669
86,2021-08-03 15:00:01.036,2021-08-02 ,15:49:12.756,0,5211,1.3535743,3950.09,197.24997
87,2021-08-02 15:49:12.933,2021-08-02 ,15:49:12.933,0,3397,1.2590648,2558.52,129.69998
88,2021-08-02 15:49:19.686,2021-08-02 ,15:49:19.686,25,3751,0.3166138,2925.5117,137.2619

89,2021-08-03 15:00:02.160,2021-08-03 ,15:00:02.160,25,4313,0.3502151,3320.039,151.99298
90,2021-08-05 02:04:49.041,2021-08-03 ,17:49:48.869,-2,12317,0.7473484,9297.679,455.55453

