com.samsung.shealth.activity.day_summary,6196009,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,,0,2021-07-03 02:08:28.001,2021-07-03 02:08:28.001,-1,0,0,0.0,0.0,3b116d2f-6901-432e-9e43-81f12007db91.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,3b116d2f-6901-432e-9e43-81f12007db91,1624838400000,
0,0,,0,2021-07-03 02:08:27.845,2021-07-03 02:08:27.845,-1,0,0,0.0,0.0,22c03a98-553e-4288-8265-96bb9fa2da6b.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,22c03a98-553e-4288-8265-96bb9fa2da6b,1624665600000,
0,0,,0,2021-07-03 02:08:27.772,2021-07-03 02:08:27.772,-1,0,0,0.0,0.0,48de86df-3f45-41c4-bba3-2f641485cc43.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,48de86df-3f45-41c4-bba3-2f641485cc43,1624579200000,
0,0,,0,2021-07-03 02:08:28.160,2021-07-03 02:08:28.160,-1,0,0,0.0,0.0,8457582f-625a-4818-83dc-f1c8eddbc1c8.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,8457582f-625a-4818-83dc-f1c8eddbc1c8,1625011200000,
0,0,,0,2021-07-03 02:08:27.645,2021-07-03 02:08:27.645,-1,0,0,0.0,0.0,9d476221-bfed-41be-9398-3e89154beff9.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,9d476221-bfed-41be-9398-3e89154beff9,1624406400000,
2185,1417802,90,0,2021-07-30 21:57:02.318,2021-07-03 15:07:26.221,60,300000,25,1623.68,83.33001,bfe19376-b265-40b9-9c6b-ef8b82ee421c.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,1417802,20879999,bfe19376-b265-40b9-9c6b-ef8b82ee421c,1625356800000,
0,0,,0,2021-07-03 02:08:28.307,2021-07-03 02:08:28.307,-1,0,0,0.0,0.0,c4c52749-ff3b-407c-88e2-bd04de7ce886.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,c4c52749-ff3b-407c-88e2-bd04de7ce886,1625184000000,
3621,2300166,90,0,2021-07-30 21:57:02.564,2021-07-06 15:18:32.178,60,600000,42,2698.54,137.63,b098f816-d94d-4de2-ba18-cff416a7e3a1.extra_data.json,OvMFo+Qpk+,800,com.sec.android.app.shealth,2299366,33420000,b098f816-d94d-4de2-ba18-cff416a7e3a1,1625616000000,
0,0,,0,2021-07-03 02:08:28.228,2021-07-03 02:08:28.228,-1,0,0,0.0,0.0,c3fa4504-2714-49dc-aeea-bd239555867f.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,c3fa4504-2714-49dc-aeea-bd239555867f,1625097600000,
2122,1337125,90,0,2021-07-30 21:57:02.381,2021-07-04 15:49:14.865,60,360000,24,1561.3401,83.930016,882cdec9-7a99-4e8e-a0c6-5ac6cb70d6bc.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,1337125,29220000,882cdec9-7a99-4e8e-a0c6-5ac6cb70d6bc,1625443200000,
