Date,Step Count,Speed (m/s),Distance,Greater than 10K steps
2021-08-24 ,6000,0.66,4529.92,No
2021-08-25 ,9721,0.8,7351.48,No
2021-08-26 ,6402,0.32,4966.62,No
2021-08-27 ,1871,0.29,1464.76,No
2021-08-28 ,16170,0.98,12242.05,Yes
2021-08-29 ,1514,0.21,1190.83,No
2021-08-30 ,6288,0.72,4761.68,No
2021-08-31 ,8888,0.82,6700.81,No
2021-09-01 ,5134,0.49,3960.87,No
2021-09-02 ,3220,0.33,2491.57,No
2021-09-03 ,9676,0.35,7530.28,No
2021-09-04 ,6695,0.36,5179.91,No
2021-09-05 ,2476,0.39,1904.81,No
2021-09-06 ,7995,0.43,6209.74,No
2021-09-07 ,10814,0.44,8530.88,Yes
2021-09-08 ,8341,0.39,6543.77,No
2021-09-09 ,11564,0.46,9049.17,Yes
2021-09-10 ,11276,0.41,8851.12,Yes
2021-09-11 ,3721,0.23,2904.67,No
2021-09-12 ,5404,0.4,4149.01,No
2021-09-13 ,10266,0.44,8091.04,Yes
2021-09-14 ,16709,0.49,13041.85,Yes
2021-09-15 ,5140,0.77,3915.28,No
2021-09-16 ,8369,0.41,6533.02,No
2021-09-17 ,5455,0.43,4285.46,No
2021-09-18 ,4424,0.36,3485.66,No
2021-09-19 ,4550,0.26,3540.8,No
2021-09-20 ,5304,0.25,4134.05,No
2021-09-21 ,1954,0.3,1510.8,No
2021-09-22 ,3704,0.41,2841.15,No
2021-09-23 ,10844,0.44,8490.81,Yes
2021-09-24 ,3604,0.94,2710.09,No
2021-09-25 ,7274,0.44,5738.85,No
2021-09-26 ,6276,1.24,4681.01,No
2021-09-27 ,86,1.22,64.41,No
2021-09-28 ,3276,1.27,2456.85,No
2021-09-29 ,2766,1.34,2094.57,No
2021-09-30 ,1878,1.27,1398.71,No
2021-10-01 ,1877,1.27,1385.29,No
2021-10-02 ,2028,1.01,1525.07,No
2021-10-03 ,843,1.28,626.67,No
2021-10-04 ,104,1.15,76.57,No
2021-10-05 ,2542,1.35,1917.9,No
2021-10-06 ,1514,1.33,1130.73,No
2021-10-07 ,4263,1.26,3228.09,No
2021-10-08 ,2393,1.32,1804.62,No
2021-10-09 ,11897,0.55,9081.95,Yes
2021-10-10 ,8785,1.0,6594.65,No
2021-10-11 ,9245,0.64,7112.45,No
2021-10-12 ,10589,0.96,8093.66,Yes
2021-10-13 ,6209,0.7,4764.47,No
2021-10-14 ,6164,0.7,4699.12,No
2021-10-15 ,12858,0.42,10001.87,Yes
2021-10-16 ,4609,0.32,3559.5,No
2021-10-17 ,7492,0.54,5764.78,No
2021-10-18 ,11622,0.67,9045.6,Yes
2021-10-19 ,10468,0.93,7954.28,Yes
2021-10-20 ,13898,0.49,10971.21,Yes
2021-10-21 ,10942,0.48,8600.39,Yes
2021-10-22 ,6809,0.51,5392.91,No
2021-10-23 ,5690,0.32,4410.26,No
2021-10-24 ,10898,0.49,8439.78,Yes
2021-10-25 ,10352,0.7,7936.01,Yes
2021-10-26 ,7897,0.51,6158.53,No
2021-10-27 ,10542,0.45,8240.89,Yes
2021-10-28 ,13574,0.55,10657.92,Yes
2021-10-29 ,13476,0.73,10490.04,Yes
2021-10-30 ,518,1.25,378.79,No
2021-10-31 ,956,1.4,714.96,No
2021-11-01 ,2606,1.29,1951.49,No
2021-11-02 ,1408,1.33,1066.08,No
2021-11-03 ,4404,1.29,3305.99,No
2021-11-04 ,9785,0.63,7469.55,No
2021-11-05 ,2152,1.26,1611.68,No
2021-11-06 ,3559,0.65,2689.98,No
2021-11-08 ,1210,1.3,905.09,No
2021-11-09 ,842,0.22,652.54,No
2021-11-10 ,15121,0.37,11682.51,Yes
2021-11-11 ,6259,0.31,4860.06,No
2021-11-12 ,3653,0.28,2840.8,No
2021-11-13 ,7961,0.27,6203.49,No
2021-11-14 ,13810,0.56,10533.38,Yes
2021-11-15 ,6929,1.13,5185.28,No
2021-11-16 ,4635,0.47,3547.81,No
2021-11-17 ,4031,0.34,3139.21,No
2021-11-18 ,5078,0.52,3533.11,No
2021-11-19 ,4518,0.9,3068.57,No
2021-11-20 ,1725,0.16,1222.83,No
2021-11-21 ,2895,0.26,2009.89,No
2021-11-22 ,2783,0.23,1966.8,No
2021-11-23 ,1013,0.21,718.82,No
2021-11-24 ,780,0.17,551.87,No
2021-11-25 ,3078,0.24,2146.41,No
2021-11-26 ,4942,0.27,3448.51,No
2021-11-27 ,5201,0.27,3628.37,No
2021-11-28 ,3805,0.42,2631.68,No
2021-11-29 ,6010,0.72,4139.14,No
2021-11-30 ,6099,0.28,4303.08,No
2021-12-01 ,7212,0.31,5050.25,No
2021-12-02 ,14198,0.48,9883.4,Yes
2021-12-03 ,2831,1.18,1918.45,No
2021-12-04 ,353,0.26,245.77,No
2021-12-05 ,6606,0.36,4624.97,No
2021-12-06 ,9126,0.4,6371.31,No
2021-12-07 ,7729,0.46,5405.14,No
2021-12-08 ,5736,0.46,4042.39,No
2021-12-09 ,3849,0.34,2720.58,No
2021-12-10 ,3809,0.27,2679.16,No
2021-12-11 ,3348,0.28,2356.74,No
