com.samsung.health.sleep_stage,6196009,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-08-24 17:13:20.000,00000000-0000-0000-0000-000076b0507b,,2021-08-24 17:13:20.000,2021-08-24 17:16:20.000,40002,UTC+0900,/77eTAHyDe,com.sec.android.app.shealth,2021-08-24 17:16:20.000,6b6e01a3-b801-cd2f-0c20-8cf9b9176d04,
2021-08-24 17:36:20.000,00000000-0000-0000-0000-000076b0507b,,2021-08-24 17:36:20.000,2021-08-24 17:57:20.000,40002,UTC+0900,/77eTAHyDe,com.sec.android.app.shealth,2021-08-24 17:57:20.000,fadfed56-b4e8-b081-c50b-7d93abc98a4f,
2021-08-24 19:15:20.000,00000000-0000-0000-0000-000076b0507b,,2021-08-24 19:15:20.000,2021-08-24 19:45:20.000,40002,UTC+0900,/77eTAHyDe,com.sec.android.app.shealth,2021-08-24 19:45:20.000,b8656798-e05b-1ef2-30a8-0cbe5a291ed5,
2021-08-24 21:16:20.000,00000000-0000-0000-0000-000076b0507b,,2021-08-24 21:16:20.000,2021-08-24 21:17:20.000,40002,UTC+0900,/77eTAHyDe,com.sec.android.app.shealth,2021-08-24 21:17:20.000,62d7764d-77e5-03d2-5d38-52b031df78d8,
2021-08-25 14:07:25.000,00000000-0000-0000-0000-00006eb7ad0e,,2021-08-25 14:07:25.000,2021-08-25 14:14:25.000,40002,UTC+0900,/77eTAHyDe,com.sec.android.app.shealth,2021-08-25 14:14:25.000,e0c31222-7ac3-ffcf-557e-e643c29b2a0b,
2021-08-25 14:32:25.000,00000000-0000-0000-0000-00006eb7ad0e,,2021-08-25 14:32:25.000,2021-08-25 14:53:25.000,40003,UTC+0900,/77eTAHyDe,com.sec.android.app.shealth,2021-08-25 14:53:25.000,0683fc35-c7b2-93d9-8509-4ad26d956ae8,
2021-08-25 15:29:25.000,00000000-0000-0000-0000-00006eb7ad0e,,2021-08-25 15:29:25.000,2021-08-25 15:30:25.000,40001,UTC+0900,/77eTAHyDe,com.sec.android.app.shealth,2021-08-25 15:30:25.000,07865be5-8c53-0e06-7c1b-ed7307f5b458,
2021-08-25 16:37:25.000,00000000-0000-0000-0000-00006eb7ad0e,,2021-08-25 16:37:25.000,2021-08-25 16:39:25.000,40001,UTC+0900,/77eTAHyDe,com.sec.android.app.shealth,2021-08-25 16:39:25.000,e36cd801-878a-80c2-12e2-e6c29619ee3d,
2021-08-25 17:36:25.000,00000000-0000-0000-0000-00006eb7ad0e,,2021-08-25 17:36:25.000,2021-08-25 17:37:25.000,40001,UTC+0900,/77eTAHyDe,com.sec.android.app.shealth,2021-08-25 17:37:25.000,67eef178-12e0-98df-90d1-7fc5c9df263a,
2021-08-25 18:38:25.000,00000000-0000-0000-0000-00006eb7ad0e,,2021-08-25 18:38:25.000,2021-08-25 18:42:25.000,40002,UTC+0900,/77eTAHyDe,com.sec.android.app.shealth,2021-08-25 18:42:25.000,4bd0886f-50a6-719c-255a-48d50d56d797,
