com.samsung.shealth.food_favorite,6170019,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
1.0,3,2021-07-13 05:15:57.263,2021-07-13 05:15:57.263,피클,120001,62e30e86-b04d-4062-b837-78ebc9eb3e30,25.0,V57RQzDK0T,com.sec.android.app.shealth,3602364b-1612-4959-ad7e-7fbc4918b17a,e09daab4-f26e-463d-87a0-f9e6049b8bab,
1.0,3,2021-07-14 05:36:46.603,2021-07-14 05:36:46.603,돈육김치찌개,120001,e27ef3c2-8568-4d4a-8248-48e35f32b8ea,321.0,V57RQzDK0T,com.sec.android.app.shealth,9e120244-c0d1-4a4d-8c7f-88ca73387d99,6a26ed99-b9d3-4a6d-aefc-2ca2dc8ab966,
0.0,2,2021-07-14 05:40:13.088,2021-07-14 05:40:13.088,37f27673-b1d9-4d03-8e86-70ec7df1e189,,37f27673-b1d9-4d03-8e86-70ec7df1e189,0.0,V57RQzDK0T,com.sec.android.app.shealth,5e3c0f1b-3bf4-4ac6-b1fe-55b250e9f53d,f5cf8563-019f-4e34-87d5-996c31ca434d,
1.0,3,2021-07-14 05:36:13.535,2021-07-14 05:36:13.535,삼치구이*와사비장,120001,f0d051d3-2c21-4a0a-b6d5-4600a7226251,326.0,V57RQzDK0T,com.sec.android.app.shealth,4b48c27f-751d-4cd0-805d-640dd12c8f3a,d12af88c-28ec-4e6b-a10c-02a32953de91,
1.0,3,2021-07-14 05:38:27.621,2021-07-14 05:38:27.621,알타리김치,120001,fa1c7f51-e2ee-47c2-8f2b-06c69c19fb42,20.0,V57RQzDK0T,com.sec.android.app.shealth,46ee58f8-f0df-4427-a9dd-b26c139f85dd,bf751eca-754c-48df-a742-e26da4f50874,
1.0,1,2021-07-08 12:08:50.504,2021-07-08 12:08:50.504,간식,120001,19b3f8b8-1d15-4f2d-95f2-2ba11dd5e2ee,24.0,V57RQzDK0T,com.sec.android.app.shealth,1cb80063-d592-4689-a212-aaf1c58771ac,56c99715-d974-4807-a1c8-843a748fd391,
0.0,2,2021-07-14 05:40:13.088,2021-07-14 05:40:13.088,37f27673-b1d9-4d03-8e86-70ec7df1e189,,37f27673-b1d9-4d03-8e86-70ec7df1e189,0.0,V57RQzDK0T,com.sec.android.app.shealth,2a159774-4016-4637-8e7d-f7e9b4a0996e,6a26ed99-b9d3-4a6d-aefc-2ca2dc8ab966,
1.0,3,2021-07-13 05:15:40.715,2021-07-13 05:15:40.715,그린샐러드*유자D,120001,d9a26b86-90df-4f86-8020-d46f563638b8,25.0,V57RQzDK0T,com.sec.android.app.shealth,5ba8aec8-d9db-482c-9b12-96a776411cf6,7819ddea-9726-4a5d-8850-8f76e6f94ae2,
0.0,2,2021-07-14 05:41:16.541,2021-07-14 05:41:16.541,eb841608-6e3e-457e-9040-22fa1d743b49,,eb841608-6e3e-457e-9040-22fa1d743b49,0.0,V57RQzDK0T,com.sec.android.app.shealth,239429eb-5106-47eb-916d-b910864376e8,6a26ed99-b9d3-4a6d-aefc-2ca2dc8ab966,
1.0,3,2021-07-14 05:40:47.584,2021-07-14 05:40:47.584,포도주스,120001,cae47e53-3755-4ae2-87b5-b86914af5e6e,65.0,V57RQzDK0T,com.sec.android.app.shealth,70ea4032-042b-4139-86ff-83a0345bbdaf,30ca09d2-f433-4597-9094-bf85f37025e3,
