Date,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score
2021-07-03 ,72.0,87.15,85.0
2021-07-04 ,70.0,83.73,74.0
2021-07-05 ,82.0,89.79,92.0
2021-07-06 ,81.0,88.97,85.0
2021-07-07 ,78.0,86.27,68.54
2021-07-08 ,79.0,85.29,82.0
2021-07-09 ,72.0,88.01,75.0
2021-07-10 ,75.0,86.45,82.0
2021-07-11 ,70.0,86.25,49.0
2021-07-12 ,74.0,84.63,76.0
2021-07-13 ,74.0,83.95,79.0
2021-07-14 ,70.0,81.81,45.89
2021-07-16 ,70.0,80.8,76.0
2021-07-18 ,70.0,85.36,71.0
2021-07-19 ,83.0,86.27,76.0
2021-07-20 ,79.0,82.34,69.0
2021-07-22 ,85.45,87.65,67.08
2021-07-26 ,83.0,86.61,79.0
2021-08-01 ,69.04,77.92,70.7
2021-08-16 ,73.0,81.12,76.0
2021-08-19 ,79.58,82.33,64.16
2021-08-20 ,50.0,82.46,58.0
2021-08-28 ,86.0,85.66,82.0
2021-08-29 ,70.0,65.52,41.0
2021-09-01 ,79.0,82.71,55.0
2021-09-03 ,70.0,78.86,52.0
2021-09-04 ,70.0,89.47,50.0
2021-09-12 ,85.0,85.94,77.0
2021-09-19 ,78.0,84.08,79.0
2021-10-10 ,78.0,84.36,70.0
2021-10-13 ,92.0,87.2,81.0
2021-10-15 ,61.0,84.85,69.0
2021-10-16 ,70.0,84.02,44.6
2021-10-22 ,70.0,84.57,36.0
2021-10-27 ,61.0,84.7,68.0
2021-10-30 ,71.41,68.18,50.2
2021-11-02 ,79.0,87.94,81.0
2021-11-04 ,62.0,73.76,50.0
2021-11-09 ,58.0,85.68,66.0
2021-11-10 ,70.0,81.11,36.0
2021-11-23 ,81.05,86.1,76.9
