com.samsung.health.sleep_stage,6196009,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-07-03 12:29:19.000,00000000-0000-0000-0000-00002c7916d6,,2021-07-03 12:29:19.000,2021-07-03 12:30:19.000,40002,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2021-07-03 12:30:19.000,a2645f04-6cf5-65cf-7a80-d33bd72d7ea3,
2021-07-03 13:04:19.000,00000000-0000-0000-0000-00002c7916d6,,2021-07-03 13:04:19.000,2021-07-03 13:06:19.000,40002,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2021-07-03 13:06:19.000,071ab312-c0e9-a0ab-68e2-3155e66d71f4,
2021-07-03 13:15:19.000,00000000-0000-0000-0000-00002c7916d6,,2021-07-03 13:15:19.000,2021-07-03 13:16:19.000,40002,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2021-07-03 13:16:19.000,1028d438-696c-6c21-6069-a369180d7be7,
2021-07-03 14:01:21.000,00000000-0000-0000-0000-000015dec68a,,2021-07-03 14:01:21.000,2021-07-03 14:33:21.000,40002,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2021-07-03 14:33:21.000,29ee5cca-ad22-4e7a-096b-6638c10d2e69,
2021-07-03 15:29:21.000,00000000-0000-0000-0000-000015dec68a,,2021-07-03 15:29:21.000,2021-07-03 15:40:21.000,40002,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2021-07-03 15:40:21.000,9a550824-c136-26de-95e6-aa21318e3e9e,
2021-07-03 16:02:21.000,00000000-0000-0000-0000-000015dec68a,,2021-07-03 16:02:21.000,2021-07-03 16:15:21.000,40002,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2021-07-03 16:15:21.000,c35ccd9b-6e89-e6be-46ab-45805a5d778b,
2021-07-03 16:59:21.000,00000000-0000-0000-0000-000015dec68a,,2021-07-03 16:59:21.000,2021-07-03 17:48:21.000,40002,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2021-07-03 17:48:21.000,c318cc49-d5c9-63b8-df73-d30f3275b61e,
2021-07-03 18:44:21.000,00000000-0000-0000-0000-000015dec68a,,2021-07-03 18:44:21.000,2021-07-03 19:06:21.000,40002,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2021-07-03 19:06:21.000,e0167181-6410-b9be-1ca2-9d2faa576248,
2021-07-03 19:44:21.000,00000000-0000-0000-0000-000015dec68a,,2021-07-03 19:44:21.000,2021-07-03 20:08:21.000,40002,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2021-07-03 20:08:21.000,487f0961-aed7-c2c0-b665-9db013542d03,
2021-07-03 20:46:21.000,00000000-0000-0000-0000-000015dec68a,,2021-07-03 20:46:21.000,2021-07-03 20:51:21.000,40002,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2021-07-03 20:51:21.000,0c19f367-917a-c3e8-dca7-9684b96b940f,
