Date,Step Count,Speed (m/s),Distance,Greater than 10K steps
2021-07-03 ,9841,0.86,7675.54,No
2021-07-04 ,10541,1.19,8177.18,Yes
2021-07-05 ,7187,0.47,5650.71,No
2021-07-06 ,8253,0.45,6462.62,No
2021-07-07 ,3405,0.33,2663.67,No
2021-07-08 ,8559,0.5,6726.56,No
2021-07-09 ,8169,0.57,6359.61,No
2021-07-10 ,4892,0.48,3846.82,No
2021-07-11 ,6057,0.76,4763.96,No
2021-07-12 ,7788,0.45,6133.37,No
2021-07-13 ,8414,0.45,6589.57,No
2021-07-14 ,8962,0.51,7033.35,No
2021-07-15 ,8009,0.48,6266.43,No
2021-07-16 ,12631,0.73,9993.4,Yes
2021-07-17 ,9301,0.7,7395.57,No
2021-07-18 ,5182,0.62,4037.72,No
2021-07-19 ,5296,0.49,4106.54,No
2021-07-20 ,8343,0.4,6552.83,No
2021-07-21 ,11255,0.7,8831.64,Yes
2021-07-22 ,15686,1.14,12217.63,Yes
2021-07-23 ,7746,0.7,6090.94,No
2021-07-24 ,10498,0.74,8039.67,Yes
2021-07-25 ,10702,0.48,8353.35,Yes
2021-07-26 ,5358,0.33,4262.05,No
2021-07-27 ,4994,0.38,4018.55,No
2021-07-28 ,11168,0.93,8707.9,Yes
2021-07-29 ,9002,0.75,7073.18,No
2021-07-30 ,17628,0.73,13726.12,Yes
2021-07-31 ,13429,0.61,10470.04,Yes
2021-08-01 ,11364,0.61,8889.97,Yes
2021-08-02 ,16119,0.7,12631.83,Yes
2021-08-03 ,15966,0.66,12527.68,Yes
2021-08-04 ,8122,0.73,6344.75,No
2021-08-05 ,16381,0.74,12862.0,Yes
2021-08-06 ,16920,1.07,13122.13,Yes
2021-08-07 ,16668,0.71,13048.84,Yes
2021-08-08 ,9395,0.84,7318.76,No
2021-08-09 ,17062,0.73,13423.94,Yes
2021-08-10 ,13952,1.11,10918.72,Yes
2021-08-11 ,15613,0.67,12342.87,Yes
2021-08-12 ,19861,0.75,15511.13,Yes
2021-08-13 ,14293,0.68,11138.87,Yes
2021-08-14 ,13519,0.65,10497.88,Yes
2021-08-15 ,19823,0.72,15324.13,Yes
2021-08-16 ,19547,0.75,15139.54,Yes
2021-08-17 ,17203,0.73,13375.14,Yes
2021-08-18 ,18655,0.79,14493.25,Yes
2021-08-19 ,20799,0.75,16190.92,Yes
2021-08-20 ,19884,0.7,15515.31,Yes
2021-08-21 ,18484,0.73,14424.15,Yes
2021-08-22 ,16423,0.8,12943.21,Yes
2021-08-23 ,18450,0.81,14500.69,Yes
2021-08-24 ,14682,0.7,11493.03,Yes
2021-08-25 ,15891,0.76,12431.53,Yes
2021-08-26 ,22558,0.84,17573.11,Yes
2021-08-27 ,32037,1.0,24798.75,Yes
2021-08-28 ,2490,0.41,1949.2,No
2021-08-29 ,12956,0.75,10132.82,Yes
2021-08-30 ,12852,0.69,10056.6,Yes
2021-08-31 ,11256,0.8,8695.47,Yes
2021-09-01 ,18154,1.09,14036.26,Yes
2021-09-02 ,20526,0.81,15942.76,Yes
2021-09-03 ,9670,1.42,7379.8,No
2021-09-04 ,20904,0.82,16224.56,Yes
2021-09-05 ,12087,0.75,9432.87,Yes
2021-09-06 ,9405,0.9,7299.2,No
2021-09-07 ,18976,0.8,14731.16,Yes
2021-09-08 ,19752,0.78,15408.61,Yes
2021-09-09 ,19687,0.81,15410.33,Yes
2021-09-10 ,20541,0.75,16084.25,Yes
2021-09-11 ,15171,0.6,11887.94,Yes
2021-09-12 ,13051,0.67,10128.84,Yes
2021-09-13 ,20037,0.77,15663.61,Yes
2021-09-14 ,19346,0.82,15212.95,Yes
2021-09-15 ,15204,0.75,11926.76,Yes
2021-09-16 ,9632,0.57,7613.92,No
2021-09-17 ,8844,0.73,6904.41,No
2021-09-18 ,11909,0.57,9340.97,Yes
2021-09-19 ,7142,0.38,5550.81,No
2021-09-20 ,4268,0.54,3099.22,No
2021-09-21 ,11076,0.51,8540.53,Yes
2021-09-22 ,15703,0.66,12341.14,Yes
2021-09-23 ,17039,0.72,13393.22,Yes
2021-09-24 ,19866,0.78,15515.11,Yes
2021-09-25 ,10125,0.68,7881.09,Yes
2021-09-26 ,7600,0.42,5880.42,No
2021-09-27 ,5399,0.37,4354.84,No
2021-09-28 ,8802,0.54,6908.78,No
2021-09-29 ,11788,0.57,9161.87,Yes
2021-09-30 ,12497,0.59,9701.86,Yes
2021-10-01 ,15239,0.63,11806.59,Yes
2021-10-02 ,16790,0.68,13133.4,Yes
2021-10-03 ,17006,0.7,13389.69,Yes
2021-10-04 ,14122,0.61,11109.87,Yes
2021-10-05 ,7791,0.45,6090.08,No
2021-10-06 ,9822,0.46,7640.59,No
2021-10-07 ,9396,0.42,7316.37,No
2021-10-08 ,1759,0.23,1371.13,No
2021-10-09 ,9638,0.4,7407.66,No
2021-10-10 ,7195,0.33,5535.7,No
2021-10-11 ,8302,0.84,6365.11,No
2021-10-12 ,13968,0.68,10802.95,Yes
2021-10-13 ,14107,0.59,10963.13,Yes
2021-10-14 ,14125,0.6,10969.51,Yes
2021-10-15 ,8223,0.85,6354.32,No
2021-10-16 ,8942,0.41,6976.16,No
2021-10-17 ,12032,0.47,9363.68,Yes
2021-10-18 ,15360,0.55,11967.35,Yes
2021-10-19 ,14290,0.56,11148.29,Yes
2021-10-20 ,13571,0.58,10592.48,Yes
2021-10-21 ,12832,0.54,9965.44,Yes
2021-10-22 ,13455,0.61,10453.43,Yes
2021-10-23 ,9378,0.48,7283.87,No
2021-10-24 ,10673,0.55,8288.65,Yes
2021-10-25 ,14882,0.57,11640.85,Yes
2021-10-26 ,15083,0.56,11760.56,Yes
2021-10-27 ,7411,0.59,5721.31,No
2021-10-28 ,13190,0.51,10226.98,Yes
2021-10-29 ,5700,0.45,4425.61,No
2021-10-30 ,7282,0.31,5591.25,No
2021-10-31 ,11131,0.52,8606.07,Yes
2021-11-01 ,14549,0.62,11316.75,Yes
2021-11-02 ,15424,0.64,12024.15,Yes
2021-11-03 ,13305,0.56,10427.7,Yes
2021-11-04 ,5433,0.44,4271.35,No
2021-11-05 ,8520,0.39,6616.94,No
2021-11-06 ,3807,0.68,2928.2,No
2021-11-07 ,9710,0.6,7608.38,No
2021-11-08 ,12632,0.58,9872.55,Yes
2021-11-09 ,13265,0.57,10364.34,Yes
2021-11-10 ,13367,0.6,10426.34,Yes
2021-11-11 ,12645,0.6,9880.76,Yes
2021-11-12 ,9742,0.48,7663.75,No
2021-11-13 ,4559,0.44,3389.55,No
2021-11-14 ,9949,0.44,7732.24,No
2021-11-15 ,13119,0.5,10254.83,Yes
2021-11-16 ,14730,0.58,11456.89,Yes
2021-11-17 ,14641,0.54,11365.02,Yes
2021-11-18 ,10885,0.45,8503.73,Yes
2021-11-19 ,7293,0.33,5734.69,No
2021-11-20 ,6304,0.32,4918.97,No
2021-11-21 ,9674,0.49,7533.53,No
2021-11-22 ,8124,0.72,6262.67,No
2021-11-23 ,12605,0.53,9778.71,Yes
2021-11-24 ,12265,0.54,9540.48,Yes
2021-11-25 ,6477,0.47,5086.03,No
2021-11-26 ,9181,0.43,7114.33,No
2021-11-27 ,7280,0.39,5706.71,No
2021-11-28 ,10185,0.5,7929.76,Yes
2021-11-29 ,13422,0.62,10458.53,Yes
2021-11-30 ,13444,0.61,10506.38,Yes
2021-12-01 ,14049,0.57,10953.66,Yes
2021-12-02 ,9896,0.47,7807.56,No
2021-12-03 ,2805,0.32,2256.29,No
