com.samsung.shealth.social.service_status,6196009,1
status,update_time,create_time,service_type,deviceuuid,pkg_name,datauuid
0,2021-07-30 19:10:34.052,2021-07-30 19:10:34.052,1,OvMFo+Qpk+,com.sec.android.app.shealth,a0762c45-6512-42d4-ae91-77c6e96f1c3d,
0,2021-07-30 19:10:34.052,2021-07-30 19:10:34.052,2,OvMFo+Qpk+,com.sec.android.app.shealth,534db1a3-a520-4b8d-8f37-8d2147d8e9f8,
100,2021-07-30 19:10:34.052,2021-07-30 19:10:34.052,3,OvMFo+Qpk+,com.sec.android.app.shealth,776efbbf-7150-42f7-b011-1894418c5928,
