com.samsung.shealth.rewards,6196009,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
1202,,1002,,7616a5a1-b3e5-9fbd-027c-08348fbd4e3b,2021-10-12 04:51:51.571,2021-08-09 07:42:39.505,,,1202,UTC+0900,0.9189009,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2021-08-09 07:42:37.000,ac7c6bd4-5f6c-410d-b615-c74c04097e4e,0,
,2021-07-31 15:00:00.000,,2599999,,2021-08-06 15:01:01.707,2021-08-01 15:00:02.463,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8487}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-31 15:00:00.000,4654721b-ff6c-4163-a515-02aff807161b,1,
,2021-07-31 15:00:00.000,,100003,,2021-08-04 15:39:06.058,2021-08-04 15:39:06.058,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10412}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-31 15:00:00.000,b793ce41-4902-4bd7-91fc-aa8c12ff0d98,1,
,2021-08-11 15:00:00.000,,100003,,2021-09-05 11:25:57.880,2021-08-12 07:18:04.299,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7116}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-11 15:00:00.000,a27d59b4-24bc-4da4-9805-4f8dc80f9a3a,1,
,2021-08-19 15:00:00.000,,2599999,,2021-08-25 15:26:31.540,2021-08-20 15:00:03.943,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6089}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-19 15:00:00.000,c06faa47-0063-41cb-ba6a-567ef171675a,1,
,2021-08-03 15:00:00.000,,100003,,2021-08-26 17:16:21.044,2021-08-04 05:05:02.726,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":12317}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-03 15:00:00.000,c7476277-450d-4b44-96ef-025ab0d97d14,1,
,2021-08-03 15:00:00.000,,2599999,,2021-08-09 15:36:06.713,2021-08-04 15:39:06.690,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":10176}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-03 15:00:00.000,9138c454-c033-4db0-a2db-541c55cfcbfb,1,
,2021-08-19 15:00:00.000,,100003,,2021-09-11 14:55:41.178,2021-08-20 07:13:51.001,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7079}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-19 15:00:00.000,79235f74-867c-40f1-998e-edb54ad862c0,1,
,2021-07-31 15:00:00.000,,100003,,2021-08-06 15:00:02.925,2021-08-06 15:00:02.925,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10412}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-31 15:00:00.000,109037b2-1640-4217-a1be-5aab82976ffa,1,
,2021-08-29 15:00:00.000,,100003,,2021-09-11 14:55:40.688,2021-08-30 09:59:42.716,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6761}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-29 15:00:00.000,3c9af3b5-58c4-46ef-bd10-62ef93f21080,1,
