active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,start_date,start_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,011b7154-6a2b-4799-aff6-ff0187569539.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.358,2021-07-03 02:08:28.358,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,011b7154-6a2b-4799-aff6-ff0187569539,1622937600000
,,406c3a51-c9ca-4e68-9bf6-abd43f4feaf6.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.362,2021-07-03 02:08:28.362,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,406c3a51-c9ca-4e68-9bf6-abd43f4feaf6,1623024000000
,,343a433a-5235-4900-ac3c-d3124eb587c5.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.371,2021-07-03 02:08:28.371,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,343a433a-5235-4900-ac3c-d3124eb587c5,1623110400000
,,e5913738-8aa1-4e68-847a-d2491bbbc1cd.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.379,2021-07-03 02:08:28.379,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,e5913738-8aa1-4e68-847a-d2491bbbc1cd,1623196800000
,,12fda617-f909-4b73-a75e-454fd3ea12db.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.388,2021-07-03 02:08:28.388,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,12fda617-f909-4b73-a75e-454fd3ea12db,1623283200000
,,15a865cd-febd-4f46-9375-f9f0d651c731.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.393,2021-07-03 02:08:28.393,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,15a865cd-febd-4f46-9375-f9f0d651c731,1623369600000
,,7b928fb1-ef97-41f8-8839-96f27dac568b.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.396,2021-07-03 02:08:28.396,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,7b928fb1-ef97-41f8-8839-96f27dac568b,1623456000000
,,3d5937a5-e668-488d-a6cc-8aac8da4d0cb.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.407,2021-07-03 02:08:28.407,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,3d5937a5-e668-488d-a6cc-8aac8da4d0cb,1623542400000
,,2df1016d-7a92-4304-9cd4-5ea0988072bd.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.414,2021-07-03 02:08:28.414,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,2df1016d-7a92-4304-9cd4-5ea0988072bd,1623628800000
,,ad24efa3-4471-425b-a4eb-32a225b8b896.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.422,2021-07-03 02:08:28.422,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,ad24efa3-4471-425b-a4eb-32a225b8b896,1623715200000
,,8c081300-f00a-41ba-bd8c-5a8b3d1549fc.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.431,2021-07-03 02:08:28.431,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,8c081300-f00a-41ba-bd8c-5a8b3d1549fc,1623801600000
,,8c1e64ea-708a-4e7f-a550-969d73de16a5.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.441,2021-07-03 02:08:28.441,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,8c1e64ea-708a-4e7f-a550-969d73de16a5,1623888000000
,,a10e093a-c131-45d2-9af2-3d2c51638741.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.454,2021-07-03 02:08:28.454,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,a10e093a-c131-45d2-9af2-3d2c51638741,1623974400000
,,d2da81b9-23b1-48b3-90ff-bc5607cd013d.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.461,2021-07-03 02:08:28.461,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,d2da81b9-23b1-48b3-90ff-bc5607cd013d,1624060800000
,,0f20d356-b218-4d4a-984d-f8d94bd1ce98.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.471,2021-07-03 02:08:28.471,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,0f20d356-b218-4d4a-984d-f8d94bd1ce98,1624147200000
,,2bbdd166-e327-4f87-abea-06353450c2a9.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.475,2021-07-03 02:08:28.475,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,2bbdd166-e327-4f87-abea-06353450c2a9,1624233600000
,,e8194d0b-383c-46e8-a953-51982830ab36.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.479,2021-07-03 02:08:28.479,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,e8194d0b-383c-46e8-a953-51982830ab36,1624320000000
,,117c89b9-5998-4e55-adc1-c843023f642f.extra_data.json,0.0,0,1536.563,2021-07-03 ,02:08:28.490,2021-07-03 02:08:28.490,0.0,OvMFo+Qpk+,com.sec.android.app.shealth,117c89b9-5998-4e55-adc1-c843023f642f,1624406400000
