Date,Total sleep time,Avg. mental recovery,Avg. physical recovery,Avg. movement awakening,Total sleep cycles,Avg. sleep efficiency,Avg. sleep score
2021-10-08 ,1 hours 16 min,70.0,23.0,29.0,0.0,77.92,46.0
2021-10-09 ,8 hours 29 min,78.75,49.67,22.668,4.0,85.46,64.83
2021-10-16 ,11 hours 22 min,80.0,93.0,28.0,2.0,87.61,70.0
2021-10-17 ,9 hours 0 min,78.81,47.13,16.6222,4.0,90.95,71.19
2021-10-18 ,3 hours 25 min,79.0,27.0,29.0,2.0,83.17,59.0
2021-10-20 ,11 hours 35 min,81.0,99.0,32.0,3.0,89.36,78.0
2021-10-21 ,10 hours 47 min,75.87,33.66,35.7156,3.0,84.04,51.84
2021-10-22 ,9 hours 38 min,91.0,81.0,18.0,8.0,91.03,66.0
2021-10-23 ,10 hours 33 min,78.25,41.3,41.5972,4.0,80.8,58.08
2021-10-25 ,3 hours 21 min,75.0,34.0,2.0,1.0,98.63,69.0
2021-10-26 ,9 hours 48 min,86.35,59.63,8.5918,6.0,94.23,76.82
2021-10-27 ,1 hours 41 min,70.0,10.0,16.0,0.0,89.57,34.0
2021-10-28 ,9 hours 4 min,76.79,45.75,16.3971,3.0,91.83,71.38
2021-10-30 ,11 hours 52 min,77.67,66.88,26.4115,5.0,89.33,77.04
2021-11-01 ,8 hours 44 min,83.0,48.59,24.1985,4.0,84.37,58.73
2021-11-02 ,11 hours 15 min,94.0,82.0,40.0,5.0,86.58,66.0
2021-11-04 ,11 hours 35 min,74.0,80.0,28.0,1.0,87.23,64.0
2021-11-05 ,9 hours 59 min,77.02,24.39,19.4808,5.0,87.83,52.2
2021-11-06 ,10 hours 35 min,71.0,68.0,26.0,3.0,88.4,56.0
2021-11-07 ,8 hours 16 min,80.12,38.17,19.4173,5.0,89.02,69.46
2021-11-08 ,8 hours 28 min,76.81,37.87,14.7028,3.0,91.72,65.3
2021-11-09 ,11 hours 26 min,82.9,36.34,26.2172,7.0,87.43,61.43
2021-11-11 ,11 hours 9 min,66.83,32.4,19.7758,4.0,88.18,59.61
2021-11-12 ,3 hours 2 min,57.0,18.0,18.0,1.0,87.43,41.0
2021-11-13 ,11 hours 28 min,85.63,41.61,14.0218,9.0,90.51,61.96
2021-11-14 ,9 hours 46 min,62.0,77.0,22.0,4.0,87.63,73.0
2021-11-15 ,10 hours 47 min,79.43,68.02,17.575,8.0,89.06,66.81
2021-11-16 ,12 hours 31 min,95.0,85.0,27.0,6.0,87.9,63.0
2021-11-18 ,10 hours 49 min,66.81,44.05,21.1294,2.0,87.11,52.3
2021-11-19 ,10 hours 48 min,83.44,64.14,24.3364,6.0,87.37,74.87
2021-11-20 ,9 hours 27 min,75.53,44.8,16.5926,4.0,89.2,64.42
2021-11-21 ,1 hours 24 min,73.0,8.0,55.0,1.0,74.71,43.0
2021-11-23 ,8 hours 11 min,75.0,69.0,0.0,1.0,100.0,70.0
2021-11-24 ,9 hours 23 min,81.29,61.64,17.206,3.0,89.42,81.82
2021-11-25 ,10 hours 30 min,70.38,56.1,10.0,1.0,90.69,53.62
2021-11-26 ,5 hours 37 min,88.0,37.0,23.0,4.0,92.24,64.0
2021-11-28 ,14 hours 23 min,79.85,68.16,20.0,7.0,88.99,64.08
2021-11-29 ,1 hours 4 min,75.0,6.0,22.0,1.0,86.36,45.0
