com.samsung.health.exercise,1144003,15
count_type,update_time,decline_distance,end_time,additional,max_rpm,pkg_name,mean_cadence,custom,duration,comment,mean_power,location_data,mean_caloricburn_rate,create_time,altitude_loss,mean_rpm,distance,max_power,count,max_cadence,altitude_gain,max_altitude,exercise_custom_type,vo2_max,datauuid,max_caloricburn_rate,max_heart_rate,mean_speed,max_speed,start_time,calorie,mean_heart_rate,live_data,min_heart_rate,min_altitude,incline_distance,exercise_type,deviceuuid,time_offset
,2021. 11. 29. 오후 12:21:40,,2021. 11. 29. 오후 12:21:40,,,com.sec.android.app.shealth,,,4072000,,,,,2021. 11. 29. 오후 12:21:40,,,,,,,,0.000000,,,059b047e-5a5a-48a4-0913-4b22f46dee29,,0.000000,,,2021. 11. 29. 오전 11:13:48,330.179993,0.000000,059b047e-5a5a-48a4-0913-4b22f46dee29.live_data,,0.000000,,0,jj7jIQhOji,32400000,
,2021. 11. 29. 오후 12:58:42,,2021. 11. 29. 오후 12:58:42,,,com.sec.android.app.shealth,,,1608000,,,,,2021. 11. 29. 오후 12:58:42,,,,,,,,0.000000,,,1c5b01a8-9b9c-9f2e-4d73-96bff5bcfa48,,0.000000,,,2021. 11. 29. 오후 12:31:54,135.210007,0.000000,1c5b01a8-9b9c-9f2e-4d73-96bff5bcfa48.live_data,,0.000000,,0,jj7jIQhOji,32400000,
,2021. 11. 29. 오후 1:30:30,,2021. 11. 29. 오후 1:30:30,,,com.sec.android.app.shealth,,,1290000,,,,,2021. 11. 29. 오후 1:30:30,,,,,,,,0.000000,,,41799d6d-e393-5af1-6822-0a42af4beeb2,,0.000000,,,2021. 11. 29. 오후 1:09:00,98.669998,0.000000,41799d6d-e393-5af1-6822-0a42af4beeb2.live_data,,0.000000,,0,jj7jIQhOji,32400000,
,2021. 11. 29. 오후 1:50:30,,2021. 11. 29. 오후 1:50:30,,,com.sec.android.app.shealth,,,759000,,,,,2021. 11. 29. 오후 1:50:30,,,,,,,,0.000000,,,54869e32-6244-ef96-6415-6644e253a6c2,,0.000000,,,2021. 11. 29. 오후 1:37:51,86.108223,0.000000,54869e32-6244-ef96-6415-6644e253a6c2.live_data,,0.000000,,15006,jj7jIQhOji,32400000,
,2021. 11. 29. 오후 2:02:01,,2021. 11. 29. 오후 2:02:01,,,com.sec.android.app.shealth,,,691000,,,,,2021. 11. 29. 오후 2:02:01,,,,,,,,0.000000,,,46e8c8c5-e083-33b9-52ec-681ba6f507f5,,0.000000,,,2021. 11. 29. 오후 1:50:30,60.049999,0.000000,46e8c8c5-e083-33b9-52ec-681ba6f507f5.live_data,,0.000000,,0,jj7jIQhOji,32400000,
,2021. 11. 29. 오후 2:15:45,,2021. 11. 29. 오후 2:15:45,,,com.sec.android.app.shealth,88.774361,,692000,,,,,2021. 11. 29. 오후 2:15:45,,,632.112305,,,118.666664,,0.000000,,,250fe164-6c67-a45a-9996-9d0a5e92864c,,0.000000,0.839309,1.503255,2021. 11. 29. 오후 2:04:13,29.547821,0.000000,250fe164-6c67-a45a-9996-9d0a5e92864c.live_data,,0.000000,,1001,jj7jIQhOji,32400000,
,2021. 12. 01. 오후 4:30:18,,2021. 12. 01. 오후 4:30:18,,,com.sec.android.app.shealth,,,909000,,,,,2021. 12. 01. 오후 4:30:18,,,,,,,,0.000000,,,c1e96499-743f-4c1a-08b8-d16e17dd2e86,,0.000000,,,2021. 12. 01. 오후 4:15:09,61.779999,0.000000,c1e96499-743f-4c1a-08b8-d16e17dd2e86.live_data,,0.000000,,0,jj7jIQhOji,32400000,
,2021. 12. 02. 오전 11:23:59,,2021. 12. 02. 오전 11:23:59,,,com.sec.android.app.shealth,,,923000,,,,,2021. 12. 02. 오전 11:23:59,,,,,,,,0.000000,,,7d6f3b2d-61f9-412e-1bd1-c7f656b72e5a,,0.000000,,,2021. 12. 02. 오전 11:08:36,68.150002,0.000000,7d6f3b2d-61f9-412e-1bd1-c7f656b72e5a.live_data,,0.000000,,0,jj7jIQhOji,32400000,
,2021. 12. 02. 오전 11:56:34,,2021. 12. 02. 오전 11:56:34,,,com.sec.android.app.shealth,,,1916000,,,,,2021. 12. 02. 오전 11:56:34,,,,,,,,0.000000,,,8dfcfe31-d38b-f4eb-dbe8-339491933662,,0.000000,,,2021. 12. 02. 오전 11:24:38,155.059998,0.000000,8dfcfe31-d38b-f4eb-dbe8-339491933662.live_data,,0.000000,,0,jj7jIQhOji,32400000,
,2021. 12. 02. 오후 1:21:41,,2021. 12. 02. 오후 1:21:41,,,com.sec.android.app.shealth,,,2995000,,,,,2021. 12. 02. 오후 1:21:41,,,,,,,,0.000000,,,4ec5adf6-2d27-cad0-3ff2-26f3f8f9f193,,0.000000,,,2021. 12. 02. 오후 12:31:46,253.789993,0.000000,4ec5adf6-2d27-cad0-3ff2-26f3f8f9f193.live_data,,0.000000,,0,jj7jIQhOji,32400000,
,2021. 12. 02. 오후 2:39:56,,2021. 12. 02. 오후 2:39:56,,,com.sec.android.app.shealth,,,4001000,,,,,2021. 12. 02. 오후 2:39:56,,,,,,,,0.000000,,,4360e823-814e-92ce-df5c-22bc26c9ba0a,,0.000000,,,2021. 12. 02. 오후 1:33:15,328.339996,0.000000,4360e823-814e-92ce-df5c-22bc26c9ba0a.live_data,,0.000000,,0,jj7jIQhOji,32400000,
,2021. 12. 03. 오전 10:44:57,,2021. 12. 03. 오전 10:44:57,,,com.sec.android.app.shealth,,,913000,,,,,2021. 12. 03. 오전 10:44:57,,,,,,,,0.000000,,,7b1888ec-54df-2ef3-c3c7-a338f21c32e0,,0.000000,,,2021. 12. 03. 오전 10:29:44,69.360001,0.000000,7b1888ec-54df-2ef3-c3c7-a338f21c32e0.live_data,,0.000000,,0,jj7jIQhOji,32400000,

