com.samsung.shealth.step_daily_trend,1144003,6
speed,day_time,pkg_name,count,binning_data,source_pkg_name,source_type,calorie,deviceuuid,datauuid,distance,create_time,update_time
0.838021,1625875200000,com.sec.android.app.shealth,252,2598c1f8-02b0-413b-ab86-90b64dfd6fac.binning_data,com.sec.android.app.shealth,25,10.727844,jj7jIQhOji,2598c1f8-02b0-413b-ab86-90b64dfd6fac,219.419922,2021. 07. 10. 오후 9:27:21,2021. 07. 10. 오후 9:27:22,
1.281829,1625788800000,com.sec.android.app.shealth,323,ab652c3b-887f-40e4-bb3f-c87490ee87e3.binning_data,com.sec.android.app.shealth,0,11.376508,m5awt1XVZi,ab652c3b-887f-40e4-bb3f-c87490ee87e3,224.059996,2021. 07. 10. 오후 9:27:21,2021. 07. 10. 오후 9:27:21,
0.901021,1625875200000,com.sec.android.app.shealth,74,8e95e184-8b0b-4c6e-851a-419ec07e3df7.binning_data,com.sec.android.app.shealth,0,3.178590,m5awt1XVZi,8e95e184-8b0b-4c6e-851a-419ec07e3df7,52.370001,2021. 07. 10. 오후 9:27:21,2021. 07. 11. 오후 3:36:12,
1.203845,1625961600000,com.sec.android.app.shealth,1054,cbd7efb8-1b80-44dd-aa02-7ad0fd764e42.binning_data,com.sec.android.app.shealth,25,39.766029,jj7jIQhOji,cbd7efb8-1b80-44dd-aa02-7ad0fd764e42,842.711121,2021. 07. 11. 오후 3:42:00,2021. 07. 11. 오후 11:22:00,
0.285164,1625961600000,com.sec.android.app.shealth,1083,c4f77c45-9e1a-432f-a963-d3e508eef0a9.binning_data,com.sec.android.app.shealth,-2,40.874107,VfS0qUERdZ,c4f77c45-9e1a-432f-a963-d3e508eef0a9,863.251121,2021. 07. 11. 오후 3:42:01,2021. 07. 11. 오후 11:22:01,
1.579883,1625961600000,com.sec.android.app.shealth,29,62c97598-ad9f-4c2b-85b0-9cf205c00826.binning_data,com.sec.android.app.shealth,0,1.108078,m5awt1XVZi,62c97598-ad9f-4c2b-85b0-9cf205c00826,20.540000,2021. 07. 11. 오후 11:14:04,2021. 07. 11. 오후 11:14:04,
1.500000,1626048000000,com.sec.android.app.shealth,43,3a5fed53-b91a-46b5-ac11-9d8655abb8be.binning_data,com.sec.android.app.shealth,0,1.342882,m5awt1XVZi,3a5fed53-b91a-46b5-ac11-9d8655abb8be,29.750000,2021. 07. 20. 오전 9:41:11,2021. 07. 20. 오전 9:41:11,
1.500000,1626048000000,com.sec.android.app.shealth,43,fc2fd863-b507-4c1d-8838-f16e2dd7980b.binning_data,com.sec.android.app.shealth,-2,1.342882,VfS0qUERdZ,fc2fd863-b507-4c1d-8838-f16e2dd7980b,29.750000,2021. 07. 20. 오전 9:41:12,2021. 07. 20. 오전 9:41:12,
1.500000,1626134400000,com.sec.android.app.shealth,16993,7b4261c3-c9f7-4995-a650-35f1c86ad8e6.binning_data,com.sec.android.app.shealth,0,52.960329,m5awt1XVZi,7b4261c3-c9f7-4995-a650-35f1c86ad8e6,1173.275005,2021. 07. 20. 오전 9:41:12,2021. 07. 20. 오전 9:41:12,
1.500000,1626134400000,com.sec.android.app.shealth,16993,7e7d4dc1-565b-4503-ba57-7c4e977d1898.binning_data,com.sec.android.app.shealth,-2,52.960329,VfS0qUERdZ,7e7d4dc1-565b-4503-ba57-7c4e977d1898,1173.275005,2021. 07. 20. 오전 9:41:13,2021. 07. 20. 오전 9:41:13,
1.500000,1626220800000,com.sec.android.app.shealth,226,97e7b873-b6b0-474e-ba3b-d0b248223a3c.binning_data,com.sec.android.app.shealth,0,7.612674,m5awt1XVZi,97e7b873-b6b0-474e-ba3b-d0b248223a3c,168.650000,2021. 07. 20. 오전 9:41:13,2021. 07. 20. 오전 9:41:13,
0.860347,1626220800000,com.sec.android.app.shealth,1567,209efd76-9768-4b31-a685-847c48c28b2c.binning_data,com.sec.android.app.shealth,-2,54.044220,VfS0qUERdZ,209efd76-9768-4b31-a685-847c48c28b2c,1023.181934,2021. 07. 20. 오전 9:41:14,2021. 07. 31. 오후 4:05:21,
