com.samsung.health.step_count,1144003,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
1.313611,com.sec.android.app.shealth,102,,32400000,2021. 07. 03. 오후 2:20:00,3.288282,jj7jIQhOji,,2021. 07. 03. 오후 2:20:59,0747b3fe-4def-638d-cd55-52585a57fea2,78.816681,2021. 07. 03. 오후 2:20:59,2021. 07. 03. 오후 2:21:00,
1.325167,com.sec.android.app.shealth,103,,32400000,2021. 07. 03. 오후 2:21:00,3.320999,jj7jIQhOji,,2021. 07. 03. 오후 2:21:59,a085db08-019d-a578-1361-f2839b484e26,79.510040,2021. 07. 03. 오후 2:21:59,2021. 07. 03. 오후 2:22:00,
1.433348,com.sec.android.app.shealth,111,,32400000,2021. 07. 03. 오후 2:22:00,3.574823,jj7jIQhOji,,2021. 07. 03. 오후 2:22:59,77cf3775-7a14-abf9-6e2d-7ae3509d26f2,86.000885,2021. 07. 03. 오후 2:22:59,2021. 07. 03. 오후 2:23:00,
1.159079,com.sec.android.app.shealth,90,,32400000,2021. 07. 03. 오후 2:23:00,2.902113,jj7jIQhOji,,2021. 07. 03. 오후 2:23:59,306c3d3e-00a8-9ba8-77e2-1581fc279b11,69.544739,2021. 07. 03. 오후 2:23:59,2021. 07. 03. 오후 2:24:00,
1.244210,com.sec.android.app.shealth,97,,32400000,2021. 07. 03. 오후 2:24:00,3.131388,jj7jIQhOji,,2021. 07. 03. 오후 2:24:59,3a62debe-3015-6143-bedc-9a8e02568ee1,74.652588,2021. 07. 03. 오후 2:24:59,2021. 07. 03. 오후 2:25:00,
0.894554,com.sec.android.app.shealth,70,,32400000,2021. 07. 03. 오후 2:25:00,2.262167,jj7jIQhOji,,2021. 07. 03. 오후 2:25:59,95737314-534b-23f5-640e-69ba6d8dab51,53.673218,2021. 07. 03. 오후 2:25:59,2021. 07. 03. 오후 2:26:00,
0.617630,com.sec.android.app.shealth,48,,32400000,2021. 07. 03. 오후 2:26:00,1.548256,jj7jIQhOji,,2021. 07. 03. 오후 2:26:59,36ac1d97-8eda-baaa-1209-4a5176591369,37.057800,2021. 07. 03. 오후 2:26:59,2021. 07. 03. 오후 2:27:00,
1.017228,com.sec.android.app.shealth,80,,32400000,2021. 07. 03. 오후 2:27:00,2.591480,jj7jIQhOji,,2021. 07. 03. 오후 2:27:59,3b172ef2-83ed-9733-bf28-1b0ea0df801e,61.033691,2021. 07. 03. 오후 2:27:59,2021. 07. 03. 오후 2:28:00,
1.004302,com.sec.android.app.shealth,79,,32400000,2021. 07. 03. 오후 2:28:00,2.557667,jj7jIQhOji,,2021. 07. 03. 오후 2:28:59,8e6ab1aa-ab57-dd02-3f87-9156e3f030bc,60.258118,2021. 07. 03. 오후 2:28:59,2021. 07. 03. 오후 2:29:00,
0.049639,com.sec.android.app.shealth,4,,32400000,2021. 07. 03. 오후 2:29:00,0.130939,jj7jIQhOji,,2021. 07. 03. 오후 2:29:59,e999c836-0369-21e4-25f7-1371304b2832,2.978333,2021. 07. 03. 오후 2:29:59,2021. 07. 03. 오후 2:30:00,
