com.samsung.shealth.tracker.pedometer_day_summary,1144003,5
day_time,speed,update_time,pkg_name,source_info,source_package_name,walk_step_count,binning_data,active_time,achievement,healthy_step,calorie,recommendation,datauuid,deviceuuid,distance,create_time,run_step_count,step_count
1625702400000,1.102230,2021. 07. 10. 오후 9:27:20,com.sec.android.app.shealth,,com.sec.android.app.shealth,1028,e32521a6-28ed-496e-87ee-61d6a9fb6aad.binning_data,0,e32521a6-28ed-496e-87ee-61d6a9fb6aad.achievement,0,33.124023,6000,e32521a6-28ed-496e-87ee-61d6a9fb6aad,jj7jIQhOji,801.294922,2021. 07. 10. 오후 9:27:20,0,1028,
1625788800000,1.305550,2021. 07. 10. 오후 9:27:20,com.sec.android.app.shealth,,com.sec.android.app.shealth,1570,9a9e6072-7462-4df4-a647-88023b82637b.binning_data,0,9a9e6072-7462-4df4-a647-88023b82637b.achievement,0,50.389709,6000,9a9e6072-7462-4df4-a647-88023b82637b,jj7jIQhOji,1226.343750,2021. 07. 10. 오후 9:27:20,0,1570,
1625788800000,0.428795,2021. 07. 10. 오후 9:27:21,com.sec.android.app.shealth,,com.sec.android.app.shealth,1993,d5622cb8-7f3a-4f5c-9774-8693bb22f1d7.binning_data,3591906,d5622cb8-7f3a-4f5c-9774-8693bb22f1d7.achievement,0,64.711884,6000,d5622cb8-7f3a-4f5c-9774-8693bb22f1d7,VfS0qUERdZ,1540.189941,2021. 07. 10. 오후 9:27:20,0,1993,
1625875200000,0.246663,2021. 07. 10. 오후 9:33:35,com.sec.android.app.shealth,,com.sec.android.app.shealth,260,0f2b9344-7377-48ca-bd62-1cd21f6b6637.binning_data,1101865,0f2b9344-7377-48ca-bd62-1cd21f6b6637.achievement,0,13.906434,6000,0f2b9344-7377-48ca-bd62-1cd21f6b6637,VfS0qUERdZ,271.789917,2021. 07. 10. 오후 9:27:20,66,326,
1625875200000,0.838021,2021. 07. 10. 오후 9:27:22,com.sec.android.app.shealth,,com.sec.android.app.shealth,186,30fb4a0f-55e2-4371-a84a-83b9d3e23be4.binning_data,0,30fb4a0f-55e2-4371-a84a-83b9d3e23be4.achievement,0,10.727844,6000,30fb4a0f-55e2-4371-a84a-83b9d3e23be4,jj7jIQhOji,219.419922,2021. 07. 10. 오후 9:27:21,66,252,
1625788800000,1.281829,2021. 07. 10. 오후 9:27:21,com.sec.android.app.shealth,,com.sec.android.app.shealth,323,fb3e4e56-112b-40d2-a7fb-7f706bb6d6f8.binning_data,220000,fb3e4e56-112b-40d2-a7fb-7f706bb6d6f8.achievement,0,11.376508,6000,fb3e4e56-112b-40d2-a7fb-7f706bb6d6f8,m5awt1XVZi,224.059998,2021. 07. 10. 오후 9:27:21,0,323,
1625875200000,0.901021,2021. 07. 11. 오후 3:36:12,com.sec.android.app.shealth,,com.sec.android.app.shealth,74,8c5b450a-afc3-4dc2-ac5a-2f9eef46a8fd.binning_data,80000,8c5b450a-afc3-4dc2-ac5a-2f9eef46a8fd.achievement,0,3.178590,6000,8c5b450a-afc3-4dc2-ac5a-2f9eef46a8fd,m5awt1XVZi,52.370003,2021. 07. 10. 오후 9:27:21,0,74,
1625961600000,1.203845,2021. 07. 11. 오후 11:22:00,com.sec.android.app.shealth,,com.sec.android.app.shealth,975,df11c2bc-35c9-4ead-ab29-c5425b7d5897.binning_data,0,df11c2bc-35c9-4ead-ab29-c5425b7d5897.achievement,0,39.766029,6000,df11c2bc-35c9-4ead-ab29-c5425b7d5897,jj7jIQhOji,842.711121,2021. 07. 11. 오후 3:42:00,79,1054,
1625961600000,0.285164,2021. 07. 11. 오후 11:22:00,com.sec.android.app.shealth,,com.sec.android.app.shealth,1004,8f376bce-8ca4-420b-935b-41ca77281667.binning_data,3027213,8f376bce-8ca4-420b-935b-41ca77281667.achievement,0,40.874107,6000,8f376bce-8ca4-420b-935b-41ca77281667,VfS0qUERdZ,863.251099,2021. 07. 11. 오후 3:42:01,79,1083,
1625961600000,1.579883,2021. 07. 11. 오후 11:14:04,com.sec.android.app.shealth,,com.sec.android.app.shealth,29,9400ff3f-e0fc-4679-8859-7c2e7ca984e2.binning_data,26000,9400ff3f-e0fc-4679-8859-7c2e7ca984e2.achievement,0,1.108078,6000,9400ff3f-e0fc-4679-8859-7c2e7ca984e2,m5awt1XVZi,20.540001,2021. 07. 11. 오후 11:14:04,0,29,
