pkg_name,heart_beat_count,time_offset,binning_data,max,heart_rate,comment,start_date,start_time,deviceuuid,custom,end_time,datauuid,create_time,update_time,min
com.sec.android.app.shealth,1,32400000,5fa30e61-6150-c1df-4fab-65bb285949e4.binning_data,132.000000,116.000000,,2021-07-05,11:00:00,jj7jIQhOji,,2021. 07. 05. 오전 11:59:48,5fa30e61-6150-c1df-4fab-65bb285949e4,2021. 07. 05. 오전 11:59:48,2021. 07. 05. 오전 11:59:48,84.000000
com.sec.android.app.shealth,1,32400000,e666d183-afb4-13e1-ba34-139c57e375ea.binning_data,127.000000,85.000000,,2021-07-05,12:00:00,jj7jIQhOji,,2021. 07. 05. 오후 12:59:47,e666d183-afb4-13e1-ba34-139c57e375ea,2021. 07. 05. 오후 12:59:47,2021. 07. 05. 오후 12:59:47,72.000000
com.sec.android.app.shealth,1,32400000,e731aa14-e886-03db-0d09-a41866bebc7d.binning_data,149.000000,101.000000,,2021-07-05,13:00:00,jj7jIQhOji,,2021. 07. 05. 오후 1:59:46,e731aa14-e886-03db-0d09-a41866bebc7d,2021. 07. 05. 오후 1:59:46,2021. 07. 05. 오후 1:59:46,70.000000
com.sec.android.app.shealth,1,32400000,,149.000000,103.000000,,2021-07-05,16:00:59,jj7jIQhOji,,2021. 07. 05. 오후 4:00:59,8c321221-d755-fb50-d8fe-72a76378f872,2021. 07. 05. 오후 4:00:59,2021. 07. 05. 오후 4:00:59,70.000000
com.sec.android.app.shealth,1,32400000,,58.000000,58.000000,,2021-07-08,11:30:59,jj7jIQhOji,,2021. 07. 08. 오전 11:30:59,195a14ba-2d40-ec17-1e86-5a9c46f0332d,2021. 07. 08. 오전 11:30:59,2021. 07. 08. 오전 11:30:59,58.000000
com.sec.android.app.shealth,1,32400000,,115.000000,115.000000,,2021-07-08,12:00:59,jj7jIQhOji,,2021. 07. 08. 오후 12:00:59,3333f72f-b454-9616-3e53-7867dbb3884a,2021. 07. 08. 오후 12:00:59,2021. 07. 08. 오후 12:00:59,58.000000
com.sec.android.app.shealth,1,32400000,,115.000000,59.000000,,2021-07-08,14:00:59,jj7jIQhOji,,2021. 07. 08. 오후 2:00:59,11c1b22b-5ee2-d5ba-65e7-de1d25f9665c,2021. 07. 08. 오후 2:00:59,2021. 07. 08. 오후 2:00:59,58.000000
com.sec.android.app.shealth,1,32400000,,115.000000,61.000000,,2021-07-08,15:00:59,jj7jIQhOji,,2021. 07. 08. 오후 3:00:59,dfb993ab-c0e0-5f49-f18e-c663bee6baf2,2021. 07. 08. 오후 3:00:59,2021. 07. 08. 오후 3:00:59,58.000000
com.sec.android.app.shealth,1,32400000,,115.000000,60.000000,,2021-07-08,15:30:59,jj7jIQhOji,,2021. 07. 08. 오후 3:30:59,921a7924-7526-8684-b89c-20dbdbec3f6d,2021. 07. 08. 오후 3:30:59,2021. 07. 08. 오후 3:30:59,58.000000
com.sec.android.app.shealth,1,32400000,,115.000000,92.000000,,2021-07-08,19:30:59,jj7jIQhOji,,2021. 07. 08. 오후 7:30:59,d521cd99-a93a-cdf0-cb61-933ead4d3cec,2021. 07. 08. 오후 7:30:59,2021. 07. 08. 오후 7:30:59,58.000000
com.sec.android.app.shealth,1,32400000,,134.000000,134.000000,,2021-07-08,20:00:59,jj7jIQhOji,,2021. 07. 08. 오후 8:00:59,fe827622-5040-0160-000d-79a3ca3e58cf,2021. 07. 08. 오후 8:00:59,2021. 07. 08. 오후 8:00:59,58.000000
com.sec.android.app.shealth,1,32400000,,65.000000,65.000000,,2021-07-09,12:00:59,jj7jIQhOji,,2021. 07. 09. 오후 12:00:59,d907795c-67c9-3268-f352-0c687f899988,2021. 07. 09. 오후 12:00:59,2021. 07. 09. 오후 12:00:59,65.000000
com.sec.android.app.shealth,1,32400000,,65.000000,60.000000,,2021-07-09,12:30:59,jj7jIQhOji,,2021. 07. 09. 오후 12:30:59,a7789641-e1ea-4753-2b20-a2f6087b6f11,2021. 07. 09. 오후 12:30:59,2021. 07. 09. 오후 12:30:59,60.000000
com.sec.android.app.shealth,1,32400000,,65.000000,60.000000,,2021-07-09,16:00:59,jj7jIQhOji,,2021. 07. 09. 오후 4:00:59,3485d867-7176-04b1-5145-f88ef32dc1a5,2021. 07. 09. 오후 4:00:59,2021. 07. 09. 오후 4:00:59,60.000000
com.sec.android.app.shealth,1,32400000,,65.000000,60.000000,,2021-07-09,17:00:59,jj7jIQhOji,,2021. 07. 09. 오후 5:00:59,5469ee37-07c8-5315-415b-f8636b9f2cbe,2021. 07. 09. 오후 5:00:59,2021. 07. 09. 오후 5:00:59,60.000000
com.sec.android.app.shealth,1,32400000,,65.000000,61.000000,,2021-07-09,23:30:59,jj7jIQhOji,,2021. 07. 09. 오후 11:30:59,8fe868a4-2a5d-bbd2-8065-c6ed2c94b95f,2021. 07. 09. 오후 11:30:59,2021. 07. 09. 오후 11:30:59,60.000000
com.sec.android.app.shealth,1,32400000,,60.000000,60.000000,,2021-07-10,12:00:59,jj7jIQhOji,,2021. 07. 10. 오전 12:00:59,afa01914-b113-8c79-01ac-51c2d5eaddb5,2021. 07. 10. 오전 12:00:59,2021. 07. 10. 오전 12:00:59,60.000000
com.sec.android.app.shealth,1,32400000,,63.000000,63.000000,,2021-07-10,12:30:59,jj7jIQhOji,,2021. 07. 10. 오전 12:30:59,ec7f8652-921f-c08b-089c-2336a14b8c65,2021. 07. 10. 오전 12:30:59,2021. 07. 10. 오전 12:30:59,60.000000
