com.samsung.shealth.activity.day_summary,1144003,2
day_time,goal,target,pkg_name,update_time,walk_time,longest_idle_time,active_time,longest_active_time,calorie,deviceuuid,run_time,step_count,extra_data,datauuid,distance,create_time,others_time,score
1627430400000,-1,,com.sec.android.app.shealth,2021. 07. 31. 오후 4:05:23,0,-1,0,0,0.000000,m5awt1XVZi,0,0,d681f9d7-db19-43af-a820-9005899b36c2.extra_data,d681f9d7-db19-43af-a820-9005899b36c2,0.000000,2021. 07. 31. 오후 4:05:23,0,0,
1627516800000,-1,,com.sec.android.app.shealth,2021. 07. 31. 오후 4:05:23,0,-1,0,0,0.000000,m5awt1XVZi,0,0,a0805ad7-46ed-4166-a6be-032880d3a724.extra_data,a0805ad7-46ed-4166-a6be-032880d3a724,0.000000,2021. 07. 31. 오후 4:05:23,0,0,
1627603200000,-1,,com.sec.android.app.shealth,2021. 07. 31. 오후 4:05:23,0,-1,0,0,0.000000,m5awt1XVZi,0,0,6d2f5967-f9e7-48bc-bef6-66377216e593.extra_data,6d2f5967-f9e7-48bc-bef6-66377216e593,0.000000,2021. 07. 31. 오후 4:05:23,0,0,
1637539200000,-1,,com.sec.android.app.shealth,2021. 11. 28. 오후 3:13:27,0,-1,0,0,0.000000,m5awt1XVZi,0,0,ddf1efc5-22ca-40d5-9712-352beca40131.extra_data,ddf1efc5-22ca-40d5-9712-352beca40131,0.000000,2021. 11. 28. 오후 3:13:27,0,0,
1637625600000,-1,,com.sec.android.app.shealth,2021. 11. 28. 오후 3:13:28,0,-1,0,0,0.000000,m5awt1XVZi,0,0,9ae0fea7-6de1-4516-8205-d343dfb0bb98.extra_data,9ae0fea7-6de1-4516-8205-d343dfb0bb98,0.000000,2021. 11. 28. 오후 3:13:28,0,0,
1637712000000,-1,,com.sec.android.app.shealth,2021. 11. 28. 오후 3:13:28,0,-1,0,0,0.000000,m5awt1XVZi,0,0,29d0c50e-7030-48f2-964d-3e33711e8b5f.extra_data,29d0c50e-7030-48f2-964d-3e33711e8b5f,0.000000,2021. 11. 28. 오후 3:13:28,0,0,
1637798400000,-1,,com.sec.android.app.shealth,2021. 11. 28. 오후 3:13:29,0,-1,0,0,0.000000,m5awt1XVZi,0,0,989bcc79-dc1b-42fa-a8c2-54e1409d4200.extra_data,989bcc79-dc1b-42fa-a8c2-54e1409d4200,0.000000,2021. 11. 28. 오후 3:13:29,0,0,
1637884800000,-1,,com.sec.android.app.shealth,2021. 11. 28. 오후 3:13:29,0,-1,0,0,0.000000,m5awt1XVZi,0,0,f777292f-8eee-448b-8bd7-35eb97b7b1e3.extra_data,f777292f-8eee-448b-8bd7-35eb97b7b1e3,0.000000,2021. 11. 28. 오후 3:13:29,0,0,
1637971200000,-1,,com.sec.android.app.shealth,2021. 11. 28. 오후 3:13:29,0,-1,0,0,0.000000,m5awt1XVZi,0,0,718cb5f8-b604-4f5a-9b14-ee0e96cb481b.extra_data,718cb5f8-b604-4f5a-9b14-ee0e96cb481b,0.000000,2021. 11. 28. 오후 3:13:29,0,0,
1638057600000,60,,com.sec.android.app.shealth,2021. 11. 28. 오후 3:43:03,445526,48120000,445526,60000,22.547962,m5awt1XVZi,0,683,7f88e54d-82d4-49fe-bdd4-c158e29beb95.extra_data,7f88e54d-82d4-49fe-bdd4-c158e29beb95,451.411224,2021. 11. 28. 오후 3:43:03,0,0,
