com.samsung.shealth.calories_burned.details,6170019,1
version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,c185b911-d05b-4998-b7df-e3a76c9d9301.extra_data.json,0.0,0,1468.4391,2021-07-03 02:58:34.019,2021-07-03 02:58:34.019,0.0,V57RQzDK0T,com.sec.android.app.shealth,c185b911-d05b-4998-b7df-e3a76c9d9301,1622937600000,
,cb951195-6a57-4396-b7b2-3fc21d6d2283.extra_data.json,38.9,561584,1458.8944,2021-07-03 15:08:53.383,2021-07-03 02:58:32.558,28.611225,V57RQzDK0T,com.sec.android.app.shealth,cb951195-6a57-4396-b7b2-3fc21d6d2283,1625270400000,
,439e978b-faec-40ba-be47-830f131a2c2c.extra_data.json,0.0,0,1468.4391,2021-07-03 02:58:34.336,2021-07-03 02:58:34.336,0.0,V57RQzDK0T,com.sec.android.app.shealth,439e978b-faec-40ba-be47-830f131a2c2c,1623369600000,
,50c3bf8e-e82d-47da-a423-25b8e93694cc.extra_data.json,0.0,0,1468.4391,2021-07-03 02:58:34.406,2021-07-03 02:58:34.406,0.0,V57RQzDK0T,com.sec.android.app.shealth,50c3bf8e-e82d-47da-a423-25b8e93694cc,1623456000000,
,b16a1939-2f46-4980-b1c9-b705b05066c0.extra_data.json,0.0,0,1468.4391,2021-07-03 02:58:34.615,2021-07-03 02:58:34.615,0.0,V57RQzDK0T,com.sec.android.app.shealth,b16a1939-2f46-4980-b1c9-b705b05066c0,1623974400000,
,3b216805-9042-4769-ba2c-05b19ff94978.extra_data.json,0.0,0,1468.4391,2021-07-03 02:58:34.595,2021-07-03 02:58:34.595,0.0,V57RQzDK0T,com.sec.android.app.shealth,3b216805-9042-4769-ba2c-05b19ff94978,1623888000000,
,41b81135-4d9a-467d-bf88-1cc40f7285e0.extra_data.json,0.0,0,1468.4391,2021-07-03 02:58:34.867,2021-07-03 02:58:34.867,0.0,V57RQzDK0T,com.sec.android.app.shealth,41b81135-4d9a-467d-bf88-1cc40f7285e0,1624492800000,
,3f7c54f6-64ee-4df0-a188-d41ccc9bd0f4.extra_data.json,0.0,0,1468.4391,2021-07-03 02:58:34.810,2021-07-03 02:58:34.810,0.0,V57RQzDK0T,com.sec.android.app.shealth,3f7c54f6-64ee-4df0-a188-d41ccc9bd0f4,1624406400000,
,3992229a-51d8-49a7-a02c-cbca0b80e48c.extra_data.json,0.0,0,1468.4391,2021-07-03 02:58:34.117,2021-07-03 02:58:34.117,0.0,V57RQzDK0T,com.sec.android.app.shealth,3992229a-51d8-49a7-a02c-cbca0b80e48c,1623110400000,
,e2a86377-4dc8-4a5e-a2bc-64a5a9268bc0.extra_data.json,0.0,0,1468.4391,2021-07-03 02:58:35.046,2021-07-03 02:58:35.046,0.0,V57RQzDK0T,com.sec.android.app.shealth,e2a86377-4dc8-4a5e-a2bc-64a5a9268bc0,1625011200000,
