com.samsung.shealth.activity.day_summary,6170019,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,,0,2021-07-03 02:58:32.653,2021-07-03 02:58:32.653,-1,0,0,0.0,0.0,7523c1cb-b8cf-4ad6-99bf-85ce1fd4579b.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,7523c1cb-b8cf-4ad6-99bf-85ce1fd4579b,1623024000000,
0,0,,0,2021-07-03 02:58:32.587,2021-07-03 02:58:32.587,-1,0,0,0.0,0.0,d5d58073-5708-48ba-98ed-91de91ab23a5.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,d5d58073-5708-48ba-98ed-91de91ab23a5,1622937600000,
0,0,,0,2021-07-03 02:58:32.707,2021-07-03 02:58:32.707,-1,0,0,0.0,0.0,2c1a2a4d-20b7-45dc-9bb3-cb6723e1b9ee.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,2c1a2a4d-20b7-45dc-9bb3-cb6723e1b9ee,1623110400000,
0,0,,0,2021-07-03 02:58:32.782,2021-07-03 02:58:32.782,-1,0,0,0.0,0.0,4a4c7770-0f9f-4f9d-a984-df46be1dfb61.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,4a4c7770-0f9f-4f9d-a984-df46be1dfb61,1623196800000,
859,561584,,0,2021-07-03 14:36:03.412,2021-07-03 02:58:32.519,60,60000,15,660.49084,28.611225,851f7a86-ea33-402b-b5c5-4956cc43d637.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,561584,43500000,851f7a86-ea33-402b-b5c5-4956cc43d637,1625270400000,
0,0,,0,2021-07-03 02:58:32.997,2021-07-03 02:58:32.997,-1,0,0,0.0,0.0,2ad92fb5-1437-4468-a03d-c3fc3e0e23dd.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,2ad92fb5-1437-4468-a03d-c3fc3e0e23dd,1623715200000,
0,0,,0,2021-07-03 02:58:32.908,2021-07-03 02:58:32.908,-1,0,0,0.0,0.0,133046bf-83e0-4d55-819d-4b97e4f3a1ef.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,133046bf-83e0-4d55-819d-4b97e4f3a1ef,1623542400000,
0,0,,0,2021-07-03 02:58:32.947,2021-07-03 02:58:32.947,-1,0,0,0.0,0.0,0c8168c8-ab0b-44d1-bd0f-e428545a8058.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,0c8168c8-ab0b-44d1-bd0f-e428545a8058,1623628800000,
0,0,,0,2021-07-03 02:58:32.878,2021-07-03 02:58:32.878,-1,0,0,0.0,0.0,bb773b76-1f4f-465c-ac3a-12f9fd0658d9.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,bb773b76-1f4f-465c-ac3a-12f9fd0658d9,1623456000000,
0,0,,0,2021-07-03 02:58:32.845,2021-07-03 02:58:32.845,-1,0,0,0.0,0.0,179d04dd-e375-4a85-8684-b130ff4f9603.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,179d04dd-e375-4a85-8684-b130ff4f9603,1623369600000,
0,0,,0,2021-07-03 02:58:33.086,2021-07-03 02:58:33.086,-1,0,0,0.0,0.0,19f6286e-95df-4cc7-ba1d-f4ef106a3ca6.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,19f6286e-95df-4cc7-ba1d-f4ef106a3ca6,1623888000000,
0,0,,0,2021-07-03 02:58:33.192,2021-07-03 02:58:33.192,-1,0,0,0.0,0.0,a89cf0ac-5b16-42a0-bdb7-b8ef38b98b24.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,a89cf0ac-5b16-42a0-bdb7-b8ef38b98b24,1624147200000,
0,0,,0,2021-07-03 02:58:33.223,2021-07-03 02:58:33.223,-1,0,0,0.0,0.0,5da04033-112e-45d1-b6d4-054941e64779.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,5da04033-112e-45d1-b6d4-054941e64779,1624233600000,
0,0,,0,2021-07-03 02:58:33.156,2021-07-03 02:58:33.156,-1,0,0,0.0,0.0,fc4f23e8-a05a-40e9-82d2-b37da1acdef7.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,fc4f23e8-a05a-40e9-82d2-b37da1acdef7,1624060800000,
0,0,,0,2021-07-03 02:58:33.118,2021-07-03 02:58:33.118,-1,0,0,0.0,0.0,39f0064d-6888-4341-bc32-61879a863f71.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,39f0064d-6888-4341-bc32-61879a863f71,1623974400000,
0,0,,0,2021-07-03 02:58:33.490,2021-07-03 02:58:33.490,-1,0,0,0.0,0.0,dc7315c2-9cfe-4538-9527-397e8a3c76f5.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,dc7315c2-9cfe-4538-9527-397e8a3c76f5,1624752000000,
0,0,,0,2021-07-03 02:58:33.304,2021-07-03 02:58:33.304,-1,0,0,0.0,0.0,3011afc6-fed2-45bb-9423-5edf53d90787.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,3011afc6-fed2-45bb-9423-5edf53d90787,1624406400000,
0,0,,0,2021-07-03 02:58:33.434,2021-07-03 02:58:33.434,-1,0,0,0.0,0.0,fa42d32e-1f30-4227-b5a1-4beb22af7667.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,fa42d32e-1f30-4227-b5a1-4beb22af7667,1624665600000,
0,0,,0,2021-07-03 02:58:33.623,2021-07-03 02:58:33.623,-1,0,0,0.0,0.0,dc6ffebb-a1bf-4207-8f68-1b0dd240c959.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,dc6ffebb-a1bf-4207-8f68-1b0dd240c959,1624924800000,
0,0,,0,2021-07-03 02:58:33.345,2021-07-03 02:58:33.345,-1,0,0,0.0,0.0,4d188103-3e94-4e4f-9a7e-193a349f1bf7.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,4d188103-3e94-4e4f-9a7e-193a349f1bf7,1624492800000,
0,0,,0,2021-07-03 02:58:33.382,2021-07-03 02:58:33.382,-1,0,0,0.0,0.0,02d56904-e70f-49d5-868c-153800b7e1ef.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,02d56904-e70f-49d5-868c-153800b7e1ef,1624579200000,
3845,2413095,,0,2021-07-04 13:20:16.450,2021-07-03 15:08:53.088,60,300000,66,2955.995,128.43753,b9acdc45-0fe8-4b1a-b964-3d2e192a84e6.extra_data.json,V57RQzDK0T,2400,com.sec.android.app.shealth,2410695,26520000,b9acdc45-0fe8-4b1a-b964-3d2e192a84e6,1625356800000,
2335,1557445,,0,2021-07-10 14:31:03.392,2021-07-09 15:00:00.465,60,60000,41,1795.2595,78.41449,87d4ef84-4bac-4e1b-b5b1-66171444ce31.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,1557445,24180000,87d4ef84-4bac-4e1b-b5b1-66171444ce31,1625875200000,
4919,18331889,,15591000,2021-07-06 13:32:01.838,2021-07-05 15:31:47.822,60,13572000,506,3337.0337,935.0489,45dd8cd0-9b57-48eb-989b-0ace37834740.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,2740889,22140000,45dd8cd0-9b57-48eb-989b-0ace37834740,1625529600000,
0,0,,0,2021-07-03 02:58:33.685,2021-07-03 02:58:33.685,-1,0,0,0.0,0.0,d2116b9b-c90b-46cc-85f2-fb7224061fd2.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,d2116b9b-c90b-46cc-85f2-fb7224061fd2,1625011200000,
0,0,,0,2021-07-03 02:58:33.772,2021-07-03 02:58:33.772,-1,0,0,0.0,0.0,752d0f10-183b-401e-88d6-a552b1cd40e2.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,752d0f10-183b-401e-88d6-a552b1cd40e2,1625097600000,
0,0,,0,2021-07-03 02:58:33.884,2021-07-03 02:58:33.884,-1,0,0,0.0,0.0,479f5371-b121-4352-980c-9ad078375ec5.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,479f5371-b121-4352-980c-9ad078375ec5,1625184000000,
5518,4279912,,800000,2021-07-07 14:22:05.148,2021-07-06 15:00:00.423,60,800000,116,4184.0894,241.65916,1380e69e-c0b1-4edb-a7ea-0f9be401377d.extra_data.json,V57RQzDK0T,13600,com.sec.android.app.shealth,3466312,22800000,1380e69e-c0b1-4edb-a7ea-0f9be401377d,1625616000000,
1062,672156,,0,2021-07-16 14:38:03.367,2021-07-15 16:37:04.362,60,180000,18,805.45215,37.33493,13ae1af6-0276-41be-8165-dccaf81c2394.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,672156,25320000,13ae1af6-0276-41be-8165-dccaf81c2394,1626393600000,
0,0,,0,2021-07-03 02:58:32.817,2021-07-03 02:58:32.817,-1,0,0,0.0,0.0,657d97cf-e58a-4c75-aebf-ac50620faaff.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,0,-1,657d97cf-e58a-4c75-aebf-ac50620faaff,1623283200000,
6755,4324818,,0,2021-07-08 14:33:25.329,2021-07-07 15:00:00.369,60,360000,118,5204.4062,228.67407,1a69b78f-6a3f-4b9c-ae4b-0342013e32a9.extra_data.json,V57RQzDK0T,7200,com.sec.android.app.shealth,4317618,24360000,1a69b78f-6a3f-4b9c-ae4b-0342013e32a9,1625702400000,
5469,3417566,,0,2021-07-12 13:46:19.516,2021-07-11 15:00:00.629,60,360000,93,4222.8003,182.08379,a050eeae-460e-48cd-a88d-dffcd54e8ce1.extra_data.json,V57RQzDK0T,4400,com.sec.android.app.shealth,3413166,24060000,a050eeae-460e-48cd-a88d-dffcd54e8ce1,1626048000000,
575,383525,,0,2021-07-18 14:15:04.174,2021-07-17 15:44:47.419,60,26680,10,443.67297,19.188414,f077e9a4-8002-4088-ae1b-19d60afa842e.extra_data.json,V57RQzDK0T,0,com.sec.android.app.shealth,383525,37080000,f077e9a4-8002-4088-ae1b-19d60afa842e,1626566400000,
5366,3371094,,0,2021-07-14 13:25:53.286,2021-07-13 15:19:05.372,60,360000,91,4155.9014,184.38881,21fa7ca3-0131-4245-b2ab-01f60f409406.extra_data.json,V57RQzDK0T,42000,com.sec.android.app.shealth,3329094,27420000,21fa7ca3-0131-4245-b2ab-01f60f409406,1626220800000,
6401,4080396,,0,2021-07-22 14:08:02.976,2021-07-21 15:00:01.586,60,360000,111,4993.4004,212.8975,715bec86-6808-41b8-876f-1630695ee575.extra_data.json,V57RQzDK0T,46800,com.sec.android.app.shealth,4033596,25260000,715bec86-6808-41b8-876f-1630695ee575,1626912000000,
