Date,Step Count,Speed (m/s),Distance,Greater than 10K steps
2021-07-13 ,9594,0.86,7287.31,No
2021-07-14 ,10785,0.62,8172.65,Yes
2021-07-15 ,9560,0.44,7266.93,No
2021-07-16 ,9194,0.37,6960.86,No
2021-07-17 ,3719,0.32,2796.18,No
2021-07-18 ,7030,0.46,5342.6,No
2021-07-19 ,5225,0.52,4000.98,No
2021-07-20 ,6326,0.65,4827.98,No
2021-07-21 ,10431,0.59,7880.12,Yes
2021-07-22 ,14366,0.62,10948.15,Yes
2021-07-23 ,6888,0.52,5240.29,No
2021-07-24 ,6162,0.65,4832.46,No
2021-07-25 ,4072,0.34,3143.58,No
2021-07-26 ,7026,0.7,5334.63,No
2021-07-27 ,3934,1.46,2989.47,No
2021-07-28 ,3230,1.11,2485.92,No
2021-07-29 ,442,1.39,326.22,No
2021-07-30 ,2763,1.34,2068.07,No
2021-07-31 ,7456,0.6,5875.11,No
2021-08-01 ,7805,1.16,6181.06,No
2021-08-02 ,3680,1.49,2841.86,No
2021-08-03 ,10183,1.18,7724.54,Yes
2021-08-04 ,6256,1.14,4764.96,No
2021-08-05 ,7251,0.92,5493.65,No
2021-08-06 ,7560,0.72,5681.25,No
2021-08-07 ,6469,0.32,4977.33,No
2021-08-08 ,11463,0.51,8722.35,Yes
2021-08-09 ,8145,1.14,6126.47,No
2021-08-10 ,6370,1.04,4820.77,No
2021-08-11 ,7593,0.63,5776.59,No
2021-08-12 ,12340,0.76,9598.25,Yes
2021-08-13 ,13186,0.96,10173.46,Yes
2021-08-14 ,13853,0.34,10564.08,Yes
2021-08-15 ,7557,0.32,5804.2,No
2021-08-16 ,11667,0.7,8859.89,Yes
2021-08-17 ,10645,1.06,8128.24,Yes
2021-08-18 ,7933,0.62,6013.99,No
2021-08-19 ,8971,0.87,6745.8,No
2021-08-20 ,9945,0.39,7551.74,No
2021-08-21 ,9783,0.32,7477.03,No
2021-08-22 ,9658,0.64,7356.35,No
2021-08-23 ,7136,1.15,5439.07,No
2021-08-24 ,5310,1.01,4026.73,No
2021-08-25 ,11171,0.85,8504.59,Yes
2021-08-26 ,13376,0.55,10061.63,Yes
2021-08-27 ,9428,0.36,7076.42,No
2021-08-28 ,11156,0.39,8462.61,Yes
2021-08-29 ,13175,0.66,10027.6,Yes
2021-08-30 ,12762,1.14,9543.91,Yes
2021-08-31 ,10828,0.85,8206.38,Yes
2021-09-01 ,11736,1.19,8894.42,Yes
2021-09-02 ,13139,0.95,9957.0,Yes
2021-09-03 ,13556,0.41,10232.32,Yes
2021-09-04 ,13701,0.49,10526.69,Yes
2021-09-05 ,11979,0.59,9252.01,Yes
2021-09-06 ,6861,0.52,5227.64,No
2021-09-07 ,2622,0.44,2002.5,No
2021-09-08 ,3580,0.56,2690.16,No
2021-09-09 ,10951,0.76,8349.82,Yes
2021-09-10 ,15418,0.44,11655.63,Yes
2021-09-11 ,15714,0.39,12017.46,Yes
2021-09-12 ,9871,0.39,7532.41,No
2021-09-13 ,12803,0.84,10404.22,Yes
2021-09-14 ,13120,1.44,10547.09,Yes
2021-09-15 ,8299,0.52,6294.45,No
2021-09-16 ,11664,0.44,8862.74,Yes
2021-09-17 ,11716,0.51,8993.14,Yes
2021-09-18 ,11756,0.92,9328.54,Yes
2021-09-19 ,12811,0.58,9951.13,Yes
2021-09-20 ,11132,1.1,8599.89,Yes
2021-09-21 ,3966,1.33,3013.14,No
2021-09-22 ,10758,0.75,8132.88,Yes
2021-09-23 ,6015,1.42,4518.17,No
2021-09-24 ,8079,0.42,6083.48,No
2021-09-25 ,7852,0.39,5894.69,No
2021-09-26 ,10772,0.62,8261.08,Yes
2021-09-27 ,16300,1.26,12433.89,Yes
2021-09-28 ,14250,1.31,10874.25,Yes
2021-09-29 ,8164,1.11,6151.18,No
2021-09-30 ,6458,1.18,4846.05,No
2021-10-01 ,8205,0.57,6273.45,No
2021-10-02 ,18063,0.58,14028.94,Yes
2021-10-03 ,14066,0.48,10829.02,Yes
2021-10-04 ,5453,0.45,4156.12,No
2021-10-05 ,11880,0.96,9005.95,Yes
2021-10-06 ,12143,0.71,9262.67,Yes
2021-10-07 ,5522,0.99,4177.43,No
2021-10-08 ,10526,0.6,7927.32,Yes
2021-10-09 ,16596,0.53,12887.81,Yes
2021-10-10 ,13371,1.18,10702.48,Yes
2021-10-11 ,17251,0.73,13214.07,Yes
2021-10-12 ,15435,1.27,11947.38,Yes
2021-10-13 ,9467,1.01,7277.13,No
2021-10-14 ,9643,1.04,7417.24,No
2021-10-15 ,8986,0.42,6784.13,No
2021-10-16 ,11373,0.54,8824.63,Yes
2021-10-17 ,11401,1.26,8879.91,Yes
2021-10-18 ,10682,1.11,8175.73,Yes
2021-10-19 ,15666,1.27,12100.78,Yes
2021-10-20 ,9769,1.45,7505.98,No
2021-10-21 ,10352,1.01,7899.87,Yes
2021-10-22 ,11160,0.93,8659.75,Yes
2021-10-23 ,13269,0.65,10430.41,Yes
2021-10-24 ,11719,1.33,9147.82,Yes
2021-10-25 ,9931,1.09,7522.79,No
2021-10-26 ,9177,0.74,6996.72,No
2021-10-27 ,8694,1.08,6700.36,No
2021-10-28 ,4732,0.56,3617.69,No
2021-10-29 ,7054,0.44,5371.55,No
2021-10-30 ,13632,0.65,10407.08,Yes
2021-10-31 ,8594,1.01,6565.81,No
2021-11-01 ,11121,0.63,8521.55,Yes
2021-11-02 ,9926,0.69,7646.4,No
2021-11-03 ,8908,1.04,6769.1,No
2021-11-04 ,8189,0.69,6275.24,No
2021-11-05 ,8609,0.85,6567.7,No
2021-11-06 ,9942,0.5,7537.7,No
2021-11-07 ,7929,0.54,5961.4,No
2021-11-08 ,19006,0.84,14419.49,Yes
2021-11-09 ,12616,1.16,9741.69,Yes
2021-11-10 ,7358,1.15,5664.14,No
2021-11-11 ,3103,1.22,2352.55,No
2021-11-12 ,248,0.15,194.15,No
2021-11-13 ,8954,1.05,6814.33,No
2021-11-14 ,10709,1.02,8210.8,Yes
2021-11-15 ,7059,1.43,5387.24,No
2021-11-16 ,5731,1.15,4380.93,No
2021-11-17 ,8934,1.02,6787.64,No
2021-11-18 ,7890,0.66,6019.73,No
2021-11-19 ,7159,1.0,5490.79,No
2021-11-20 ,11949,0.74,9150.36,Yes
2021-11-21 ,15448,1.22,11938.8,Yes
2021-11-22 ,12734,1.28,9872.76,Yes
2021-11-23 ,8197,0.62,6294.77,No
2021-11-24 ,9368,0.94,7169.09,No
2021-11-25 ,12996,1.09,10061.48,Yes
2021-11-26 ,11968,1.16,9288.95,Yes
2021-11-27 ,10153,1.13,7766.56,Yes
2021-11-28 ,11501,1.03,8683.52,Yes
2021-11-29 ,9500,1.14,7194.44,No
2021-11-30 ,7857,0.79,6029.75,No
2021-12-01 ,9470,1.15,7206.39,No
2021-12-02 ,11481,0.92,8685.47,Yes
2021-12-03 ,11646,0.58,8814.15,Yes
2021-12-04 ,8662,1.04,6592.78,No
2021-12-05 ,6914,0.96,5266.91,No
2021-12-06 ,3754,0.36,2894.3,No
2021-12-07 ,4522,0.57,3413.42,No
2021-12-08 ,5189,0.51,3984.06,No
2021-12-09 ,5433,0.91,4144.99,No
2021-12-10 ,9114,0.72,6896.89,No
2021-12-11 ,10325,1.01,7844.08,Yes
2021-12-12 ,6914,0.54,5231.87,No
2021-12-13 ,8202,0.64,6280.74,No
2021-12-14 ,12348,1.09,9491.56,Yes
2021-12-15 ,12613,1.11,9695.24,Yes
2021-12-16 ,9424,0.63,7215.49,No
2021-12-17 ,3247,1.54,2479.01,No
