com.samsung.health.food_info,6195017,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
293.0,0.0,0.0,,0.0,"315 kcal, 90 g당",,samsungosp-011005,90,71.0,2.97,1.89,2021-07-13 08:12:08.011,2021-07-13 08:12:08.011,0.0,6.84,0.0,1.0,현미밥,0.0,,5.0,315.0,인분,,LIGCfGG+ec,g,0.0,0.0,com.sec.android.app.shealth,69.4,0.2857143,3e2557da-d83b-4e62-b458-915e80288571,1,
83.0,1.0,0.0,,0.0,"317 kcal, 90 g당",,samsungosp-011003,90,5.0,0.86,0.09,2021-07-13 08:12:08.008,2021-07-13 08:12:08.008,0.0,5.13,0.0,1.0,쌀밥,0.0,,5.0,316.8,인분,,LIGCfGG+ec,g,0.0,0.0,com.sec.android.app.shealth,70.7,0.2840909,6e442329-203a-460c-bc89-51114268f5d6,1,
256.0,1.0,0.0,,0.0,"353 kcal, 100 g당",,samsungosp-012011,100,4.0,3.09,0.64,2021-07-13 08:20:22.941,2021-07-13 08:12:08.009,0.01,7.8,0.06,2.0,잡곡밥,0.0,,16.0,352.8,인분,,LIGCfGG+ec,g,0.03,0.0,com.sec.android.app.shealth,76.6,0.28344673,72569f59-c729-49f7-a972-32545f4e03d6,1,
72.0,18.0,0.0,,7.0,"43 kcal, 115 g당",,samsungosp-203017,115,5.0,0.0,1.935,2021-07-13 08:12:08.037,2021-07-13 08:12:08.037,0.0,0.37,0.0,0.0,"커피,설탕,프림",0.0,,12.0,42.8,인분,,LIGCfGG+ec,g,0.0,0.0,com.sec.android.app.shealth,5.8,2.6869159,5f38b6b9-d4a5-4137-85fe-a7b264c5f8f3,1,
380.0,7.0,10.0,,0.0,"80 kcal, 100 g당",,samsungosp-211016,100,2.0,1.8,0.2,2021-07-13 08:12:08.034,2021-07-13 08:12:08.034,0.0,1.2,0.0,1.0,바나나,0.0,,4.0,80.0,인분,,LIGCfGG+ec,g,0.0,0.0,com.sec.android.app.shealth,21.1,1.25,fbe8463d-6e13-4d4c-8ed0-95d26a46e3ca,1,
60.0,0.0,0.0,,0.0,"3 kcal, 100 g당",,samsungosp-203018,100,1.0,0.0,0.0,2021-07-13 08:12:08.041,2021-07-13 08:12:08.041,0.0,0.1,0.0,0.0,"커피,원두,블랙",0.0,,2.0,3.0,인분,,LIGCfGG+ec,g,0.0,0.0,com.sec.android.app.shealth,0.4,33.333332,9a2473f5-28a9-421f-9390-a52ea0c06d43,1,
221.0,5.0,9.0,,110.0,"511 kcal, 604g당",,fatsecret-5546075,105,288.0,1.0,3.52,2021-07-18 23:16:06.662,2021-07-13 08:20:23.040,1.341,4.54,0.744,4.0,감자국,0.71,,2.0,89.0,대접,,LIGCfGG+ec,g,0.945,,com.sec.android.app.shealth,9.86,1.1797752,1ae70716-a416-43cc-a417-47893c30cfc3,1,
468.8,576.0,21.4,,0.0,"63.0 kcal, 93 g당",,samsungosp-133015,93,478.5,3.52,2.072,2021-07-13 12:26:08.148,2021-07-13 08:18:13.275,0.57,3.647,0.66,2.227,머위나물,0.0,,83.71,64.0,인분,,LIGCfGG+ec,g,0.22,0.0,com.sec.android.app.shealth,10.3,1.455399,dbb0cf86-ab62-4904-96c7-d19ee8de303d,1,
96.0,8.0,22.0,,0.0,"27 kcal, 127g당",,fatsecret-6792,38,252.0,0.5,0.08,2021-07-13 08:20:23.038,2021-07-13 08:20:23.038,0.006,0.63,0.039,2.0,김치,0.56,,3.0,8.0,인분 (38 g),,LIGCfGG+ec,g,0.012,,com.sec.android.app.shealth,1.55,4.83871,22174f2c-bf28-4036-a379-c6dbc8cdd90c,1,
490.0,6.0,49.0,,0.0,"234 kcal, 588g당",,fatsecret-5290266,200,1383.0,4.5,2.28,2021-07-14 10:29:27.306,2021-07-13 21:20:49.422,0.745,2.3,1.007,10.0,무생채,8.06,,8.0,80.0,인분 (200 g),,LIGCfGG+ec,g,0.364,0.0,com.sec.android.app.shealth,14.34,2.5,42843c9f-3f4d-479c-8696-58ac89a58eab,1,
