com.samsung.shealth.activity.day_summary,6195017,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
1300,859036,,0,2021-07-13 12:55:25.338,2021-07-13 08:12:07.336,60,120000,23,984.1103,42.702454,b0215c1a-5576-4c6a-a296-2e90d941937c.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,859036,62760000,b0215c1a-5576-4c6a-a296-2e90d941937c,1626134400000,
0,0,,0,2021-07-13 08:12:07.492,2021-07-13 08:12:07.492,-1,0,0,0.0,0.0,61f1fe80-ada1-4002-9a47-751da43fc388.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,61f1fe80-ada1-4002-9a47-751da43fc388,1623888000000,
0,0,,0,2021-07-13 08:12:07.817,2021-07-13 08:12:07.817,-1,0,0,0.0,0.0,678f41ac-7d41-4b27-8d53-44b0ddbb01a0.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,678f41ac-7d41-4b27-8d53-44b0ddbb01a0,1624233600000,
0,0,,0,2021-07-13 08:12:07.436,2021-07-13 08:12:07.436,-1,0,0,0.0,0.0,0088c85b-21ec-4efc-b35e-4603c9036486.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,0088c85b-21ec-4efc-b35e-4603c9036486,1623801600000,
0,0,,0,2021-07-13 08:12:08.486,2021-07-13 08:12:08.486,-1,0,0,0.0,0.0,55803a85-f406-489e-b039-7907335772cb.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,55803a85-f406-489e-b039-7907335772cb,1624752000000,
0,0,,0,2021-07-13 08:12:07.921,2021-07-13 08:12:07.921,-1,0,0,0.0,0.0,cf4983cf-986d-43a5-88f4-c5071c599a52.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,cf4983cf-986d-43a5-88f4-c5071c599a52,1624406400000,
0,0,,0,2021-07-13 08:12:08.969,2021-07-13 08:12:08.969,-1,0,0,0.0,0.0,9889cc0e-b8b8-46a8-979f-2f87481edb8d.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,9889cc0e-b8b8-46a8-979f-2f87481edb8d,1625270400000,
0,0,,0,2021-07-13 08:12:07.551,2021-07-13 08:12:07.551,-1,0,0,0.0,0.0,9c0f392e-5ff4-4ecb-9767-b01fe98a155b.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,9c0f392e-5ff4-4ecb-9767-b01fe98a155b,1623974400000,
0,0,,0,2021-07-13 08:12:07.882,2021-07-13 08:12:07.882,-1,0,0,0.0,0.0,90c5bc9e-00ba-4b42-b00b-cb665b633c57.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,90c5bc9e-00ba-4b42-b00b-cb665b633c57,1624320000000,
0,0,,0,2021-07-13 08:12:08.031,2021-07-13 08:12:08.031,-1,0,0,0.0,0.0,cf062f02-aaac-4c1f-9ab1-1ee7ae355190.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,cf062f02-aaac-4c1f-9ab1-1ee7ae355190,1624492800000,
0,0,,0,2021-07-13 08:12:08.605,2021-07-13 08:12:08.605,-1,0,0,0.0,0.0,f1d3f32b-1358-47b4-8d6a-2a82031a9758.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,f1d3f32b-1358-47b4-8d6a-2a82031a9758,1624924800000,
0,0,,0,2021-07-13 08:12:09.289,2021-07-13 08:12:09.289,-1,0,0,0.0,0.0,2e9ab226-dbab-42bd-9cc9-51ca700a9f41.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,2e9ab226-dbab-42bd-9cc9-51ca700a9f41,1625788800000,
6506,4213432,,0,2021-07-16 13:39:02.428,2021-07-15 15:00:01.837,60,240000,116,4941.369,231.24637,81b4cc7c-4e85-4e43-98af-22e0ebe4be24.extra_data.json,LIGCfGG+ec,7600,com.sec.android.app.shealth,4205832,21360000,81b4cc7c-4e85-4e43-98af-22e0ebe4be24,1626393600000,
7416,4740821,,0,2021-07-22 13:27:11.921,2021-07-21 17:43:22.956,60,240000,130,5597.851,282.76044,7a262fd9-e2b7-42e3-ae51-c8905838d6f4.extra_data.json,LIGCfGG+ec,3600,com.sec.android.app.shealth,4737221,21000000,7a262fd9-e2b7-42e3-ae51-c8905838d6f4,1626912000000,
0,0,,0,2021-07-13 08:12:09.114,2021-07-13 08:12:09.114,-1,0,0,0.0,0.0,86fd3fd6-1b00-47f7-a559-19d9086bed99.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,0,-1,86fd3fd6-1b00-47f7-a559-19d9086bed99,1625443200000,
1443,892903,,0,2021-07-28 09:00:00.243,2021-07-27 15:25:26.267,60,240000,23,1109.4214,55.09125,0e42537f-7e80-4285-8041-57b3aac0d689.extra_data.json,LIGCfGG+ec,0,com.sec.android.app.shealth,892903,35160000,0e42537f-7e80-4285-8041-57b3aac0d689,1627430400000,
