Date,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score
2021-09-11 ,76.47,88.16,57.04
2021-09-12 ,60.0,65.0,38.0
2021-09-13 ,64.0,72.22,36.0
2021-09-15 ,70.0,83.23,47.0
2021-09-16 ,73.61,81.88,46.82
2021-09-17 ,78.0,90.45,68.0
2021-09-18 ,73.0,82.38,58.0
2021-09-19 ,73.0,94.94,66.0
2021-09-21 ,65.0,82.97,50.0
2021-09-23 ,60.0,84.91,60.0
2021-09-24 ,75.0,81.97,62.0
2021-09-25 ,67.0,83.76,58.0
2021-09-26 ,73.0,88.25,73.0
2021-09-27 ,70.0,66.25,31.0
2021-09-30 ,70.0,63.41,29.0
2021-10-01 ,55.0,73.21,36.0
2021-10-02 ,71.45,80.96,54.59
2021-10-03 ,70.0,85.59,50.0
2021-10-04 ,75.0,84.27,71.0
2021-10-05 ,70.52,86.61,56.03
2021-10-06 ,70.0,68.42,31.0
2021-10-07 ,66.15,61.75,44.95
2021-10-09 ,77.4,82.58,52.39
2021-10-10 ,72.0,88.13,53.0
2021-10-11 ,64.0,84.8,46.0
2021-10-14 ,78.0,87.32,67.0
2021-10-16 ,65.34,89.09,47.88
2021-10-17 ,78.0,84.38,49.0
2021-10-19 ,75.0,66.67,43.0
2021-10-20 ,71.12,77.16,37.75
2021-10-22 ,72.97,79.26,52.23
2021-10-28 ,74.23,87.62,44.06
2021-10-29 ,76.03,86.69,55.7
2021-10-30 ,86.0,91.13,76.0
2021-10-31 ,74.0,86.82,67.0
2021-11-01 ,70.0,62.37,29.0
2021-11-07 ,77.0,89.77,60.0
2021-11-08 ,58.0,81.79,45.0
2021-11-11 ,70.13,79.19,51.32
2021-11-12 ,63.36,77.07,48.5
2021-11-14 ,70.0,75.0,39.0
2021-11-15 ,77.0,85.13,54.0
2021-11-19 ,68.35,85.88,56.2
2021-11-23 ,70.0,88.1,44.94
2021-11-24 ,57.0,86.35,53.0
2021-11-25 ,47.0,88.13,45.0
2021-11-26 ,82.0,85.35,53.0
2021-11-30 ,70.0,92.75,38.0
2021-12-02 ,70.0,79.18,40.54
2021-12-04 ,73.0,89.97,44.0
2021-12-05 ,70.0,85.88,38.0
2021-12-06 ,74.26,82.78,50.61
2021-12-07 ,71.94,80.61,43.79
2021-12-08 ,75.0,86.25,48.0
2021-12-11 ,72.62,91.67,50.43
2021-12-12 ,58.0,77.27,57.0
2021-12-14 ,70.0,73.91,31.0
2021-12-15 ,72.99,80.0,53.13
2021-12-16 ,66.0,87.84,50.0
2021-12-17 ,71.0,84.71,47.0
