com.samsung.health.device_profile,6195017,6
manufacturer,providing_step_goal,step_source_group,device_type,backsync_step_goal,capability,device_group,update_time,create_time,name,model,connectivity_type,deviceuuid,pkg_name,fixed_name,datauuid
Samsung,,,,,,360001,2021-07-13 08:12:06.921,2021-07-13 08:12:06.921,My Device,SM-G950N,,LIGCfGG+ec,com.sec.android.app.shealth,Galaxy S8,38f8ac64-952c-5236-ea95-16cba39f0f4c,
all_target,,,,,,0,2021-07-13 08:12:11.184,2021-07-13 08:12:11.184,all_target,all_target,,Mk66SbFqK1,com.sec.android.app.shealth,Galaxy S8,471ca32b-a665-1e9e-7c27-7ac69485dc05,
Combined,,,,,,0,2021-07-13 08:12:06.939,2021-07-13 08:12:06.939,Combined,Combined,,VfS0qUERdZ,com.sec.android.app.shealth,Galaxy S8,7af9722c-cd99-07b7-853a-43ce58e819c5,
Samsung Electronics,1,25,10051,1,9e3d547c-b34b-2156-1842-d1aa39ad9e9a.capability.json,360003,2021-10-07 03:43:49.912,2021-07-13 08:12:06.936,Galaxy Fit2,,,+7oIkpAmKP,com.sec.android.app.shealth,Galaxy S8,9e3d547c-b34b-2156-1842-d1aa39ad9e9a,
