duration,version_code,run_step,walk_step,start_date,start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
10357,4,0,14,2021-10-26 ,05:45:00.000,,,2021-10-26 05:55:01.079,2021-10-26 05:55:01.079,14,0.9722222,10.07,0.51,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 05:46:00.000,cc3dec9e-6164-4a8b-a453-78d169bbef7b
14391,4,0,22,2021-10-26 ,05:51:00.000,,,2021-10-26 05:55:01.104,2021-10-26 05:55:01.104,22,1.1111112,15.99,0.83,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 05:52:00.000,e5690ca9-22a7-41fb-a06c-d5164ad76f90
700,4,0,1,2021-10-26 ,05:52:00.000,,,2021-10-26 05:55:01.124,2021-10-26 05:55:01.124,1,1.0277777,0.72,0.04,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 05:53:00.000,768e2b37-fe25-44b7-8427-e4700a8bcd09
5526,4,0,8,2021-10-26 ,05:54:00.000,,,2021-10-26 05:55:01.149,2021-10-26 05:55:01.149,8,1.0277778,5.68,0.3,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 05:55:00.000,25d4dee8-14e9-4813-b760-1a5a14202ac6
44979,4,0,86,2021-10-26 ,08:12:00.000,,,2021-10-26 08:15:01.000,2021-10-26 08:15:01.000,86,1.4722222,66.22,2.65,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 08:13:00.000,87d319e3-f0ac-4b63-9d82-ea30f7ec4802
6739,4,0,13,2021-10-26 ,08:13:00.000,,,2021-10-26 08:15:01.024,2021-10-26 08:15:01.024,13,1.5,10.11,0.39,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 08:14:00.000,a11b9ad2-74a0-483c-86b9-112df11ec126
27711,4,0,43,2021-10-26 ,08:14:00.000,,,2021-10-26 08:15:01.047,2021-10-26 08:15:01.047,43,1.1388888,31.56,1.69,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 08:15:00.000,84fb4f73-2567-4205-b6b6-875efbbec2ed
35941,4,0,58,2021-10-26 ,08:15:00.000,,,2021-10-26 08:18:34.605,2021-10-26 08:18:34.605,58,1.1944444,42.93,2.32,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 08:16:00.000,f0c86870-468f-4afe-b47f-0b83f2700652
12519,4,0,19,2021-10-26 ,08:16:00.000,,,2021-10-26 08:18:34.640,2021-10-26 08:18:34.640,19,1.1111112,13.91,0.7,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 08:17:00.000,86fb6f60-171f-4a99-8268-3aa902e256bc
11181,4,0,15,2021-10-26 ,08:20:00.000,,,2021-10-26 08:33:53.986,2021-10-26 08:33:53.986,15,0.9444444,10.56,0.56,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 08:21:00.000,4d321e2c-b074-469a-b176-dd46c6b162a8
9970,4,0,17,2021-10-26 ,08:27:00.000,,,2021-10-26 08:33:54.031,2021-10-26 08:33:54.031,17,1.2777778,12.74,0.65,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 08:28:00.000,5aaa0243-99c0-49ae-baf2-89876a10779d
6488,4,0,10,2021-10-26 ,08:36:00.000,,,2021-10-26 08:55:01.159,2021-10-26 08:55:01.159,10,1.1388888,7.39,0.37,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 08:37:00.000,cb9f0f77-f0a6-4758-99c2-549b97bfdee1
7952,4,0,13,2021-10-26 ,08:59:00.000,,,2021-10-26 09:15:01.292,2021-10-26 09:15:01.292,13,1.2222222,9.72,0.49,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 09:00:00.000,49c3cdf9-32b2-4b11-b71e-f68622644305
60000,4,0,99,2021-10-26 ,10:49:00.000,,,2021-10-26 10:50:38.748,2021-10-26 10:50:38.748,99,1.2046667,72.28,3.91,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 10:50:00.000,816aebba-dbef-4d32-87db-cce817847ca3
58689,4,0,98,2021-10-26 ,10:50:00.000,,,2021-10-26 10:54:15.790,2021-10-26 10:50:38.790,98,1.2450283,73.07004,3.869999,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 10:51:00.000,f459ac2a-e1e0-48d5-a56a-7537c95b1e85
59732,4,0,89,2021-10-26 ,10:51:00.000,,,2021-10-26 10:54:15.821,2021-10-26 10:54:15.821,89,1.0833334,64.71,3.56,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 10:52:00.000,e6d3b112-2438-4a24-bb53-6d48adb86431
60000,4,0,91,2021-10-26 ,10:52:00.000,,,2021-10-26 10:54:15.851,2021-10-26 10:54:15.851,91,1.0996667,65.98,3.64,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 10:53:00.000,d88f3d16-fdfb-49c6-ad69-a636ef05489a
