Date,Step Count,Speed (m/s),Distance,Greater than 10K steps
2021-11-29 ,3839,1.21,3100.25,No
2021-11-30 ,10285,1.36,8021.99,Yes
2021-12-01 ,9701,1.37,7658.75,No
2021-12-02 ,5048,1.4,4050.21,No
2021-12-03 ,2221,1.5,1755.61,No
2021-12-04 ,16244,1.45,12699.16,Yes
2021-12-05 ,1724,0.5,1337.94,No
2021-12-06 ,4294,1.39,3569.97,No
2021-12-07 ,13463,1.25,10410.78,Yes
2021-12-08 ,4218,1.63,3450.63,No
2021-12-09 ,2412,1.19,1977.51,No
2021-12-10 ,16506,1.26,12899.43,Yes
2021-12-11 ,1116,2.06,997.28,No
2021-12-12 ,320,0.78,278.33,No
