com.samsung.shealth.food_frequent,6200039,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.95,2021-07-13 07:44:00.469,2021-07-13 07:44:00.469,0.95,0.95,0.95,MvwKid7qVC,com.sec.android.app.shealth,0.95,deaffa0e-88b4-4f7f-b711-0b84407ea819,dc97ca28-aafd-4841-a6c5-69aceb8b8ff2,0.95,
0.99,2021-07-13 07:44:00.469,2021-07-13 07:44:00.469,0.99,0.99,0.99,MvwKid7qVC,com.sec.android.app.shealth,0.99,122bd0f3-d1d2-4134-9f26-7d98a72845b3,117ce69e-9905-4d0f-8f1c-7f69e5b0a4e5,0.99,
0.71,2021-07-13 07:44:00.474,2021-07-13 07:44:00.474,0.71,0.71,0.71,MvwKid7qVC,com.sec.android.app.shealth,0.71,f3562ac4-7412-435d-884f-94952c9fd8fa,6eb42fb1-5cb2-4d31-ae0d-0bd103ca84e7,0.71,
0.75,2021-07-13 07:44:00.474,2021-07-13 07:44:00.474,0.75,0.75,0.75,MvwKid7qVC,com.sec.android.app.shealth,0.75,09c6f290-5493-49d4-a0d3-8a6e10c0eaa8,31daa816-6825-4158-be11-3d5e6b66ee5a,0.75,
0.91,2021-07-13 07:44:00.470,2021-07-13 07:44:00.470,0.91,0.91,0.91,MvwKid7qVC,com.sec.android.app.shealth,0.91,903a0319-ae7d-4da4-816e-5cefa7e64d9b,45b0f959-4db4-4ee7-8bdb-835af46c4dd3,0.91,
0.87,2021-07-13 07:44:00.470,2021-07-13 07:44:00.470,0.87,0.87,0.87,MvwKid7qVC,com.sec.android.app.shealth,0.87,45bb9be4-ee8c-42ae-8926-422629435463,354ecb91-26f3-4332-aadb-0e6e75b14354,0.87,
0.67,2021-07-13 07:44:00.475,2021-07-13 07:44:00.475,0.67,0.67,0.67,MvwKid7qVC,com.sec.android.app.shealth,0.67,a4ee7054-88cb-4999-8ee4-668adb8b0130,51c998c3-783d-4d92-aa5b-f0bb33f4d73e,0.67,
0.83,2021-07-13 07:44:00.471,2021-07-13 07:44:00.471,0.83,0.83,0.83,MvwKid7qVC,com.sec.android.app.shealth,0.83,7db4be89-dba4-4233-b012-e6a917997b57,ae36c656-f7c0-41cb-9cf0-f99e644c0c62,0.83,
0.63,2021-07-13 07:44:00.475,2021-07-13 07:44:00.475,0.63,0.63,0.63,MvwKid7qVC,com.sec.android.app.shealth,0.63,9259017b-67c9-4344-a508-9869754dc01c,3b2abcb9-5ce8-4816-b593-f91a23e2a975,0.63,
0.79,2021-07-13 07:44:00.472,2021-07-13 07:44:00.472,0.79,0.79,0.79,MvwKid7qVC,com.sec.android.app.shealth,0.79,b4248630-bdd0-4259-be09-db0e9f34a153,582d5418-fe37-445c-8899-512dd2a56a75,0.79,
