com.samsung.health.nutrition,6196009,3
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,start_time,custom,sodium,dietary_fiber,total_fat,update_time,create_time,meal_type,monosaturated_fat,protein,polysaturated_fat,iron,sugar,title,added_sugar,calcium,calorie,time_offset,deviceuuid,saturated_fat,trans_fat,pkg_name,carbohydrate,datauuid
0.0,0.0,0.0,0.0,10.0,2021-07-03 10:48:08.816,,1890.0,0.0,7.0,2021-07-03 10:50:05.984,2021-07-03 10:50:05.984,100003,0.0,13.0,0.0,0.0,23.0,저녁,0.0,0.0,535.0,UTC+0900,ipBsY8J8JM,0.9,0.0,com.sec.android.app.shealth,105.0,481a3eae-db39-4707-b339-1c4197dfab9b,
638.0,12.0,30.0,0.0,18.0,2021-07-03 06:59:26.384,,482.0,3.7,9.2,2021-07-03 07:00:23.335,2021-07-03 07:00:23.335,100002,3.4,14.6,2.4,13.0,9.9,점심,0.0,6.0,466.0,UTC+0900,ipBsY8J8JM,2.3,0.0,com.sec.android.app.shealth,80.7,546771c5-461c-4b79-b231-1006a668965f,
1479.5,20.5,46.0,0.0,521.0,2021-07-04 22:17:06.860,,1536.0,6.7,12.1,2021-07-04 22:19:33.142,2021-07-04 22:19:33.142,100001,3.1,46.3,5.1,38.5,5.2,아침,0.0,27.5,677.0,UTC+0900,ipBsY8J8JM,2.0,0.0,com.sec.android.app.shealth,95.0,17157f85-4a1d-4ddb-ae4e-34608320b5f1,
255.0,16.4,1.4,22.4,63.0,2021-07-08 03:05:41.742,,424.5,2.2,19.2,2021-07-08 03:06:52.206,2021-07-08 03:06:52.206,100002,7.0,14.1,1.8,14.9,1.5,점심,0.0,7.4,412.0,UTC+0900,ipBsY8J8JM,9.0,0.0,com.sec.android.app.shealth,45.3,c2848987-cf13-4f94-bbec-26193f4a9056,
545.0,18.0,34.0,0.0,18.0,2021-07-12 10:40:38.028,,494.0,2.3,9.0,2021-07-12 12:24:22.852,2021-07-12 12:24:07.287,100003,3.4,15.3,2.4,15.0,1.8,저녁,0.0,7.0,437.0,UTC+0900,ipBsY8J8JM,2.3,0.0,com.sec.android.app.shealth,72.7,5ba82f69-58de-455f-b35a-ffca5991e11c,
0.0,0.0,0.0,0.0,10.0,2021-07-12 03:00:00.000,,110.0,0.0,2.6,2021-07-12 09:35:18.779,2021-07-12 09:34:04.657,100002,0.0,3.0,0.0,0.0,11.0,점심,0.0,0.0,90.0,UTC+0900,ipBsY8J8JM,1.7,0.0,com.sec.android.app.shealth,13.7,a10028de-2c87-448c-acfe-c6dcda0e917c,
228.0,2.0,1.0,0.0,20.0,2021-07-06 23:28:15.923,,783.0,1.7,7.1,2021-07-06 23:33:13.029,2021-07-06 23:33:13.029,100001,1.8,19.0,3.5,17.0,6.1,아침,0.0,7.0,287.0,UTC+0900,ipBsY8J8JM,1.2,0.0,com.sec.android.app.shealth,36.3,5f16f0da-414c-49ad-91c5-14e3fe524e74,
148.0,0.4,7.0,0.0,0.0,2021-09-12 23:00:00.000,,1.0,3.3,0.2,2021-09-13 08:04:41.044,2021-09-13 08:04:41.044,100001,0.0,0.3,0.0,0.9,14.3,아침,0.0,0.6,72.0,UTC+0900,weUQcI9iuT,0.0,0.0,com.sec.android.app.shealth,19.0,4377fa9e-0a93-40df-9d08-3b02f4cad20c,
304.0,8.0,9.0,0.0,0.0,2021-07-11 23:42:49.180,,1221.0,3.7,4.3,2021-07-12 00:36:36.636,2021-07-12 00:36:24.975,100001,1.5,10.5,1.7,15.0,3.1,아침,0.0,6.0,445.0,UTC+0900,ipBsY8J8JM,0.7,0.0,com.sec.android.app.shealth,90.3,fb7d15f1-214f-4fd6-8141-83004207b409,
179.0,0.3,10.6,0.0,0.0,2021-09-13 03:00:00.000,,999.0,0.9,25.1,2021-09-13 08:05:37.685,2021-09-13 08:04:17.931,100002,0.0,37.6,0.0,2.3,27.9,점심,0.0,0.7,755.0,UTC+0900,weUQcI9iuT,10.0,0.0,com.sec.android.app.shealth,96.3,8a30b52c-d635-4383-b086-f5f48e347dca,
452.0,10.0,23.0,0.0,18.0,2021-07-10 03:00:00.000,,482.0,2.2,9.0,2021-07-10 11:35:56.359,2021-07-10 11:35:56.359,100002,3.4,13.8,2.4,12.0,1.7,점심,0.0,6.0,428.0,UTC+0900,ipBsY8J8JM,2.3,0.0,com.sec.android.app.shealth,71.4,291ccd3a-8657-460d-bb48-fdf867f399de,
