com.samsung.shealth.food_frequent,6196009,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.95,2021-07-03 06:13:35.392,2021-07-03 06:13:35.392,0.95,0.95,0.95,ipBsY8J8JM,com.sec.android.app.shealth,0.95,fc0dd8e3-8762-4377-bf17-ee20bdc3edaa,02a47611-f6f0-4221-afe5-6cca735e4288,0.95,
0.91,2021-07-03 06:13:35.393,2021-07-03 06:13:35.393,0.91,0.91,0.91,ipBsY8J8JM,com.sec.android.app.shealth,0.91,09f5d02b-ae4b-494a-a0bb-f8e68287f014,1cc6cb1f-f131-4d9a-a458-f286cbe3ba61,0.91,
0.99,2021-07-03 06:13:35.391,2021-07-03 06:13:35.391,0.99,0.99,0.99,ipBsY8J8JM,com.sec.android.app.shealth,0.99,681e3d0a-6189-4f28-ac5c-828362fdad2a,011798bd-4fcd-41c7-8bec-92591104067e,0.99,
0.83,2021-07-03 06:13:35.395,2021-07-03 06:13:35.395,0.83,0.83,0.83,ipBsY8J8JM,com.sec.android.app.shealth,0.83,24c9e546-2661-4834-840d-683240d80644,bfcebe75-6433-4f31-bbc9-33e37334aa1b,0.83,
0.75,2021-07-03 06:13:35.398,2021-07-03 06:13:35.398,0.75,0.75,0.75,ipBsY8J8JM,com.sec.android.app.shealth,0.75,038e01ca-a266-4520-afbb-b1db9d85d095,585a8e0e-dee1-4063-8e6f-7f150b88500f,0.75,
0.67,2021-07-03 06:13:35.400,2021-07-03 06:13:35.400,0.67,0.67,0.67,ipBsY8J8JM,com.sec.android.app.shealth,0.67,e780fc1c-843c-4bef-8f31-6794eb18111d,087a0c52-36f7-416a-835f-89e0fa9f615b,0.67,
0.71,2021-07-03 06:13:35.399,2021-07-03 06:13:35.399,0.71,0.71,0.71,ipBsY8J8JM,com.sec.android.app.shealth,0.71,2d9c0f46-eb31-4b17-97da-9c5fe97ce68e,d95ffd97-f461-42d1-9064-be9ad89d1f2f,0.71,
0.87,2021-07-03 06:13:35.394,2021-07-03 06:13:35.394,0.87,0.87,0.87,ipBsY8J8JM,com.sec.android.app.shealth,0.87,cba8ee2f-c8dc-447d-98bd-75c611927407,db94b1a0-4fc0-40e7-94be-5efbc4d50cd6,0.87,
0.0,2021-09-11 02:38:56.527,2021-09-11 02:38:56.527,0.0,0.0,0.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,db67ee04-c8e2-422b-b1aa-3023aa8dd16f,ba8345d2-1168-4285-a863-e065ae29a3ec,1.0,
0.0,2021-09-11 02:38:56.526,2021-09-11 02:38:56.526,0.0,1.0,0.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,cb770831-5d9d-4aef-9aa6-f22c57cb4309,0e52e9a0-7c95-417b-b03a-103821ea7a7c,2.0,
0.0,2021-09-11 02:38:56.526,2021-09-11 02:38:56.526,0.0,0.0,0.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,297d91e5-c843-4c84-b681-25a3cbc787fd,c63cdad4-a490-4b2f-b4bb-5e5fce3f577c,1.0,
0.63,2021-07-03 06:13:35.401,2021-07-03 06:13:35.401,0.63,0.63,0.63,ipBsY8J8JM,com.sec.android.app.shealth,0.63,932d6531-f4e4-4c1d-a359-828cb4b0ab38,fa83f507-4493-44f7-a98e-0e075701b002,0.63,
0.0,2021-09-11 02:38:56.527,2021-09-11 02:38:56.527,0.0,0.0,1.0,weUQcI9iuT,com.sec.android.app.shealth,0.0,e57cd2a7-7937-40a7-b447-4ba30fbb1dac,bc6e0389-a404-406e-88bf-17e6db6cf5a3,0.0,
